arm,fid,independent_fid,mean_term,covariance_term,inception_score,seconds,full_calls_per_image,pixel_sha256,feature_sha256
raw,98.86932184826293,98.86934459765642,10.952231815845705,87.91711278181072,19.347889709472657,834.4517545839772,104.0,0fedcc702fc115c261e20d2705389d2dc5efb84324ad2cf936ac875a8a57df41,1460547e991250c3d5528efa57d6a8818dba0f60229b447ecb145d8acdb28b72
balanced,41.295767005340224,41.29579319838946,0.8614426450828455,40.434350553306615,50.07894287109375,839.0390630932525,106.0,07a6e8044376be20bd9c21696310fe86e5ca6133fe61c8865e25bc04e98b169e,0ae2815a45ef9ae427cea8dd6a932f1b6f3cf5f9df60c57f8483ef3b5bad0009
full,38.874133972672894,38.87415822986683,0.26968447870811857,38.60447375115871,56.43095245361328,804.1456838436425,100.0,50086f4b301bdd6a8e983e2fb931cc07ec2a9f42105afcc65fe23d6dc3c31d4c,f21d2124b45ad669417bd53eab898d1ae76fffd0ad5af9c057aaccd6533fe08e
native_ig,38.264238946601836,38.26426325764843,0.1523737952685248,38.11188946237991,59.07736701965332,802.9826601501554,100.0,0de7afa03228b6d2bd068368a1e02977de4bc03df6aa9272d7b9b55af16f648e,5f6e08a1214ecf0e86f281df5343d88f23b4af09690911e40d75ae8cfcd3d320
