prefix_w,switch_t,tail,positive_endpoint_fraction,positive_fraction_initial_z_negative,positive_fraction_initial_z_positive,endpoint_mean,endpoint_std,w2_squared_to_target,mean_noising_posterior_at_switch,null_tail_positive_fraction_at_switch
1,0.0,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,0.0,0.5,0.5
1,0.0,null,0.5,0.0,1.0,-2.220446049250313e-16,2.0615335711193503,6.614048301584864,0.5,0.5
1,0.025,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,1.3000027124613842e-33,0.5013112669532116,0.5205078125
1,0.025,null,0.5205078125,0.041015625,1.0,0.09663680262944196,2.0592670890290323,6.229976696627364,0.5013112669532116,0.5205078125
1,0.05,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,2.2750047468074224e-33,0.5054761378328416,0.5418701171875
1,0.05,null,0.5418701171875,0.083740234375,1.0,0.1978416076463516,2.05201837122559,5.8330745174530305,0.5054761378328416,0.5418701171875
1,0.1,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,5.031491979711654e-33,0.523492140066482,0.5877685546875
1,0.1,null,0.5877685546875,0.175537109375,1.0,0.41283671709823755,2.019774296340615,5.008192252256798,0.523492140066482,0.5877685546875
1,0.2,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,9.069926331848639e-33,0.60072327386597,0.6900634765625
1,0.2,null,0.6900634765625,0.380126953125,1.0,0.8775084174185055,1.8654502389094587,3.314707087917992,0.60072327386597,0.6900634765625
1,0.25,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,7.763905088311045e-33,0.6573261451673009,0.74462890625
1,0.25,null,0.74462890625,0.4892578125,1.0,1.1127725634831933,1.7354149023267909,2.5089363425144073,0.6573261451673009,0.74462890625
1,0.35,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,1.0406040230767284e-32,0.7876476193625539,0.850830078125
1,0.35,null,0.850830078125,0.70166015625,1.0,1.5372180277092427,1.373641967474898,1.165436280301394,0.7876476193625539,0.850830078125
1,0.5,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,1.4360215147837327e-32,0.9448996834342295,0.963134765625
1,0.5,null,0.963134765625,0.92626953125,1.0,1.9137875312755348,0.7663911448048925,0.16166006970318092,0.9448996834342295,0.963134765625
1,0.7,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,2.1203284981488225e-32,0.9981624375003204,0.998779296875
1,0.7,null,0.998779296875,0.99755859375,1.0,1.9987279972185816,0.5050119357582841,0.0009587029262703518,0.9981624375003204,0.998779296875
1,0.75,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,2.3544493570133958e-32,0.9993258159301064,0.99951171875
1,0.75,null,0.99951171875,0.9990234375,1.0,1.9996646747472002,0.5012922435010537,0.00016579455581573548,0.9993258159301064,0.99951171875
