index,current_time,following_time,iterations_mean,iterations_max,relative_residual_max
0,1.0,0.9987389445304871,2.0,2,1.6502419384778477e-05
1,0.9987389445304871,0.9974554777145386,2.0,2,1.755286575644277e-05
2,0.9974554777145386,0.996148943901062,2.0,2,2.0549265173031017e-05
3,0.996148943901062,0.9948186874389648,2.0,2,2.491013947292231e-05
4,0.9948186874389648,0.9934640526771545,2.0,2,3.249658766435459e-05
5,0.9934640526771545,0.9920844435691833,2.0,2,3.744168861885555e-05
6,0.9920844435691833,0.9906790852546692,2.0,2,3.877253766404465e-05
7,0.9906790852546692,0.9892473220825195,2.0,2,3.789151378441602e-05
8,0.9892473220825195,0.9877883195877075,2.0,2,3.8638881960650906e-05
9,0.9877883195877075,0.9863013625144958,2.0,2,4.08025189244654e-05
10,0.9863013625144958,0.9847856163978577,2.0,2,3.753658529603854e-05
11,0.9847856163978577,0.9832402467727661,2.0,2,4.914980672765523e-05
12,0.9832402467727661,0.9816642999649048,2.0,2,5.256416625343263e-05
13,0.9816642999649048,0.9800570011138916,2.0,2,6.42678642179817e-05
14,0.9800570011138916,0.9784172773361206,2.0,2,6.87390856910497e-05
15,0.9784172773361206,0.9767442345619202,2.0,2,7.049927080515772e-05
16,0.9767442345619202,0.9750366806983948,2.0,2,8.20832428871654e-05
17,0.9750366806983948,0.9732937812805176,2.0,2,7.518115307902917e-05
18,0.9732937812805176,0.9715142250061035,2.0,2,6.325571303023025e-05
19,0.9715142250061035,0.9696969985961914,2.0,2,7.135701162042096e-05
20,0.9696969985961914,0.9678407311439514,2.0,2,6.115202995715663e-05
21,0.9678407311439514,0.9659442901611328,2.0,2,6.239285721676424e-05
22,0.9659442901611328,0.964006245136261,2.0,2,7.168115553213283e-05
23,0.964006245136261,0.9620253443717957,2.0,2,7.216526864795014e-05
24,0.9620253443717957,0.9599999785423279,2.0,2,7.222368731163442e-05
25,0.9599999785423279,0.9579287767410278,2.0,2,7.401160837616771e-05
26,0.9579287767410278,0.9558101296424866,2.0,2,7.087860285537317e-05
27,0.9558101296424866,0.9536424279212952,2.0,2,6.5730040660128e-05
