case,method,omega,train_n,test_n,test_dsm_loss,test_true_score_risk
score_oversmoothed,baseline,0,8192,65536,1.7372672571640642,0.07633427039698253
score_oversmoothed,fixed_1,1,8192,65536,1.711274864548806,0.051093008706970804
score_oversmoothed,dsm_calibrated,3.0,8192,65536,1.6838054840548948,0.025125890063552783
high_frequency_error,baseline,0,8192,65536,1.6817540045557882,0.031220500909817518
high_frequency_error,fixed_1,1,8192,65536,1.7870171568608286,0.13851522276311748
high_frequency_error,dsm_calibrated,0.0,8192,65536,1.6817540045557882,0.031220500909817518
spurious_center_peak,baseline,0,8192,65536,1.9155895981474622,0.25217696711620213
spurious_center_peak,fixed_1,1,8192,65536,1.9138260077896052,0.24872310281257592
spurious_center_peak,dsm_calibrated,0.6524111058397901,8192,65536,1.9125782929032211,0.24806290837782985
