method,kl_true_to_potential,mass_near_12_training_centers,off_ring_mass,radial_mse
truth,0.0,0.18348163678513318,0.012367899078170031,0.01438696921444326
baseline,1.8990584226198433,0.5326952760284327,0.012527683507175858,0.014386969214443265
density,4.559216457196272,0.7594390656636925,0.0006624065985725551,0.007725283327225826
log,4.022304771245501,0.6145885398035923,0.013247944984410833,0.014529457288507318
angular,4.984973951805915,0.5536793225505164,0.015098471529169448,0.015079973242801059
