step,time,band,rollout_full_power,target_teacher_power,log_power_mismatch,rollout_state_power,target_teacher_state_power,log_state_power_mismatch,gap_power_derivative,spectral_defect_alignment,gap_power
0,1.0,0,0.19520261640718672,0.1941291702605667,0.0055143140296260995,0.08201552920218091,0.082005466800183,0.00012269651149265925,0.018565310180974848,-0.00010237495039530986,0.0071285878811977454
0,1.0,1,0.0005678779061497607,0.0006530201890342,-0.13970160450207203,0.2968900284031406,0.2967365934455301,0.00051694097057009,0.00036010461747082445,5.030719284927906e-05,0.0002889083479544752
0,1.0,2,0.0002513421292178464,0.000289319621828,-0.14071695925845518,0.6211690448690206,0.6211232473724522,7.373062986087975e-05,0.00020550095393900847,2.891746936300913e-05,0.0002487434709621539
1,0.9987389445304871,0,0.20384370961983223,0.2028013016497425,0.005126880814959156,0.08181222538405564,0.0817998895217897,0.00015079399586515052,0.01316281303076039,-6.748417359829983e-05,0.006181784414820868
1,0.9987389445304871,1,0.0006301473399048518,0.0007228791920539,-0.13728845069593199,0.296146635140758,0.295988946192665,0.0005326109654331113,0.0003410492956277267,4.682212940766948e-05,0.0002846841446739745
1,0.9987389445304871,2,0.00027307899856054973,0.000314049142446,-0.13978835292616232,0.6196127773728222,0.619557956175413,8.848045868220522e-05,0.00020362591394018636,2.8464531122783128e-05,0.00025050924148217746
2,0.9974554777145386,0,0.21229550727002788,0.2112960400736483,0.004719022640665704,0.08160709742514882,0.0815930242824833,0.0001724648554568553,0.0094012257395093,-4.436459711475357e-05,0.005637766280415235
2,0.9974554777145386,1,0.0007056562031664271,0.0008060752579979,-0.13304895581945342,0.29539144242880866,0.2952295232389588,0.0005483015447085293,0.0003291533789990808,4.379351338027251e-05,0.0002891427517113243
2,0.9974554777145386,2,0.0002991570128187959,0.0003432460221688,-0.1374788938077236,0.6180315957171842,0.6179674938321114,0.00010372480962539399,0.00020486182643253414,2.8164177281374666e-05,0.00025730695051606745
3,0.996148943901062,0,0.22094616339018103,0.2201630551062408,0.003550635868961871,0.08140023419400677,0.0813848919642623,0.00018849670300946642,0.007222342352861233,-2.5643907815991568e-05,0.005416824603344139
3,0.996148943901062,1,0.0008016317145234098,0.0009120137523694,-0.12900577573887695,0.2946241234894842,0.2944580170733388,0.0005639499455512009,0.00033124511686821734,4.273253326129933e-05,0.0003033754907164621
3,0.996148943901062,2,0.00033141002430170374,0.0003790138611492,-0.13421642448617987,0.6164247831329703,0.6163511864142492,0.00011939998933552243,0.0002116640776961276,2.840879570053922e-05,0.000269623727575663
4,0.9948186874389648,0,0.23055655397183727,0.2305352686089463,9.232591802210699e-05,0.08119174721650779,0.08117552150361,0.00019986433324570285,0.006410067511808393,-5.91815367611393e-07,0.005516700497082638
4,0.9948186874389648,1,0.0009284530037803052,0.001056477004738,-0.12917530700381796,0.2938443667953834,0.2936741241137497,0.0005795313306140581,0.000352209846383289,4.549681503632892e-05,0.000329811692495241
4,0.9948186874389648,2,0.0003723378196696103,0.000425363338806,-0.1331421589550823,0.6147916509071365,0.614708376408089,0.0001354607520533957,0.00022579128068400678,3.0062338583501633e-05,0.0002883977903707091
