iteration,loss,spectral_data_loss,time_smoothness,shrinkage
0,0.056772779673337936,0.056772779673337936,0.0,0.0
25,0.0024486298207193613,0.0004777066351380199,0.0018904318567365408,0.1914210319519043
50,0.0019458699971437454,0.00036280680797062814,0.001921594375744462,0.15254153311252594
75,0.0018722873646765947,0.00029706835630349815,0.0014179849531501532,0.15326794981956482
100,0.001861785538494587,0.000285372108919546,0.001530294306576252,0.1530504673719406
125,0.0018608623649924994,0.0002844141854438931,0.0014913706108927727,0.15317071974277496
150,0.0018608019454404712,0.00028398577705956995,0.0014996255049481988,0.1531827449798584
175,0.0018607962410897017,0.0002842021349351853,0.001499260077252984,0.15316163003444672
200,0.0018607954261824489,0.00028416619170457125,0.0014989277115091681,0.15316614508628845
225,0.001860796008259058,0.0002841535024344921,0.0014989381888881326,0.15316744148731232
250,0.0018607957754284143,0.0002841555397026241,0.0014989653136581182,0.15316712856292725
275,0.0018607990350574255,0.00028416948043741286,0.0014990379568189383,0.15316583216190338
300,0.0018608003156259656,0.0002841683162841946,0.0014990592608228326,0.1531660258769989
325,0.0018607964739203453,0.0002841590321622789,0.0014989647315815091,0.15316684544086456
350,0.0018607962410897017,0.0002841574605554342,0.0014989629853516817,0.1531669944524765
375,0.001860796008259058,0.0002841562672983855,0.0014989639166742563,0.15316708385944366
400,0.0018607961246743798,0.00028415635460987687,0.0014989642659202218,0.15316708385944366
425,0.0018607963575050235,0.00028415676206350327,0.001498963451012969,0.15316706895828247
450,0.0018608118407428265,0.0002841422101482749,0.0014994246885180473,0.1531686931848526
475,0.0018608120735734701,0.00028417547582648695,0.0014993968652561307,0.15316545963287354
500,0.0018607964739203453,0.00028415850829333067,0.00149896543007344,0.15316690504550934
525,0.0018607963575050235,0.00028415772248990834,0.0014989660121500492,0.1531669646501541
550,0.0018607962410897017,0.00028415591805242,0.00149896543007344,0.15316714346408844
575,0.0018607962410897017,0.00028415609267540276,0.0014989646151661873,0.15316711366176605
600,0.001860796008259058,0.00028415635460987687,0.0014989639166742563,0.15316708385944366
625,0.001861173426732421,0.0002840941015165299,0.0015099827433004975,0.15317799150943756
650,0.0018608146347105503,0.0002841395325958729,0.0014994482044130564,0.1531691700220108
675,0.0018607964739203453,0.000284154579276219,0.0014989663613960147,0.15316729247570038
700,0.0018607963575050235,0.0002841545210685581,0.0014989639166742563,0.15316729247570038
725,0.0018607961246743798,0.00028415664564818144,0.0014989664778113365,0.15316705405712128
750,0.0018607962410897017,0.00028415644192136824,0.0014989646151661873,0.15316709876060486
775,0.0018607962410897017,0.00028415609267540276,0.0014989646151661873,0.15316712856292725
800,0.0018607965903356671,0.0002841576060745865,0.0014989693881943822,0.1531669944524765
825,0.0018609637627378106,0.0002842224494088441,0.001504251267760992,0.15316137671470642
850,0.0018608063692227006,0.0002841730311047286,0.001499361707828939,0.15316525101661682
875,0.0018607975216582417,0.00028416165150702,0.001499036094173789,0.15316647291183472
900,0.0018607962410897017,0.00028415527776814997,0.0014989592600613832,0.1531672179698944
925,0.001860796008259058,0.00028415670385584235,0.0014989679912105203,0.15316703915596008
950,0.0018607961246743798,0.00028415638371370733,0.0014989650808274746,0.15316708385944366
975,0.0018607963575050235,0.00028415623819455504,0.0014989642659202218,0.15316711366176605
1000,0.0018607961246743798,0.00028415670385584235,0.0014989664778113365,0.15316705405712128
1025,0.0018612031126394868,0.0002840721281245351,0.0015097863506525755,0.1531837433576584
1050,0.0018608203390613198,0.00028413222753442824,0.00149938662070781,0.1531706601381302
1075,0.0018607969395816326,0.00028415166889317334,0.0014989341143518686,0.1531677395105362
1100,0.0018607964739203453,0.0002841539971996099,0.0014989461051300168,0.15316741168498993
1125,0.0018607964739203453,0.00028415684937499464,0.0014989700866863132,0.15316705405712128
1150,0.0018607961246743798,0.0002841560053639114,0.0014989622868597507,0.15316712856292725
1175,0.0018607964739203453,0.0002841564128175378,0.0014989642659202218,0.15316711366176605
1200,0.0018607964739203453,0.0002841563255060464,0.0014989642659202218,0.15316711366176605
1225,0.0018607962410897017,0.00028415617998689413,0.0014989642659202218,0.15316711366176605
1250,0.0018607962410897017,0.0002841541718225926,0.0014989480841904879,0.15316736698150635
1275,0.0018608708633109927,0.000284198991721496,0.0015015951357781887,0.1531624048948288
1300,0.001860803458839655,0.00028416753048077226,0.001499332720413804,0.15316559374332428
1325,0.0018607970559969544,0.00028415233828127384,0.0014989369083195925,0.15316766500473022
1350,0.0018607963575050235,0.00028415501583367586,0.0014989490155130625,0.15316729247570038
1375,0.0018607962410897017,0.0002841562672983855,0.0014989631017670035,0.15316711366176605
1400,0.0018607964739203453,0.0002841564128175378,0.0014989650808274746,0.15316711366176605
1425,0.0018607963575050235,0.0002841562672983855,0.0014989643823355436,0.15316711366176605
1450,0.0018607962410897017,0.0002841564710251987,0.0014989639166742563,0.15316709876060486
1475,0.0018607962410897017,0.00028415617998689413,0.0014989639166742563,0.15316711366176605
1500,0.001860796008259058,0.0002841562090907246,0.0014989642659202218,0.15316709876060486
1525,0.001860796008259058,0.00028415577253326774,0.0014989613555371761,0.15316714346408844
1550,0.001861494965851307,0.000284305278910324,0.001520595047622919,0.15315718948841095
1575,0.0018608017126098275,0.00028416511486284435,0.001499217702075839,0.1531660109758377
1600,0.0018607969395816326,0.00028415885753929615,0.001499034115113318,0.15316671133041382
1625,0.0018607961246743798,0.0002841554523911327,0.0014989571645855904,0.15316720306873322
1650,0.0018607962410897017,0.0002841560635715723,0.0014989608898758888,0.15316714346408844
1675,0.0018607963575050235,0.0002841562672983855,0.0014989642659202218,0.15316711366176605
1700,0.0018607962410897017,0.00028415635460987687,0.0014989653136581182,0.15316709876060486
1725,0.0018607962410897017,0.00028415623819455504,0.0014989636838436127,0.15316711366176605
1750,0.0018607962410897017,0.0002841564128175378,0.0014989640330895782,0.15316709876060486
1775,0.0018607961246743798,0.0002841563255060464,0.0014989639166742563,0.15316709876060486
1800,0.0018607961246743798,0.00028415670385584235,0.0014989731134846807,0.1531670242547989
