sample_id,step,time,construction,left_sigma,right_sigma,slope_direction_cosine,slope_rms_ratio
0,30,0.9491525292396544,predicted_clean_axis,0.35,0.7,0.9636522357068802,0.7492999744484462
0,30,0.9491525292396544,predicted_clean_axis,0.7,1.0,0.9713510480858027,0.7385163305176009
0,30,0.9491525292396544,oracle_clean_axis,0.35,0.7,0.9363576171052088,0.5889056309858791
0,30,0.9491525292396544,oracle_clean_axis,0.7,1.0,0.966849647010778,0.6459604904728655
0,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8373034113447214,0.7016757484591661
0,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.90342644581809,0.7231733428598528
0,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8693613934592295,0.6024309314666022
0,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.8992872909772969,0.6602004341636739
0,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.8308903135185574,0.7790114144468961
0,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9291044180127584,0.6691451701287251
0,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.8324605756446719,0.6728090197887029
0,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9368592915994304,0.6461924454804344
0,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.9003192084837698,0.8042287645259443
0,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9503081272400244,0.6814288676960387
0,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.889696314019497,0.7637650764736802
0,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9505271683328652,0.6679750383764006
0,95,0.2962962985038757,predicted_clean_axis,0.35,0.7,0.955289089764606,0.6765355191568796
0,95,0.2962962985038757,predicted_clean_axis,0.7,1.0,0.9779507561616568,0.6403385313176138
0,95,0.2962962985038757,oracle_clean_axis,0.35,0.7,0.9506785569037822,0.6601966017009553
0,95,0.2962962985038757,oracle_clean_axis,0.7,1.0,0.9774058086649848,0.6356553266254877
0,98,0.1403508782386779,predicted_clean_axis,0.35,0.7,0.9648515729729368,0.6047980318304531
0,98,0.1403508782386779,predicted_clean_axis,0.7,1.0,0.98525360689756,0.6089898789175177
0,98,0.1403508782386779,oracle_clean_axis,0.35,0.7,0.9628735172416486,0.5985099989086214
0,98,0.1403508782386779,oracle_clean_axis,0.7,1.0,0.9849214224441548,0.6083826283170337
4,30,0.9491525292396544,predicted_clean_axis,0.35,0.7,0.9023566023140012,0.6848993632395094
4,30,0.9491525292396544,predicted_clean_axis,0.7,1.0,0.9233909401552464,0.6453789538882149
4,30,0.9491525292396544,oracle_clean_axis,0.35,0.7,0.8722786449766683,0.5407936999491608
4,30,0.9491525292396544,oracle_clean_axis,0.7,1.0,0.965898124512067,0.5853868669029648
4,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8210247102602242,0.8398197092528547
4,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9322881955707464,0.6942710168164287
4,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8034179291709733,0.7203422208376555
4,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9506297573155188,0.664509644389699
4,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.841245548021805,0.7954192271923142
4,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.8996125542386433,0.7453802281533745
4,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.8287106155847059,0.7230223023829008
4,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9196937961315076,0.6799405432771471
4,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.9200194525710688,0.7633335030036635
4,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9451582673380976,0.7088648899382215
4,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.9119141327893058,0.7400466557850969
4,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.946817333466514,0.6929250241857637
4,95,0.2962962985038757,predicted_clean_axis,0.35,0.7,0.9568118619886268,0.6672202735949437
4,95,0.2962962985038757,predicted_clean_axis,0.7,1.0,0.9778406069290838,0.6523202766350561
4,95,0.2962962985038757,oracle_clean_axis,0.35,0.7,0.9526221667010372,0.6522249260376566
4,95,0.2962962985038757,oracle_clean_axis,0.7,1.0,0.9772183858757248,0.6468623556531377
4,98,0.1403508782386779,predicted_clean_axis,0.35,0.7,0.9653214506868006,0.6058131919328207
4,98,0.1403508782386779,predicted_clean_axis,0.7,1.0,0.9843543930418382,0.620285638492237
4,98,0.1403508782386779,oracle_clean_axis,0.35,0.7,0.9634027198778472,0.5984991526802652
4,98,0.1403508782386779,oracle_clean_axis,0.7,1.0,0.9840790867775414,0.6188352781229481
8,30,0.9491525292396544,predicted_clean_axis,0.35,0.7,0.960271410226917,0.8752885813808453
8,30,0.9491525292396544,predicted_clean_axis,0.7,1.0,0.9548085581390172,0.9252705354203038
8,30,0.9491525292396544,oracle_clean_axis,0.35,0.7,0.9469091318515084,0.7181520597175637
8,30,0.9491525292396544,oracle_clean_axis,0.7,1.0,0.9581716923336512,0.7980320354142313
8,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8220491381547764,0.6065816273848261
8,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9308292025821264,0.6727628666766924
8,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8317361314957132,0.534238800025986
8,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.933618337610669,0.636966591316509
8,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.7910354676672668,0.6996264109224076
8,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9054242967154096,0.6609036364055721
8,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.8047660512803052,0.6111223289447534
8,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9155040955588382,0.6383013288779315
8,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.8693982085447026,0.840585623358109
8,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9474022708352192,0.6618165017388558
8,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.8615972060253617,0.7921698954197356
8,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9496490707215596,0.6512868107273707
8,95,0.2962962985038757,predicted_clean_axis,0.35,0.7,0.9467353836117134,0.6981626579738217
8,95,0.2962962985038757,predicted_clean_axis,0.7,1.0,0.9770616004399564,0.6359446591638925
8,95,0.2962962985038757,oracle_clean_axis,0.35,0.7,0.9412387736933542,0.680180020550339
8,95,0.2962962985038757,oracle_clean_axis,0.7,1.0,0.9766845419953885,0.6300184183702299
8,98,0.1403508782386779,predicted_clean_axis,0.35,0.7,0.9627311416071206,0.6110959599987466
8,98,0.1403508782386779,predicted_clean_axis,0.7,1.0,0.9856464820238862,0.6063172440885193
8,98,0.1403508782386779,oracle_clean_axis,0.35,0.7,0.9606360412391524,0.6038168831641105
