sample_id,step,time,construction,left_sigma,right_sigma,slope_direction_cosine,slope_rms_ratio
3,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.9429421340530243,0.9230399396212864
3,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9697438427169318,0.7591850585854333
3,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.9291368557174334,0.7757951433888024
3,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.968716800457689,0.7136430290593864
3,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8611345662984051,0.7963544415557338
3,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9286387160135059,0.7132501715638105
3,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8611447722399462,0.6173939521318097
3,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9312640169422132,0.655895554261954
3,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.7752167219804083,0.8069150822816942
3,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9224477276108413,0.6684257837542422
3,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.7940612701599484,0.6973377939951427
3,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9297650585500604,0.6429711930491652
3,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.8922099997257594,0.8330103836093592
3,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9428213892756904,0.688941104891178
3,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.8877352189328925,0.7758552021752474
3,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9446942953901278,0.6749927580050988
3,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9519016719443488,0.684584037130986
3,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.977072687581472,0.6481190697441525
3,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9467847983867289,0.6696857633495558
3,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9766042701141899,0.6412302805803941
3,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.964471751815523,0.6125570731183103
3,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9853267863412465,0.616515648966588
3,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9621247313193927,0.6055060371140052
3,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9849733328083177,0.6141566794451999
7,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.986078367165853,0.7781266643329147
7,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9892123641883782,0.8180239573838428
7,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.9660823600980933,0.6753758423448771
7,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9796629943138839,0.7348389853366268
7,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8896278868247044,0.7610746560820884
7,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.95698888090015,0.6585073538564822
7,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.915314570689449,0.5921159860367968
7,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9695030099772793,0.6201823670894366
7,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.8167990404121048,0.8015752796594752
7,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9511748350123731,0.6252254055416586
7,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.827409793486816,0.6671108381019387
7,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9587748544473813,0.6106047230984202
7,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.8832719345158914,0.7965885996595785
7,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9515913081134844,0.6576850203875847
7,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.8833251170102682,0.7457665423635789
7,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9534795101726399,0.6506782411942779
7,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9478603805374025,0.6733524365779843
7,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9767007669457607,0.6316882134341223
7,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9442038326885337,0.6590314418544356
7,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9763785951998535,0.6292944466791583
7,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.963515055576689,0.6003726966703158
7,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9850867375370244,0.6065436463163362
7,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9615708647497039,0.5942371340394753
7,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.984811280724157,0.6054798544787856
11,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.953739409118817,0.5770674508466942
11,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9920278018867417,0.5952812728759931
11,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.9394064040264296,0.43059692078267886
11,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9927150371510416,0.5613937350777147
11,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8350495170648887,0.6684763062789828
11,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.942904107676984,0.6392481523332323
11,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8711517220238648,0.5529993846247399
