sample_id,step,time,sigma,tau_sigma_squared,construction,alpha_star,target_direction_cosine,model_gap_cosine,pred_oracle_direction_cosine,direction_rms,target_residual_rms,state_perturbation_relative_rms,noise_preservation_rms_error,base_mse,relative_mse_change_alpha_m0p5,relative_mse_change_alpha_0p25,relative_mse_change_alpha_0p5,relative_mse_change_alpha_1
3,30,0.9491525292396545,0.35,0.12249999999999998,predicted_clean_axis,-0.32202359135230685,-0.01424529965003347,0.5366565345826334,0.8116716145111281,0.028056321603319966,0.6342300734133859,0.0030634762067681294,4.5649767176489436e-08,0.40224778593631916,-0.00014094269362172708,0.0004373893927717625,0.0011193908161844463,0.0032172297549317498
3,30,0.9491525292396545,0.35,0.12249999999999998,oracle_clean_axis,3.536706855402032,0.2068887858225903,0.43636869441090687,0.8116716145111281,0.037100923312388005,0.6342300734133859,0.00993185628395135,4.511037563779593e-08,0.40224778593631916,0.012957984588190493,-0.005837373546231636,-0.011247001260554107,-0.020783019193471
3,30,0.9491525292396545,0.7,0.48999999999999994,predicted_clean_axis,-0.1768147078953697,-0.028879041330652225,0.5649724000078231,0.8429722876701913,0.10358842158134408,0.6342300734133859,0.007532695810064519,4.5270931005772235e-08,0.40224778593631916,0.0019523270930406796,0.004025679282491348,0.01138592045099044,0.03611008844601241
3,30,0.9491525292396545,0.7,0.48999999999999994,oracle_clean_axis,0.7701202938582297,0.1397988188708252,0.49355449551253555,0.8429722876701913,0.11513086444112099,0.6342300734133859,0.021825762942894143,4.527752177615608e-08,0.40224778593631916,0.03361563008060488,-0.0106291999504275,-0.017139323174271703,-0.01780233944220996
3,30,0.9491525292396545,1.0,1.0,predicted_clean_axis,-0.15448822867367848,-0.03909411140445283,0.5842419835728276,0.8433731719236683,0.16049547178413404,0.6342300734133859,0.01011324131377829,4.552289987641645e-08,0.40224778593631916,0.006116300369805313,0.008948812950046089,0.02590226799005833,0.0838231043399803
3,30,0.9491525292396545,1.0,1.0,oracle_clean_axis,0.41983426496553045,0.11099611007050494,0.52786056676535,0.8433731719236683,0.16767824094680886,0.6342300734133859,0.02688424831854734,4.536380693982743e-08,0.40224778593631916,0.04681953715598263,-0.01030404425673913,-0.011870938965976525,0.01120672025805306
3,50,0.8888888955116272,0.35,0.12249999999999998,predicted_clean_axis,0.025388316116884052,0.0025079669109437895,0.32047812867201064,0.7571266450294333,0.05401582205875993,0.5468057651626219,0.012001766519803095,4.698525841175926e-08,0.29899654475561044,0.0026873319828427263,0.00048602218800334983,0.0021918364956230512,0.00926284146971225
3,50,0.8888888955116272,0.35,0.12249999999999998,oracle_clean_axis,1.6459974348549282,0.24340041279773703,0.22864242962200096,0.7571266450294333,0.08085841821041168,0.5468057651626219,0.02301991490596909,4.7093526794584044e-08,0.29899654475561044,0.04145930889589691,-0.016629638132856013,-0.030525932055649966,-0.0501184872710528
3,50,0.8888888955116272,0.7,0.48999999999999994,predicted_clean_axis,-0.0263255901229872,-0.008283853658613838,0.41215644566811754,0.852311072724401,0.17206295916376355,0.5468057651626219,0.027749880236335258,4.7265833763212947e-08,0.29899654475561044,0.022147509984483137,0.0074918829947226645,0.02736085798075457,0.10423008392674721
3,50,0.8888888955116272,0.7,0.48999999999999994,oracle_clean_axis,0.4847348199228544,0.1770185324391963,0.33127722163650597,0.852311072724401,0.19968599345469762,0.5468057651626219,0.050587442087674704,4.727338608814812e-08,0.29899654475561044,0.09798501402030994,-0.023987308362344504,-0.03130448429281511,0.0040715611418648
