construction,step,time,sigma,samples,alpha_star_global_mean,alpha_star_median,positive_alpha_star_fraction,target_direction_cosine_mean,target_direction_cosine_median,model_gap_cosine_mean,pred_oracle_direction_cosine_mean,direction_rms_mean,state_perturbation_relative_rms_mean,noise_preservation_rms_error_max,relative_mse_change_alpha_m0p5_mean,relative_mse_change_alpha_m0p5_improved_fraction,relative_mse_change_alpha_0p25_mean,relative_mse_change_alpha_0p25_improved_fraction,relative_mse_change_alpha_0p5_mean,relative_mse_change_alpha_0p5_improved_fraction,relative_mse_change_alpha_1_mean,relative_mse_change_alpha_1_improved_fraction
oracle_clean_axis,30,0.9491525292396544,0.35,32,4.525846225822498,4.432740615054154,1.0,0.25338948874592343,0.2474114057676677,0.2823931768858545,0.65822182085992,0.042203397669235226,0.010210045252000073,4.530882936200183e-08,0.017819524457441283,0.0,-0.007883730642548109,1.0,-0.015083440227647862,1.0,-0.02743079622550235,1.0
oracle_clean_axis,30,0.9491525292396544,0.7,32,1.3895256845954933,1.3736850184408127,1.0,0.20402538168660964,0.2019536626853742,0.3553029555210214,0.7524206651475999,0.11022560974834932,0.02213819944446788,4.529765827011955e-08,0.0436614664957939,0.0,-0.014838260231008081,1.0,-0.025014871784090308,1.0,-0.03138314885647704,0.90625
oracle_clean_axis,30,0.9491525292396544,1.0,32,0.831134637845515,0.6840864978497281,1.0,0.17225908911469598,0.1810562635783423,0.3977814536901995,0.808761226970198,0.15559673274074087,0.02706317495905368,4.5423672691476e-08,0.05885505975632812,0.0,-0.015868808257118668,1.0,-0.022698468766873807,0.90625,-0.009240346544293336,0.75
oracle_clean_axis,50,0.8888888955116272,0.35,32,1.7342348242841297,1.7458350875081448,1.0,0.2649856162552993,0.2662576798205346,0.28269701501373523,0.7126525587002472,0.08528043860605258,0.02367154562427165,4.758032445356685e-08,0.04842207379071302,0.0,-0.019223827012667637,1.0,-0.03512284743687604,1.0,-0.056946468519915194,1.0
oracle_clean_axis,50,0.8888888955116272,0.7,32,0.5671106294613049,0.5507604625737985,1.0,0.2068167887809295,0.20280307803779507,0.36249700417389763,0.8095179557861613,0.20368089386829935,0.05132662449883905,4.78088869220579e-08,0.1159872253141766,0.0,-0.029348339240625045,1.0,-0.03959982953694131,1.0,-0.0028122632966473844,0.65625
oracle_clean_axis,50,0.8888888955116272,1.0,32,0.3541400265199895,0.3556843192900161,1.0,0.17167961269463597,0.16813440540083524,0.38870250055483596,0.8586470076202907,0.27084055768573595,0.06274515019301664,4.7932250278053364e-08,0.15369891679646203,0.0,-0.02592461584086295,1.0,-0.01789933664348059,0.8125,0.10000090686602023,0.125
oracle_clean_axis,70,0.774193525314331,0.35,32,0.9116349187663402,0.9295894151285002,1.0,0.23787586048788317,0.2341009783783149,0.23889093501447042,0.8339975845824695,0.11296476291468176,0.05341514652340868,4.695301968424198e-08,0.08047892107846008,0.0,-0.02697378067621751,1.0,-0.045103774777093354,1.0,-0.054832403252819906,1.0
oracle_clean_axis,70,0.774193525314331,0.7,32,0.2505315134836278,0.25164497653542917,1.0,0.17343402333905,0.17093645864757667,0.3082423242546777,0.8840972620923039,0.299563304222596,0.11582112586309276,4.7086801600707034e-08,0.24650228579090758,0.0,-0.02932101194453498,1.0,0.003978063411542534,0.5,0.2584364760255352,0.0
oracle_clean_axis,70,0.774193525314331,1.0,32,0.1687132978064517,0.16880477969676888,1.0,0.15064727127252606,0.1501163136000922,0.3293020164047971,0.9054306648858708,0.3866995116927711,0.14158923506094892,4.717064389632382e-08,0.3456888715613473,0.0,-0.015443460317356106,0.90625,0.07404706300749937,0.0,0.5678300605838456,0.0
oracle_clean_axis,85,0.5853658318519592,0.35,32,0.6767973489052463,0.6950948546182526,1.0,0.20674822550575794,0.2114306874893839,0.18976412972787396,0.9089906481624411,0.10334556409225407,0.11015442443132431,5.65021028639248e-08,0.08694315743562457,0.0,-0.025826868034688446,1.0,-0.03989059561396109,1.0,-0.03272862940625868,1.0
oracle_clean_axis,85,0.5853658318519592,0.7,32,0.16663034188049575,0.16509041521443785,1.0,0.1548703706104742,0.15635879229318544,0.26156631017003223,0.9371373408816052,0.3160227239965451,0.23886660444678773,5.669753845838007e-08,0.36601179619852237,0.0,-0.017238117180606527,0.96875,0.0760356195845566,0.0,0.5941186549521923,0.0
