arm,fid,inception_score,primary_samples,generated_paths,full_calls_per_output,prefix_calls_at_inference,head_calls_per_output,seconds,delta_from_cfg
cfg_reference,39.27150249912978,59.024784088134766,1000,1000,198,0,0,812.5698253288865,0.0
cfg_more,38.69092396886629,62.49706535339355,1000,1000,198,0,0,814.5230288994499,-0.5805785302634945
cfg_native,39.914608213938436,57.51969337463379,1000,1000,198,0,50,820.2003021822311,0.6431057148086552
cfg_mlp,39.40833710367622,58.42550392150879,1000,1000,198,0,50,813.2741422229446,0.13683460454643637
