condition,kind,rho_first,rho_second,probe_multiplier,local_multiplier,roundtrip_iterations,roundtrip_multiplier,residual_strength,partition_count,fsg_base_fraction,fid,sfid,inception_score,strong_nfe,guided_nfe,weak_nfe,total_nfe,noise_sha256,label_sha256,fid_delta_vs_global
fmd_decomposition_velocity_change_recomposed_h0p03125,fmd_velocity_change_recomposed_continuous,0.03125,1.0,1.0,1.0,1,1.0,0.0,2,0.0,61.969099914750586,206.9784296463863,37.42352294921875,0,3758,0,3758,bfe8f2bbeba3a6f0784e620e48669e2ec85d6d6a34e2b60a497bb69b1a1a85d1,8fcb094e8606d6e615ffebf8b6773b81c7c0f572eb65db92563abdb0475b6a57,
fmd_decomposition_velocity_parameterization_transport_h0p03125,fmd_velocity_parameterization_transport_continuous,0.03125,1.0,1.0,1.0,1,1.0,0.0,2,0.0,170.6240704074457,351.20159997654093,6.568967819213867,0,4021,0,4021,bfe8f2bbeba3a6f0784e620e48669e2ec85d6d6a34e2b60a497bb69b1a1a85d1,8fcb094e8606d6e615ffebf8b6773b81c7c0f572eb65db92563abdb0475b6a57,
fmd_decomposition_velocity_score_evolution_h0p03125,fmd_velocity_score_evolution_continuous,0.03125,1.0,1.0,1.0,1,1.0,0.0,2,0.0,271.15389944594733,267.66308335543965,3.3621091842651367,0,2953,0,2953,bfe8f2bbeba3a6f0784e620e48669e2ec85d6d6a34e2b60a497bb69b1a1a85d1,8fcb094e8606d6e615ffebf8b6773b81c7c0f572eb65db92563abdb0475b6a57,
