condition,kind,rho_first,rho_second,probe_multiplier,local_multiplier,roundtrip_iterations,roundtrip_multiplier,residual_strength,partition_count,fsg_base_fraction,fid,sfid,inception_score,strong_nfe,guided_nfe,weak_nfe,total_nfe,noise_sha256,label_sha256,fid_delta_vs_global
fmd_decomposition_weak_calibration_horizon_geomean_h0p03125,fmd_weak_calibration_horizon_geomean_continuous,0.03125,1.0,1.0,1.0,1,1.0,0.0,2,0.0,61.9924665522239,206.79697513639474,36.8060417175293,0,17776,0,17776,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,
fmd_decomposition_weak_calibration_reference_geomean_h0p03125,fmd_weak_calibration_reference_geomean_continuous,0.03125,1.0,1.0,1.0,1,1.0,0.0,2,0.0,62.17411953547605,206.5184060860954,37.36362838745117,0,17576,0,17576,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,
