condition,order,stage_gammas,fid,sfid,inception_score,total_nfe,total_model_forwards,noise_sha256,label_sha256
forward_v270_v400_v500,v270->v400->v500,3.5->4->3,65.30642020233432,216.73816890468652,35.87501907348633,12808,25616,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
reverse_v500_v400_v270,v500->v400->v270,3->4->3.5,69.83230848549107,221.9486909154897,35.006011962890625,13558,27116,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
static_v270,v270,3.5,61.03574826580024,219.4207936386806,38.524200439453125,11980,23960,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
static_v400,v400,4,68.62333109283242,219.0600755532962,33.39948654174805,11644,23288,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
static_v500,v500,3,74.52262256790448,217.98409696735735,32.08544921875,9910,19820,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
