model,track,strict_kappa,kappa,b,a,tau,tau_normalized,boundary
sit_small,ig,0.979999999999502,0.9799999999999999,0.4063275526484572,0.398201001595488,0.013218514229803503,0.02114935249512221,True
sit_small,cfg,0.9799999999999996,0.9799999999999999,0.020000000000000004,0.019600000000000003,0.057772652941283,0.09243506345657701,True
raev2,ig,0.9799999999999994,0.9799999999999999,0.020000000000000004,0.019600000000000003,0.30714723220861373,0.2959568316304283,True
raev2,cfg,0.9799999999999999,0.9799999999999999,0.020000000000000004,0.019600000000000003,0.37514057702172654,0.361472951564651,True
