model,track,fixed_previous_kappa,observed_negative_mass,effective_density_residual_tv_lower_bound,error_kernel_tv_lower_bound_if_no_additive,negative_mass_descriptive_lower,negative_mass_descriptive_upper
sit_small,ig,0.4870246670717804,0.10095859732099763,0.19680984803829682,0.20729668155826242,0.07132371576228907,0.129549868330172
sit_small,cfg,0.6451071386849161,0.19781212933781664,0.5573854841847423,0.3066345378553193,0.14815628542591444,0.24814600524087635
raev2,ig,0.10895094185185267,0.0,0.0,0.0,0.0,0.00885777871049117
raev2,cfg,0.09727757036363077,0.0,0.0,0.0,0.0,0.0
