step,mlp,native_fresh
1,1.0993092060089111,1.0993092060089111
100,0.1495961844921112,0.14033612608909607
200,0.09380500763654709,0.09675030410289764
300,0.10565119236707687,0.10615994781255722
400,0.0878482311964035,0.0869695395231247
500,0.13408806920051575,0.14054690301418304
600,0.10043381154537201,0.1109614223241806
700,0.10097570717334747,0.1078312024474144
800,0.09121003746986389,0.09896954149007797
900,0.08291584253311157,0.08980768918991089
1000,0.10868450254201889,0.11727394163608551
1100,0.08827835321426392,0.09469606727361679
1200,0.09621042013168335,0.10820646584033966
1300,0.08784764260053635,0.09475740045309067
1400,0.0633607730269432,0.06986814737319946
1500,0.1135701835155487,0.16388510167598724
1600,0.08804544061422348,0.09682507812976837
1700,0.08409468829631805,0.09363045543432236
1800,0.08232376724481583,0.09491676092147827
1900,0.06934282183647156,0.08043065667152405
2000,0.07295340299606323,0.08146438747644424
2100,0.06635525822639465,0.07626676559448242
2200,0.0772288367152214,0.08567605912685394
2300,0.06963442265987396,0.0778937041759491
2400,0.08947408199310303,0.1005386933684349
2500,0.07569621503353119,0.08493434637784958
2600,0.10656505078077316,0.11094608902931213
2700,0.07782205194234848,0.08697021007537842
2800,0.07407000660896301,0.0808856263756752
2900,0.07092997431755066,0.08063718676567078
3000,0.14717072248458862,0.11499875038862228
