arm,fid,inception_score,primary_samples,generated_paths,full_calls_per_output,prefix_calls_at_inference,head_calls_per_output,seconds,delta_from_native
mlp,53.64914490409683,33.811716651916505,1000,1000,100,0,50,409.5636942088604,-2.4638068852314063
native_fresh,58.144433600408206,30.43539505004883,1000,1000,100,0,50,407.5188929727301,2.0314818110799706
native_base,56.112951789328235,31.774690628051758,1000,1000,100,0,50,399.12861427944154,0.0
adg,56.157784242778575,32.18846187591553,1000,1000,100,0,50,409.17572855670005,0.044832453450339926
strong,63.92256474288553,27.883886909484865,1000,1000,100,0,0,396.7529349825345,7.809612953557291
cfg_reference,38.508138350201534,59.364210510253905,1000,1000,198,0,0,784.03359601181,-17.6048134391267
