family,name,kind,gamma,formula,provider,positive_head,negative_head,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds
head_difference,v800_plus_g_depth8_minus_depth4_g0,head_difference,0.0,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,84.96874690343765,222.24856259080047,29.524131774902344,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,52.0356377690332
head_difference,v800_plus_g_depth8_minus_depth4_g0p4,head_difference,0.4,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,72.36351913398858,214.131196465529,33.849098205566406,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7876,57.15384368598461
head_difference,v800_plus_g_depth8_minus_depth4_g0p5,head_difference,0.5,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,71.03229033511514,213.52167398037284,33.73701858520508,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8314,60.46924418094568
head_difference,v800_plus_g_depth8_minus_depth4_g0p6,head_difference,0.6,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,70.08980776644336,213.5834567759423,34.89741134643555,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8548,62.70306591701228
head_difference,v800_plus_g_depth8_minus_depth4_g0p65,head_difference,0.65,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,69.94476829158828,213.63983485863173,35.1397705078125,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8548,61.288349988055415
head_difference,v800_plus_g_depth8_minus_depth4_g0p7,head_difference,0.7,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,70.03767021530155,213.9271193730292,35.00279998779297,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8578,64.76515908108559
head_difference,v800_plus_g_depth8_minus_depth4_g0p75,head_difference,0.75,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,70.1017332648434,214.21981620876977,34.56438446044922,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8500,61.92832045990508
head_difference,v800_plus_g_depth8_minus_depth4_g0p8,head_difference,0.8,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,70.08584117389665,214.58365318174447,33.830718994140625,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8494,61.51164036791306
head_difference,v800_plus_g_depth8_minus_depth4_g0p9,head_difference,0.9,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,70.34201681289443,215.4890501690909,33.392433166503906,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8686,61.84169649297837
head_difference,v800_plus_g_depth8_minus_depth4_g1,head_difference,1.0,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,70.82468664523844,216.22862669560527,31.923181533813477,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9058,63.270234404015355
head_difference,v800_plus_g_depth8_minus_depth4_g1p1,head_difference,1.1,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,71.93875479410582,217.51951661839098,31.530410766601562,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9196,63.86128545203246
head_difference,v800_plus_g_depth8_minus_depth4_g1p2,head_difference,1.2,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,73.20137041407645,219.04080069370048,30.52227020263672,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9454,65.763485970092
head_difference,v800_plus_g_depth8_minus_depth4_g1p3,head_difference,1.3,v800 + gamma * (depth8_v - depth4_v),,depth8_v,depth4_v,74.75012008672286,220.66000586199095,29.62694549560547,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9466,66.32069335901178
