family,best_gamma,best_fid,baseline_fid,fid_improvement,best_sfid,best_inception_score
weak_head_difference,0.65,69.94476829158828,84.96874690343765,15.023978611849373,213.63983485863173,35.1397705078125
x800_velocity,0.35,70.27121697805887,87.38217212705467,17.1109551489958,213.36704276135924,32.46672058105469
x800_clean,0.25,73.77319514490716,87.37915855987836,13.6059634149712,214.5166327172741,30.70658302307129
x800_epsilon,0.2,71.90812600845442,87.37872455081998,15.470598542365565,215.68689903479435,33.258060455322266
