family,name,kind,gamma,formula,provider,positive_head,negative_head,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p1,full_gap,0.1,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,77.91283848884137,215.82357036875123,30.641159057617188,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7702,59.167986377025954
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p15,full_gap,0.15,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,75.36566674156126,214.5457757425695,30.710617065429688,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8074,58.987122120917775
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p2,full_gap,0.2,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,73.95041904980155,214.0737250226507,30.677242279052734,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8422,61.03145010501612
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p25,full_gap,0.25,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,73.77319514490716,214.5166327172741,30.70658302307129,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8890,62.99250175699126
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p3,full_gap,0.3,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,74.30844103539869,215.63675699042187,30.348798751831055,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9340,64.393548555905
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p35,full_gap,0.35,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,75.94826916915025,217.31664725352914,30.133255004882812,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9844,70.14005234604701
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p4,full_gap,0.4,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,78.25931184457596,219.47502999139067,28.07402801513672,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10228,71.69196066295262
x800_clean,x800_plus_g_strong_minus_depth4_clean_g0p6,full_gap,0.6,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,92.31054798671943,229.07335775502838,22.342348098754883,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,11146,75.12659444508608
x800_clean,x800_plus_g_strong_minus_depth4_clean_g1,full_gap,1.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,120.24012350147399,229.78934356144896,16.22828483581543,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,11416,80.71197949908674
x800_clean,x800_plus_g_strong_minus_depth4_clean_g1p5,full_gap,1.5,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,145.4904229959526,227.66867667347606,14.95814037322998,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12364,84.31407677289099
x800_clean,x800_plus_g_strong_minus_depth4_clean_g2,full_gap,2.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,171.49454917706294,228.47926239809544,12.594017028808594,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,13270,88.6015909849666
x800_clean,x800_plus_g_strong_minus_depth4_clean_gm0p5,full_gap,-0.5,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_clean)),x800_depth4_clean,,,191.47665768916977,273.87926785893046,9.767006874084473,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7990,58.2051585779991
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0,full_gap,0.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,87.37872455081998,220.39119906308315,28.360963821411133,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7114,54.71300829201937
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p1,full_gap,0.1,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,77.02135474527279,215.6112882113016,32.44792938232422,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7990,57.434417961048894
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p15,full_gap,0.15,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,73.93238003186599,215.34433056712635,33.041831970214844,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8212,58.30604436493013
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p2,full_gap,0.2,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,71.90812600845442,215.68689903479435,33.258060455322266,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8812,60.14591733796988
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p25,full_gap,0.25,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,72.51197574918581,216.93595030862116,32.61985778808594,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8866,66.96659940399695
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p3,full_gap,0.3,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,74.33640832332094,218.4609187998999,30.525724411010742,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9190,63.5720533200074
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p35,full_gap,0.35,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,77.04657895487668,220.5767800496867,29.372783660888672,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9418,64.62661754200235
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p4,full_gap,0.4,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,80.86913473613862,223.0543371015401,27.210407257080078,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10042,67.53134481306188
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g0p6,full_gap,0.6,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,95.92193252361204,231.76414399278076,20.513111114501953,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10636,71.12438455899246
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g1,full_gap,1.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,125.63124451945043,246.08086725084218,13.180126190185547,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12898,82.59657232207246
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g1p5,full_gap,1.5,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,152.73304667243178,263.3376238054418,9.436341285705566,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,15316,95.5261074139271
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_g2,full_gap,2.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,177.72576084042723,283.7162888519389,7.5249810218811035,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,17194,107.59256777504925
x800_epsilon,x800_plus_g_strong_minus_depth4_epsilon_gm0p5,full_gap,-0.5,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_epsilon)),x800_depth4_epsilon,,,206.21360188007174,279.28221946139115,6.009254455566406,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7840,56.445843786001205
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0,full_gap,0.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,87.38217212705467,220.39046652230536,28.363527297973633,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7114,52.79535593895707
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p1,full_gap,0.1,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,77.80581155140692,215.28862786716263,31.65224266052246,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7366,54.297791606979445
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p2,full_gap,0.2,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,72.25514167902611,212.68547543829322,33.47116470336914,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7804,56.85467596701346
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p25,full_gap,0.25,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,70.94847835077593,212.62659932289102,33.31764602661133,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8104,57.375092074042186
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p3,full_gap,0.3,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,70.39850238686125,212.82793154026956,33.17158126831055,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8278,59.99800729297567
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p35,full_gap,0.35,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,70.27121697805887,213.36704276135924,32.46672058105469,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8434,60.021580460015684
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p4,full_gap,0.4,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,71.11841628447786,214.37951460007196,32.4111328125,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8614,61.38376317999791
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p45,full_gap,0.45,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,72.76605711098784,215.8113600586596,31.462581634521484,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8668,61.042420716024935
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g0p6,full_gap,0.6,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,78.65294624107219,220.69896930377888,28.00275993347168,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9358,64.65944560791831
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g1,full_gap,1.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,97.33471638731118,232.8561400973541,19.463356018066406,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10630,71.41939487005584
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g1p5,full_gap,1.5,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,118.50771201192543,246.47135320612483,14.083247184753418,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12742,82.78564788005315
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_g2,full_gap,2.0,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,131.65822534251174,254.21871252811775,11.481350898742676,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,13672,87.59602524200454
x800_velocity,x800_plus_g_strong_minus_depth4_velocity_gm0p5,full_gap,-0.5,velocity(x800) + gamma * (velocity(x800) - velocity(depth4_velocity)),x800_depth4_velocity,,,190.21914000250104,272.51732525001944,9.32558822631836,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6934,51.79759877198376
