step,loss,real_loss,fake_loss,centering,real_logit,fake_logit,margin,grad_norm,elapsed_seconds,steps_per_second,peak_memory_mib
1,53.79199934005737,25.79861617088318,27.993249535560608,0.13321234192699194,0.344840282574296,0.34382216166704893,0.0010181160178035498,7945.6494140625,4.1501586369704455,0.24095464474340797,18579.7109375
10,30.895760774612427,15.141160249710083,15.754426419734955,0.17394006438553333,0.1681486815214157,0.16319803521037102,0.004950646078214049,3095.349365234375,35.68003361299634,0.28026879426362233,18828.5810546875
20,26.795313119888306,12.487731724977493,14.307400226593018,0.18067648261785507,0.49701689928770065,0.5110344374552369,-0.01401755295228213,5967.68701171875,70.62736094300635,0.28317637432523146,18828.5810546875
30,13.94153356552124,6.991227775812149,6.950110226869583,0.19577252306044102,0.011093951761722565,0.028388740494847298,-0.01729478663764894,7686.6103515625,105.40052986401133,0.28462855014776733,18828.5810546875
40,9.74290806055069,4.9036213755607605,4.839064121246338,0.22244488447904587,0.027028048411011696,0.03635780140757561,-0.009329734835773706,8970.955078125,140.4008690699702,0.28489852139067307,18828.5810546875
50,6.72417151927948,3.0538691878318787,3.6700477600097656,0.2545265480875969,0.15114245656877756,0.16653612162917852,-0.015393650741316378,889.1212768554688,175.08872906200122,0.2855694953516645,18828.5810546875
60,5.7268385887146,2.568310424685478,3.158280849456787,0.24730232916772366,0.20872091315686703,0.16925476677715778,0.03946614975575358,9924.8271484375,209.39736357005313,0.28653655889954516,18828.5810546875
70,5.188034772872925,2.714827373623848,2.4729596376419067,0.24781779013574123,-0.034164903685450554,-0.03762751864269376,0.0034626161213964224,710.2952270507812,243.76475941902027,0.2871620990943702,18828.5810546875
80,6.280139327049255,3.1111090630292892,3.1687407195568085,0.28941158577799797,0.026549589354544878,0.011387106031179428,0.015162485651671886,14921.380859375,278.05039748805575,0.2877176250159346,18828.5810546875
90,4.6903116106987,2.7496143579483032,1.9403929263353348,0.30434253439307213,-0.18791519152000546,-0.20889013959094882,0.020974942250177264,770.7775268554688,312.0503689079778,0.2884149770915367,18828.5810546875
100,5.088480174541473,2.4197175204753876,2.668449714779854,0.3129027523100376,0.07055720500648022,0.07019540760666132,0.0003618100890889764,3025.13037109375,345.98161015706137,0.2890327030809647,18828.5810546875
110,3.5808249413967133,1.7597178369760513,1.8208101689815521,0.29696229845285416,0.03954328130930662,0.020180130610242486,0.019363148720003664,550.8120727539062,390.2735706890235,0.2818535721130085,18828.5810546875
120,3.44242325425148,1.7571525126695633,1.6849503815174103,0.3202959895133972,0.0027910196222364902,-0.005975701380521059,0.008766720828134567,9002.330078125,424.49489036400337,0.282688915047011,18828.5810546875
130,3.649779260158539,1.890318050980568,1.7591532319784164,0.3078681454062462,-0.02841241378337145,-0.0424817786552012,0.01406936498824507,243.40966796875,458.68324793397915,0.2834199866368602,18828.5810546875
140,3.110753506422043,1.462148480117321,1.6483167856931686,0.288198996335268,0.05848392262123525,0.04682912363205105,0.011654803180135787,114.3780746459961,492.55184386705514,0.28423403900156236,18828.5810546875
150,2.769784986972809,1.305426076054573,1.4640832170844078,0.27572929859161377,0.05745637486688793,0.03659107373096049,0.02086529857479036,4305.6025390625,526.4842963410774,0.28490878273570397,18828.5810546875
160,3.042928695678711,1.4606757462024689,1.5819744020700455,0.27851543575525284,0.0358070598449558,0.03607810568064451,-0.0002710457192733884,188.23934936523438,560.9844159460627,0.28521291403464516,18828.5810546875
170,2.7272351384162903,1.355332888662815,1.3716496974229813,0.2525949291884899,0.004667324014008045,0.005602491553872824,-0.0009351663757115602,9993.533203125,594.8780610139947,0.2857728518517355,18828.5810546875
180,3.0169460475444794,1.4167900457978249,1.5998821258544922,0.2738121375441551,0.052892331033945084,0.04296375857666135,0.00992857466917485,205880.28125,629.0504112229683,0.28614558831628933,18828.5810546875
190,2.7265565991401672,1.2608957439661026,1.465371236205101,0.28970925137400627,0.04772086162120104,0.0483805644325912,-0.0006596976309083402,199.43263244628906,663.2889245650731,0.28645133811722456,18828.5810546875
200,2.590952754020691,1.334920346736908,1.255772925913334,0.2595326881855726,-0.008230758598074317,-0.01683259173296392,0.008601835172157735,2778.96337890625,697.6848676410737,0.28666237333800204,18828.5810546875
210,2.5826265811920166,1.4886095076799393,1.0937223955988884,0.29472998157143593,-0.09430742217227817,-0.10134575795382261,0.007038337120320648,86.39492797851562,747.9196572289802,0.2807788215889975,18828.5810546875
