comparison,time,global_cosine,mean_sample_cosine,mean_angle_degrees,mean_projection_beta,candidate_to_reference_rms_ratio,nonparallel_energy_fraction,sample_count
etg_scalar_vs_velocity_gap,0.02500000037252903,0.9808043762518364,0.9801219028886408,11.372846880927682,0.9478537291288376,0.9729691810644121,0.03683556843008699,256.0
etg_scalar_vs_velocity_gap,0.07500000298023224,0.9940654874741229,0.9932292974554002,6.619903224520385,0.9610105056781322,0.9709695184711382,0.011679301411203132,256.0
etg_scalar_vs_velocity_gap,0.15000000596046448,0.9984258734948076,0.9980970593169332,3.4918226902373135,0.978887349832803,0.9827008164955394,0.00311045946582103,256.0
etg_scalar_vs_velocity_gap,0.25,0.9994911745112426,0.999391375342384,1.9680420635268092,0.9894417631439865,0.9912855200143592,0.0010068748172870252,256.0
etg_scalar_vs_velocity_gap,0.3499999940395355,0.9997687600748052,0.9997419568244368,1.2877826902549714,0.9942458730656654,0.9951272482431964,0.0004585891201404171,256.0
etg_scalar_vs_velocity_gap,0.44999998807907104,0.9998644362796669,0.9998561290558428,0.966153361601755,0.9962887191213667,0.9967517774006214,0.0002695736988710409,256.0
etg_scalar_vs_velocity_gap,0.550000011920929,0.9998904667916774,0.9998859313782305,0.8615420127753168,0.996992195257917,0.9972981286439098,0.00021829155000370224,256.0
etg_scalar_vs_velocity_gap,0.6499999761581421,0.9998883655562925,0.9998845565132797,0.8671678004320711,0.9969660162460059,0.9972202598699641,0.00022272070294154426,256.0
etg_scalar_vs_velocity_gap,0.75,0.999841332140008,0.9998355663847178,1.0342853695619851,0.995879890397191,0.9961999424973422,0.0003165455140635086,256.0
etg_scalar_vs_velocity_gap,0.8500000238418579,0.9995470448266506,0.999517441727221,1.7635356741957366,0.9917667671106756,0.9926864510884565,0.0009016691358474782,256.0
etg_scalar_vs_velocity_gap,0.925000011920929,0.9974651528710388,0.9971834926400334,4.23953200597316,0.9769137722905725,0.9816666053555811,0.005007581080005396,256.0
etg_scalar_vs_velocity_gap,0.9750000238418579,0.9899478176529445,0.9891706130001694,8.37218561116606,0.9458003253675997,0.9598012373111661,0.019691660282283092,256.0
etg_channel_vs_velocity_gap,0.02500000037252903,0.9810302454288107,0.9803577421698719,11.305121164768934,0.9490235939156264,0.9738801612488152,0.03640462873507884,256.0
etg_channel_vs_velocity_gap,0.07500000298023224,0.9940871174401283,0.9932543803006411,6.607658424414694,0.9611970237456262,0.9711102011834495,0.011637859799327225,256.0
etg_channel_vs_velocity_gap,0.15000000596046448,0.9984291761189167,0.9981011794880033,3.4880489227361977,0.9789564108941704,0.982747731627979,0.0031042012684045018,256.0
etg_channel_vs_velocity_gap,0.25,0.9994919813477388,0.9993923548609018,1.9664358543232083,0.9894321470055729,0.9912724138549671,0.001005265551130186,256.0
etg_channel_vs_velocity_gap,0.3499999940395355,0.9997687338036737,0.9997419237624854,1.2878638026304543,0.9942425102926791,0.9951236359703741,0.00045862944792489694,256.0
etg_channel_vs_velocity_gap,0.44999998807907104,0.9998644297475503,0.9998561248648912,0.966167185921222,0.9962903345003724,0.9967532595063306,0.00026959659549157916,256.0
etg_channel_vs_velocity_gap,0.550000011920929,0.9998905090431898,0.9998859849292785,0.8613517349585891,0.9969804368447512,0.9972869522481593,0.0002182068348577444,256.0
etg_channel_vs_velocity_gap,0.6499999761581421,0.9998884526682581,0.9998846556991339,0.8668080139905214,0.9969583561178297,0.9972131093922865,0.0002225437603109782,256.0
etg_channel_vs_velocity_gap,0.75,0.9998414542678875,0.9998356888536364,1.0338873623404652,0.9958835295401514,0.9962030320694991,0.00031631634480945006,256.0
etg_channel_vs_velocity_gap,0.8500000238418579,0.9995461097666121,0.9995163916610181,1.7654219758696854,0.9917646120302379,0.9926821484257338,0.0009035859224995277,256.0
etg_channel_vs_velocity_gap,0.925000011920929,0.9974480875300241,0.9971643674653023,4.253955549560487,0.9768451540730894,0.9816123487462047,0.005041709254482924,256.0
etg_channel_vs_velocity_gap,0.9750000238418579,0.9899031763966317,0.9891222396399826,8.39091175980866,0.9456754943821579,0.9597255734576514,0.019779121774288266,256.0
private_velocity_vs_common_gap,0.02500000037252903,-0.03685863853392813,-0.05540428719700685,93.20512145757675,-0.01376589677050788,0.19918936035926907,0.9752396463730848,256.0
private_velocity_vs_common_gap,0.07500000298023224,-0.20701819699331625,-0.21348888798456755,102.35597378015518,-0.026495415658928323,0.1142916903657922,0.9495548645161491,256.0
private_velocity_vs_common_gap,0.15000000596046448,-0.26952582124318636,-0.2721864502382232,105.83122444152832,-0.01765067707401613,0.059202965479113905,0.9196793688092814,256.0
private_velocity_vs_common_gap,0.25,-0.24972853495936118,-0.25888809718890116,105.02829104661942,-0.00946321340961731,0.03320382041843505,0.9297772511743827,256.0
private_velocity_vs_common_gap,0.3499999940395355,-0.211130293203664,-0.22110934287775308,102.79638144373894,-0.005275810578041273,0.02210893763523948,0.9484029208828398,256.0
private_velocity_vs_common_gap,0.44999998807907104,-0.18566262763053967,-0.19391195545904338,101.19757199287415,-0.003436331104921919,0.01681169721037141,0.9605340863879899,256.0
private_velocity_vs_common_gap,0.550000011920929,-0.17328382114392327,-0.1792124007770326,100.33385813236237,-0.0028008534088712622,0.015065671931625476,0.9668701853229108,256.0
private_velocity_vs_common_gap,0.6499999761581421,-0.17631175116045214,-0.1803775167791173,100.39823815226555,-0.00282012563002354,0.01521632150234239,0.9667450275198589,256.0
private_velocity_vs_common_gap,0.75,-0.20019161956098333,-0.20336049440084025,101.73842167854309,-0.003804291562119033,0.01824395179628406,0.9578899596686907,256.0
private_velocity_vs_common_gap,0.8500000238418579,-0.22214936162581095,-0.22675727627938613,103.11152791976929,-0.0073324906752532115,0.031125742259861772,0.9474242599829082,256.0
private_velocity_vs_common_gap,0.925000011920929,-0.2165404541234188,-0.22484602528857067,103.00246566534042,-0.017950414108781843,0.07450050221303615,0.9471911715406265,256.0
private_velocity_vs_common_gap,0.9750000238418579,-0.20823342048897114,-0.2160035295819398,102.48944300413132,-0.03475159947265638,0.15100357631473696,0.9498458981583492,256.0
private_clean_vs_common_gap,0.02500000037252903,0.8309236601143023,0.8296618829481304,33.582586616277695,0.7692971451906487,0.9187254365945091,0.2994579941368221,256.0
private_clean_vs_common_gap,0.07500000298023224,0.6525521090744014,0.6760887496639043,47.190894946455956,0.53619978367351,0.7504857011970271,0.5362355666339568,256.0
private_clean_vs_common_gap,0.15000000596046448,0.5384005097783036,0.5554045239696279,56.06002923846245,0.4053475742111914,0.6784645646485234,0.6795042778788765,256.0
private_clean_vs_common_gap,0.25,0.43879606406709576,0.441100645752158,63.66273778676987,0.29931779169419315,0.64002925336707,0.7852187923393487,256.0
private_clean_vs_common_gap,0.3499999940395355,0.29712228190909834,0.29560467817645986,72.67287658154964,0.17884036790928803,0.5752336888190389,0.8899374296142479,256.0
private_clean_vs_common_gap,0.44999998807907104,0.17795315202765347,0.17773599599422596,79.66162557899952,0.10533855669689274,0.5558221808618841,0.9441851004073484,256.0
private_clean_vs_common_gap,0.550000011920929,0.05263090031502764,0.05410404095391641,86.8670947253704,0.03279481179993127,0.5545703609064716,0.9766557932915868,256.0
private_clean_vs_common_gap,0.6499999761581421,-0.08076389872970495,-0.07626577632510134,94.40684735774994,-0.04758011118030936,0.5962238693932881,0.9774927157454736,256.0
