direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean
v180,overall,0.0,1.0,4096,9.895725278852296e-05,0.0004940433991829331,-0.00010038761348329928,4.282343093849537e-05,-4.332502808903696e-06,7.519678014864886e-06,-0.9857516216877268,-0.5761553620167262,-2.994583782947906e-08,-1.6184683632672206e-05,0.471923828125,7.847998453620958,-13.534363247865258,-0.030454216146397647
v180,high_noise,0.0,0.5,2082,-9.985114092152211e-06,0.0008955434595256308,0.00011345883512316029,6.413770282397678e-05,-3.8076342043938938e-06,8.57336799314751e-06,-0.08800649223406275,-0.44412350052362687,-1.513870609443936e-08,-1.6188636401935587e-05,0.5196926032660903,5.543600873420876,-8.432723818241291,-0.028456408424789022
v180,low_noise,0.5,1.0,2014,0.00021157791209615241,0.00039079053490576217,-0.000321454299679252,5.606343873857059e-05,-4.8750928955915825e-06,6.430411612290696e-06,-0.6581897094151966,-0.7581307682191957,-2.393581259032124e-07,-1.618059740347399e-05,0.4225422045680238,9.669156149238823,-18.80825266816173,-0.03251947715751441
v180,q0,0.0,0.25,994,0.00022224971302644439,0.0018428180848009445,0.00015918385470212813,0.0001224054541475732,-6.758768453565494e-06,1.4903553038235954e-05,1.3961825050808567,-0.4535004798000497,4.541763245415415e-08,-2.8421089945367822e-05,0.5251509054325956,3.5134504752730393,-4.939360301304511,-0.023877134091151636
v180,q1,0.25,0.5,1088,-0.00022215553519131122,0.00032209465583170604,7.168432275046358e-05,5.0616745246888484e-05,-1.1114692745441058e-06,2.7900923177633937e-06,-3.099081175177519,-0.3983629027139456,-3.6988780299104483e-08,-5.01303086685161e-06,0.5147058823529411,6.894206922063025,-11.62427100191331,-0.03264004692445406
v180,q2,0.5,0.75,1017,0.00013103864102824908,0.00034182759183006006,-0.0001953909166854135,6.147465924283692e-05,-1.496730621455599e-06,3.8777774790104444e-06,-0.6706485810659565,-0.3859764077637441,-8.938513070660703e-08,-6.871238721921648e-06,0.44346116027531957,9.936142716975663,-18.91528119280158,-0.033114832363441704
v180,q3,0.75,1.0,997,0.00029373281548236875,0.0007084515968141848,-0.00045004653689563495,9.416569904842543e-05,-8.321225726881748e-06,9.03425204714126e-06,-0.6526720936650268,-0.9210752238769851,-4.669287581326433e-07,-2.567670350090486e-05,0.4012036108324975,9.388995002098834,-18.69907713199451,-0.03191217901866981
v240,overall,0.0,1.0,4096,9.895725278852296e-05,0.0004940433991829331,-0.00012781275469508913,3.927620310348832e-05,4.926801224085778e-06,6.333365533540131e-06,-0.7742361317897888,0.7779120276564658,-4.163209841466585e-08,3.520236914631488e-06,0.47802734375,7.078485099081674,-13.187096007060973,-0.03214640908057684
v240,high_noise,0.0,0.5,2082,-9.985114092152211e-06,0.0008955434595256308,0.00010917511132188499,5.479823935935833e-05,-1.6036642875966328e-06,6.260843888690921e-06,-0.09145961905834685,-0.25614187417983086,-1.409945681729086e-08,-9.46817246388486e-06,0.5292987512007685,5.002349347244012,-7.95457434988832,-0.028917695993653198
v240,low_noise,0.5,1.0,2014,0.00021157791209615241,0.00039079053490576217,-0.0003728021971217724,5.580710825091117e-05,1.167775911650026e-05,6.408335774143931e-06,-0.5675339730549991,1.8222764112356855,-2.9673489916258657e-07,1.694718245885652e-05,0.42502482621648463,8.719704415400775,-18.596286717206684,-0.03548413532038569
v240,q0,0.0,0.25,994,0.00022224971302644439,0.0018428180848009445,0.0002261854739388388,0.00010292863770671415,-1.662665033152328e-06,1.0571304197559836e-05,0.9825994090431348,-0.15728097518337608,4.937944472637735e-08,-1.389663426386474e-05,0.5462776659959758,3.164073116562262,-4.3417916408172195,-0.022895099120818642
v240,q1,0.25,0.5,1088,-0.00022215553519131122,0.00032209465583170604,2.274099886910656e-06,4.622640874896761e-05,-1.5497610329253442e-06,2.3227946726838412e-06,-97.68943592583679,-0.6671967398369715,-1.015579285205915e-09,-5.422316738534533e-06,0.5137867647058824,6.2240368353506605,-11.255223258727176,-0.03441995821019506
v240,q2,0.5,0.75,1017,0.00013103864102824908,0.00034182759183006006,-0.0001895126635892108,5.4856634187970705e-05,-1.5741929110836116e-06,3.0933133691244387e-06,-0.6914505793253454,-0.5089018548189271,-8.558201344942523e-08,-6.241699191291694e-06,0.4464110127826942,8.925859008141243,-18.474385836307277,-0.03590445257545545
v240,q3,0.75,1.0,997,0.00029373281548236875,0.0007084515968141848,-0.0005597685517883874,9.754268602990222e-05,2.5195547694286423e-05,9.789858127107644e-06,-0.5247397599310122,2.573637673514509,-6.421856170418508e-07,4.060123726146511e-05,0.40320962888665995,8.504267043801184,-18.720632951785113,-0.03505538642529448
v270,overall,0.0,1.0,4096,9.895725278852296e-05,0.0004940433991829331,-0.0001868421023991651,3.8799302174528074e-05,4.428756957791678e-06,6.199465023827173e-06,-0.5296303751555579,0.7143772794539669,-7.188873354624664e-08,2.6580488917563126e-06,0.460205078125,6.740280359463033,-12.79533518935932,-0.03296414447824442
v270,high_noise,0.0,0.5,2082,-9.985114092152211e-06,0.0008955434595256308,2.6707120880864638e-05,5.4865881200456934e-05,-3.652360782454447e-06,6.265074568623161e-06,-0.37387459834004183,-0.5829716378391175,-1.246617603881784e-09,-1.3569796133532314e-05,0.5072046109510087,4.771979125549452,-7.726143888957391,-0.02989898805547468
v270,low_noise,0.5,1.0,2014,0.00021157791209615241,0.00039079053490576217,-0.0004076015278554818,5.4437927550997795e-05,1.2782722764739255e-05,6.131640261034102e-06,-0.5190802723663218,2.084715055116989,-3.386179659718522e-07,1.943380526844439e-05,0.4116186693147964,8.297954241455628,-18.03568091301216,-0.03613279178321293
v270,q0,0.0,0.25,994,0.00022224971302644439,0.0018428180848009445,7.116138304869672e-05,0.00010422786042056234,-6.3214742556367475e-06,1.0792466702070698e-05,3.123178661021187,-0.585730253346427,2.6567251484872115e-08,-2.343541521334421e-05,0.5201207243460765,3.041533686291012,-4.228058380125394,-0.024363808343421892
v270,q1,0.25,0.5,1088,-0.00022215553519131122,0.00032209465583170604,-1.3906423783496661e-05,4.4252374933266965e-05,-1.2138508630213502e-06,2.128835799646276e-06,15.975029860297552,-0.5701946872666467,5.985389413993559e-09,-4.556537525688987e-06,0.4954044117647059,5.926590930227493,-10.922005098313093,-0.034955944520346435
v270,q2,0.5,0.75,1017,0.00013103864102824908,0.00034182759183006006,-0.00019821210159177708,5.2943929349651696e-05,-1.921765736218794e-06,2.887196646678035e-06,-0.6611031313220548,-0.6656165032714167,-9.123492607330838e-08,-6.730728119115617e-06,0.43756145526057033,8.483493749408456,-17.88399008068832,-0.03656994395811759
