weak,s,target_t,dt,n,disc_auc,gap_rms_mean,gap_rms_std,grad_rms_mean,grad_rms_std,cos_grad_gap_mean,cos_grad_gap_std,inner_mean_mean,inner_mean_std,signed_coeff_mean,signed_coeff_std,positive_coeff_mean,positive_coeff_std,finite_delta_plus_mean,finite_delta_plus_std,finite_delta_minus_mean,finite_delta_minus_std,positive_alignment_fraction
v400,0.4375,0.48750001192092896,0.05000000074505806,128,0.51251220703125,0.07839513287763111,0.01774972730032408,0.00014756384140923728,7.488305833033674e-05,0.0029112744325630047,0.04634488621274445,3.1885699275369106e-08,6.005020478442396e-07,5.817511758016147e-07,6.971404089762977e-06,2.350000961270915e-06,5.313535805407185e-06,6.312162895483198e-06,0.00012328169899806623,-6.77257776260376e-06,0.0001226954805053902,0.484375
v400,0.5625,0.612500011920929,0.05000000074505806,128,0.44097900390625,0.10018199624028057,0.01928151016186676,0.00012229273607999858,6.955349702625139e-05,0.0007409890654344053,0.029298361342463705,2.6013404930136375e-08,3.9069576462150144e-07,1.134887655102057e-07,2.1734246786388426e-06,8.041866470104297e-07,1.2363221905975228e-06,5.120578862261027e-06,8.08726676262143e-05,-5.591209628619254e-06,7.937417178346372e-05,0.5390625
v400,0.6875,0.737500011920929,0.05000000074505806,128,0.5361328125,0.10780536837410182,0.01634942122629104,9.231415289434608e-05,5.168480392530971e-05,0.0013758258669440693,0.02150794321258019,2.0779175671781225e-08,2.377858094702453e-07,7.27843768918296e-08,1.0640337197986046e-06,4.100446757190207e-07,6.14952182238278e-07,4.004426045867149e-06,4.8661576260605864e-05,-4.476991307456046e-06,4.878275031108445e-05,0.5546875
v400,0.8125,0.862500011920929,0.05000000074505806,128,0.45635986328125,0.11516274162568152,0.018558822748778053,8.365235275675786e-05,4.348105234858903e-05,0.000655640626348486,0.016162545028412856,1.428328195302031e-08,2.0649925994413544e-07,6.987948894011942e-08,8.833788271082257e-07,2.6306923292702955e-07,7.522022670996439e-07,2.728098479565233e-06,4.2159849323279973e-05,-3.134526195935905e-06,4.259607740370059e-05,0.515625
v400,0.9375,0.987500011920929,0.05000000074505806,128,0.4039306640625,0.09018964870483615,0.021439285068356056,7.370035363862826e-05,4.6877394376618234e-05,-0.0013039387776814237,0.012634256998433159,-7.978369853667289e-09,1.232317089883286e-07,-5.488846033675082e-08,6.34449778180011e-07,1.8744662268459916e-07,3.7939792764627277e-07,-1.6763879102654755e-06,2.548620104712989e-05,1.5377518138848245e-06,2.495564958697978e-05,0.4609375
v500,0.0625,0.11249999701976776,0.05000000074505806,128,0.50323486328125,0.022518033983942587,0.009813147544674246,0.000306353548126026,9.963755511753172e-05,0.0062663299540872686,0.10776514839733371,-1.0139184297708326e-08,8.957659005446027e-07,1.0592007802401326e-05,8.538113385655976e-05,3.5799283228499235e-05,5.5360132816730906e-05,-1.975138729903847e-06,0.0001832949300141727,2.4811888579279184e-06,0.00018382456241948628,0.59375
v500,0.1875,0.23749999701976776,0.05000000074505806,128,0.494873046875,0.040577306543127634,0.01941433917777825,0.00023939090601743374,8.426677436942386e-05,-0.0014191379659678205,0.09039976891472984,-5.75346599251958e-08,7.836263551603585e-07,-6.127620033602454e-07,4.3941055514840587e-05,1.362005199290195e-05,2.6299276530414984e-05,-1.165307912742719e-05,0.00016152454399947738,1.183668791782111e-05,0.00015959205227871888,0.484375
v500,0.3125,0.36250001192092896,0.05000000074505806,128,0.550537109375,0.053054767471621744,0.01774392569995143,0.00019048494306161956,8.633147797073876e-05,-0.009232498667643085,0.06305241450469172,-1.0316486651062995e-07,5.936877823976581e-07,-1.0365768846054557e-06,2.9551186207932027e-05,5.537990040327401e-06,2.615438835126967e-05,-2.105045768985292e-05,0.00012144744297763601,2.1272841877362225e-05,0.00012181310087571759,0.453125
v500,0.4375,0.48750001192092896,0.05000000074505806,128,0.45904541015625,0.07190187918604352,0.015884941611172244,0.0001462722355540791,8.434812598257446e-05,0.003357366482987345,0.043386220016462286,6.642442451632036e-08,5.009986532083586e-07,9.225192619533029e-07,6.343338113279608e-06,2.3535723119583185e-06,5.0997988662755066e-06,1.3039410987403244e-05,0.00010294435625768725,-1.4082615848565183e-05,0.00010230822616154522,0.53125
v500,0.5625,0.612500011920929,0.05000000074505806,128,0.47528076171875,0.07985697578988038,0.015590448308945454,0.00011830539190782474,5.98828549283668e-05,-0.0009202371975334245,0.028239376837090328,-5.403848121754429e-08,3.412796640404836e-07,-2.469082270029066e-07,2.6881743920252914e-06,7.621223847564806e-07,1.4092578934527296e-06,-1.133142359321937e-05,6.965712879263379e-05,1.0845753422472626e-05,7.018355155767474e-05,0.4921875
