model,steps,batch,training_seconds,parameters_per_head,local_validation_mse,context_validation_mse
sit_small,3000,32,30.24245941080153,304528,1.1009811498224735,0.8835483565926552
raev2,3000,8,67.08894243929535,5635744,0.5180265391245484,0.30519207660108805
