model,arm,fid,inception_score,seconds,primary_samples,generated_paths,full_calls_per_output,prefix_calls_at_inference
sit_small,local_base,169.47034849046798,12.894951820373535,41.71561788348481,400,400,128,0
sit_small,local_half,128.95848967854738,23.602994918823242,39.56667672749609,400,400,128,0
sit_small,context_base,101.98249194164742,35.462886810302734,41.175310398451984,400,400,128,0
sit_small,context_half,108.15544452258786,31.41443634033203,39.128119830042124,400,400,128,0
sit_small,native_base,104.94793721006812,30.78278350830078,38.04415883636102,400,400,128,0
sit_small,native_half,109.338607236332,31.995590209960938,37.96946276072413,400,400,128,0
sit_small,native_double,117.08775736804057,25.946136474609375,38.326498037204146,400,400,128,0
sit_small,strong,125.36996449618545,25.661975860595703,38.289974020794034,400,400,128,0
raev2,local_base,105.30005513483735,26.12167911529541,321.70444789202884,400,400,100,0
raev2,local_half,102.32251285880875,27.960023498535158,321.04569308739156,400,400,100,0
raev2,context_base,100.01870534568633,26.911453819274904,321.177033779677,400,400,100,0
raev2,context_half,96.55038444645584,26.936909103393553,321.2202559434809,400,400,100,0
raev2,native_base,95.87515696530511,26.61487445831299,318.9252493083477,400,400,100,0
raev2,native_half,96.12640659800195,26.727292633056642,320.1058510588482,400,400,100,0
raev2,native_double,96.11909058407235,26.43625411987305,320.2321188324131,400,400,100,0
raev2,strong,96.27875636205255,25.769912719726562,320.47602878604084,400,400,100,0
