x,target,error,strong,weak
-4.5,2.1205491074538176e-06,1.5983741106905478e-05,4.89318750734415e-06,1.0438464307124812e-05
-4.482,2.4888000530840903e-06,1.7329496068812967e-05,5.456939256229866e-06,1.1393217662521415e-05
-4.464,2.9178738963488787e-06,1.8782470689901945e-05,6.090793255059492e-06,1.2436631972480717e-05
-4.446,3.417258783740709e-06,2.0350673858081443e-05,6.803941798608856e-06,1.357730782834515e-05
-4.428,3.997827550290834e-06,2.204266789352482e-05,7.606795618937631e-06,1.4824731756231224e-05
-4.41,4.6720241914064594e-06,2.38676032001796e-05,8.511139993161088e-06,1.6189371596670342e-05
-4.392,5.454073013067592e-06,2.583525481239e-05,9.530309372932075e-06,1.7682782092661037e-05
-4.374,6.360212857518549e-06,2.7956060920236163e-05,1.0679382470062073e-05,1.9317721695149115e-05
-4.356,7.408959003851587e-06,3.0241163459456664e-05,1.1975399894972603e-05,2.1108281677214633e-05
-4.338,8.621395555162e-06,3.270245085404483e-05,1.3437606614938567e-05,2.30700287344917e-05
-4.32,1.0021501345726548e-05,3.5352603001773097e-05,1.5087721676935859e-05,2.5220162339354476e-05
-4.302,1.1636512632194713e-05,3.8205138595004455e-05,1.6950237824756662e-05,2.757768820988056e-05
-4.284,1.3497326071135577e-05,4.127446487117099e-05,1.905275383114266e-05,3.0163609351156822e-05
-4.266,1.5638945730262574e-05,4.457592988923765e-05,2.1426342562057592e-05,3.300113622564762e-05
-4.248,1.810097813078803e-05,4.812587743029698e-05,2.410595799068982e-05,3.61159177104934e-05
-4.23,2.0928179571889866e-05,5.1941704622159776e-05,2.7130884581943847e-05,3.9536294602051815e-05
-4.212,2.4171060243105453e-05,5.6041922389388144e-05,3.0545232672361995e-05,4.3293577530875066e-05
-4.194,2.788654988417245e-05,6.044621883165411e-05,3.439848367366879e-05,4.7422351252661445e-05
-4.176,3.2138730001611904e-05,6.517552563458645e-05,3.8746089128206814e-05,5.196080738139663e-05
