mode,validation_mse,parameters,steps,shared_loop_seconds,raw_replay_max_difference
raw,0.8835483565926552,304528,3000,39.92818738659844,0.0
ln,0.8897070959210396,304528,3000,39.92818738659844,0.0
ln_stats,0.8896701335906982,305296,3000,39.92818738659844,0.0
