arm,fid,inception_score,seconds,primary_samples,generated_paths,full_calls_per_output,prefix_calls_at_inference
raw,63.77517942586394,39.104652404785156,97.22467979975045,1000,1000,128,0
ln,63.25106893236915,38.55806350708008,99.478758063633,1000,1000,128,0
ln_stats,63.29099472943142,38.58232879638672,97.19981744652614,1000,1000,128,0
native_base,67.00885708954877,35.44374084472656,94.1117421882227,1000,1000,128,0
adg,66.07735180957098,36.15179443359375,99.55418676650152,1000,1000,128,0
