direction,state,alpha,m,profile,q,h,predicted_norm,raw_error,corrected_error
1,0,0.25,1,one_step,1.0,0.08,0.17038148863479916,0.0011084961393648023,2.8114856195231574e-05
1,0,0.25,1,one_step,1.0,0.04,0.17038148863479916,0.0002747533250207456,3.4505844461973546e-06
1,0,0.25,1,one_step,1.0,0.02,0.17038148863479916,6.841342849534811e-05,4.2742488651920614e-07
1,0,0.25,1,one_step,1.0,0.01,0.17038148863479916,1.707031604492768e-05,5.318717919195918e-08
1,0,0.25,1,one_step,1.0,0.005,0.17038148863479916,4.263530891819257e-06,6.633423028630252e-09
1,0,0.25,1,four_equal,0.25,0.08,0.08386953037296535,0.0005456652368379466,2.2948441960281263e-05
1,0,0.25,1,four_equal,0.25,0.04,0.08386953037296535,0.00013518157018015307,2.8018902547655283e-06
1,0,0.25,1,four_equal,0.25,0.02,0.08386953037296535,3.366415117939542e-05,3.4622042854456855e-07
1,0,0.25,1,four_equal,0.25,0.01,0.08386953037296535,8.401035712491491e-06,4.303120388235861e-08
1,0,0.25,1,four_equal,0.25,0.005,0.08386953037296535,2.0984700518631433e-06,5.363647518131647e-09
1,0,0.25,1,four_unequal,0.30000000000000004,0.08,0.08940013964829974,0.0005828408250960471,2.4153007815276178e-05
1,0,0.25,1,four_unequal,0.30000000000000004,0.04,0.08940013964829974,0.0001442525500145803,2.949763310023191e-06
1,0,0.25,1,four_unequal,0.30000000000000004,0.02,0.08940013964829974,3.5904105004697896e-05,3.6452563927801946e-07
1,0,0.25,1,four_unequal,0.30000000000000004,0.01,0.08940013964829974,8.957557501384115e-06,4.530785987328274e-08
1,0,0.25,1,four_unequal,0.30000000000000004,0.005,0.08940013964829974,2.237167698447139e-06,5.647501476160636e-09
1,0,0.25,2,one_step,1.0,0.08,0.17915477266963875,0.0011623725395760779,3.045813257226235e-05
1,0,0.25,2,one_step,1.0,0.04,0.17915477266963875,0.00028847673005479886,3.7409497785923136e-06
1,0,0.25,2,one_step,1.0,0.02,0.17915477266963875,7.188168056277113e-05,4.636188953624271e-07
