lambda,fid,sfid,inception_score,total_nfe,total_query_nfe,weak_revision_gap_cosine_mean,weak_revision_gap_parallel_energy_fraction_mean,noise_sha256,label_sha256
0.0,64.726250929044,208.73602458977723,35.96827697753906,8566,0,,,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
0.25,64.08858218579098,207.5595265072153,36.500892639160156,8632,3944,0.022401708533821695,0.029213860324796014,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
0.5,63.17301234881336,206.99440251313922,36.588897705078125,8818,4036,0.015258235712002494,0.028055538449410677,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
0.75,62.05416525584178,206.5500539887529,37.293739318847656,9016,4082,0.009199828677020747,0.027544848282428494,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
1.0,61.762712601883266,206.3704102903447,37.41552734375,9238,4226,0.0034869778185588197,0.026777211269876672,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
1.25,62.278559635954764,206.13321155702658,38.88786315917969,9736,4359,-0.0013658700974931717,0.026345026178214864,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
1.5,62.44912976977241,206.17175868184256,37.808746337890625,9664,4456,-0.006880906409783794,0.02626168599534042,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
2.0,65.79010197263113,206.4962059979057,37.38040542602539,9424,4485,-0.015004621088872596,0.02733998271354152,fbc0d5c3c0e381fafdd7f050448d8e4fb6e64c534f8d88ca67769d771f54b05f,f9c69f04b9c6b796c4476a6aa098ea86f1d57a9a663dd4c8da04fe4ca437968c
