method,family,candidate,baseline,subset,sample_count,baseline_fid,candidate_fid,fid_difference,relative_gain_percent,candidate_main_model_nfe,baseline_main_model_nfe,runner_wall_seconds_ratio,trajectory_through_decode_wall_seconds_ratio
global_proximal,legacy,global_proximal100,official100,old1k,1000,38.39778749675088,38.40836328990457,0.010575793153691393,-0.027542714940506113,100.0,100.0,0.9951004872178636,
global_proximal,legacy,global_proximal100,official100,new4k,4000,8.884733223461353,8.900605927862784,0.015872704401431292,-0.1786514462754745,100.0,100.0,1.0068840053488246,
global_proximal,legacy,global_proximal100,official100,pooled5k,5000,7.1042797503952215,7.111888882120297,0.007609131725075713,-0.10710630764015741,100.0,100.0,1.004538386575315,
legacy_energy_ball,legacy,energy100,official100,old1k,1000,38.39778749675088,38.40860416201588,0.010816665264997027,-0.028170022207431367,100.0,100.0,1.0351787767364564,
legacy_energy_ball,legacy,energy100,official100,new4k,4000,8.884733223461353,8.906294863606263,0.02156164014490969,-0.2426819084221148,100.0,100.0,1.0078326099346773,
legacy_energy_ball,legacy,energy100,official100,pooled5k,5000,7.1042797503952215,7.118126183564186,0.013846433168964722,-0.19490270168759086,100.0,100.0,1.013276118530403,
native_global_ball,native_global,global100,official100,old1k,1000,38.15988081390208,38.161144351414066,0.0012635375119884884,-0.0033111673439193954,100.0,100.0,0.9974608996037057,
native_global_ball,native_global,global100,official100,new4k,4000,8.743323803922351,8.727140311845915,-0.016183492076436323,0.18509542182546448,100.0,100.0,0.9921506343145319,
native_global_ball,native_global,global100,official100,pooled5k,5000,7.093016100303544,7.0766692743397925,-0.016346825963751144,0.23046368050752888,100.0,100.0,0.9932017945254231,
affine_reflection,reflection,reflection100,official100,old1k,1000,38.251591886331994,38.28864082052962,0.037048934197628114,-0.09685592774209846,200.0,100.0,1.9383481364280053,1.995931582953803
affine_reflection,reflection,reflection100,official100,new4k,4000,8.743323803922351,8.730481657741336,-0.012842146181014868,0.14687945304340372,200.0,100.0,1.9415719350557725,2.0026694657724673
affine_reflection,reflection,reflection100,official100,pooled5k,5000,7.040981003044408,7.027200456427465,-0.013780546616942502,0.19571912793095186,200.0,100.0,1.9409321633931722,2.001330757270792
affine_reflection,reflection,reflection100,official201,old1k,1000,38.5581217307755,38.28864082052962,-0.26948091024587484,0.6988953251599554,200.0,201.0,0.9963969261088512,0.9965513119211759
affine_reflection,reflection,reflection100,official201,new4k,4000,8.719266034679947,8.730481657741336,0.011215623061389124,-0.12863035738077247,200.0,201.0,0.9968265051240132,0.996943782225933
affine_reflection,reflection,reflection100,official201,pooled5k,5000,7.0432136053321415,7.027200456427465,-0.0160131489046762,0.22735571859631334,200.0,201.0,0.9967413380617021,0.9968659905254034
