seed,ambient_dim,time,x_bayes_mse,epsilon_bayes_mse,best_branch_bayes_mse,oracle_bayes_mse,oracle_over_best_branch,oracle_improves_best_branch
20260831,2,0.01,0.0003433742676861,7.391378879547119,0.0003433742676861,0.0002686143270693,0.7822785582606826,True
20260831,2,0.03,0.0002940230187959,0.7489728927612305,0.0002940230187959,0.0001919226924655,0.6527471667064466,True
20260831,2,0.1,0.0002812454476952,0.0433840341866016,0.0002812454476952,0.0002115640090778,0.7522397635643963,True
20260831,2,0.3,0.0007482044165953,0.0047702956944704,0.0007482044165953,0.000289797259029,0.3873236412419494,True
20260831,2,0.5,0.0014912362676113,0.003638457506895,0.0014912362676113,0.0009249071008525,0.6202284111115669,True
20260831,2,0.7,0.009087773039937,0.0054419450461864,0.0054419450461864,0.0023443573154509,0.4307940075752466,True
20260831,2,0.9,0.1392884105443954,0.0252988412976264,0.0252988412976264,0.0172947719693183,0.6836191336138757,True
20260831,2,0.97,1.482153296470642,0.0365678444504737,0.0365678444504737,0.0156575590372085,0.42817834281740585,True
20260831,2,0.99,14.031076431274414,0.0105456570163369,0.0105456570163369,0.0092735048383474,0.8793671958021455,True
20260831,512,0.01,0.0021893940865993,9181.90625,0.0021893940865993,0.0021889763884246,0.9998092174555249,True
20260831,512,0.03,0.0036389981396496,1019.7626953125,0.0036389981396496,0.0036331142764538,0.9983831090399056,True
20260831,512,0.1,0.0064407400786876,91.62770080566406,0.0064407400786876,0.0064400052651762,0.9998859116340012,True
20260831,512,0.3,0.0204394906759262,10.151803970336914,0.0204394906759262,0.020433722063899,0.9997177712439773,True
20260831,512,0.5,0.0091189360246062,3.6453819274902335,0.0091189360246062,0.0091069564223289,0.9986862938565448,True
20260831,512,0.7,0.0137633103877305,1.8540875911712649,0.0137633103877305,0.0135986134409904,0.9880336240264609,True
20260831,512,0.9,0.1268749684095382,1.1616482734680176,0.1268749684095382,0.1095713749527931,0.8636169634274031,True
20260831,512,0.97,0.9086830019950868,1.0478334426879885,0.9086830019950868,0.3955239653587341,0.43527166733649614,True
20260831,512,0.99,8.864311218261719,1.014847755432129,1.014847755432129,0.7890403270721436,0.7774962528602775,True
20260901,2,0.01,0.0008881716639734,13.78548812866211,0.0008881716639734,0.0007291281945072,0.8209316105011842,True
20260901,2,0.03,0.0010802310425788,0.8809924125671387,0.0010802310425788,0.000930450274609,0.8613437662259426,True
20260901,2,0.1,0.000910104252398,0.0643054544925689,0.000910104252398,0.0008299468318,0.9119250125611477,True
20260901,2,0.3,0.0014593184459954,0.0034517333842813,0.0014593184459954,0.0010004817740991,0.6855815307786863,True
20260901,2,0.5,0.0015518235741183,0.0027377742808312,0.0015518235741183,0.000937896198593,0.6043832651053035,True
20260901,2,0.7,0.0086655598133802,0.0045326631516218,0.0045326631516218,0.0023181070573627,0.5114227507802503,True
20260901,2,0.9,0.1197592541575431,0.0360632613301277,0.0360632613301277,0.0259624123573303,0.719913047232946,True
20260901,2,0.97,1.2781388759613037,0.0305993072688579,0.0305993072688579,0.0154819209128618,0.5059565818543333,True
20260901,2,0.99,10.74184226989746,0.0143466629087924,0.0143466629087924,0.0129542639479041,0.902946143661397,True
20260901,512,0.01,0.0018791139591485,9197.4404296875,0.0018791139591485,0.0018782555125653,0.9995431641710602,True
20260901,512,0.03,0.0041500865481793,1020.3870849609376,0.0041500865481793,0.0041402978822588,0.9976413345102901,True
20260901,512,0.1,0.0063263727352023,91.40386199951172,0.0063263727352023,0.0063254265114665,0.9998504318706143,True
20260901,512,0.3,0.0199559535831213,10.165325164794922,0.0199559535831213,0.019949410110712,0.9996721042478854,True
20260901,512,0.5,0.0089539075270295,3.6501235961914062,0.0089539075270295,0.0089440727606415,0.9989016229664746,True
20260901,512,0.7,0.009483958594501,1.858459711074829,0.009483958594501,0.0094069931656122,0.9918846726161978,True
20260901,512,0.9,0.0517758317291736,1.1637194156646729,0.0517758317291736,0.047614462673664,0.9196271905919992,True
20260901,512,0.97,0.6518733501434326,1.0487380027770996,0.6518733501434326,0.3107926845550537,0.47676850800338677,True
20260901,512,0.99,5.382131576538086,1.0166847705841064,1.0166847705841064,0.7385988831520081,0.7264777682542325,True
20260902,2,0.01,0.00106270913966,14.045400619506836,0.00106270913966,0.0007091581937856,0.6673116540735557,True
20260902,2,0.03,0.0004604129935614,1.2332286834716797,0.0004604129935614,0.000346643384546,0.7528966154161594,True
20260902,2,0.1,0.000463976728497,0.1030157208442688,0.000463976728497,0.0004002408822998,0.8626313729059968,True
20260902,2,0.3,0.0006004581227898,0.008466001600027,0.0006004581227898,0.0003523597843013,0.5868182491464924,True
20260902,2,0.5,0.001523194136098,0.0051541421562433,0.001523194136098,0.0009327455190941,0.61236154800565,True
20260902,2,0.7,0.008423188701272,0.0047404784709215,0.0047404784709215,0.002543285023421,0.536503865384418,True
20260902,2,0.9,0.1492144912481308,0.0306201539933681,0.0306201539933681,0.0211864560842514,0.6919121337155943,True
20260902,2,0.97,1.870579957962036,0.0313807278871536,0.0313807278871536,0.0151894260197877,0.4840367653169011,True
20260902,2,0.99,14.589521408081056,0.010980537161231,0.010980537161231,0.0098393643274903,0.8960731322170795,True
20260902,512,0.01,0.0026662598829716,9189.154296875,0.0026662598829716,0.0026658456772565,0.9998446491590165,True
20260902,512,0.03,0.0036046267487108,1016.8037719726562,0.0036046267487108,0.0035998071543872,0.9986629421963525,True
20260902,512,0.1,0.0065841116011142,91.43740844726562,0.0065841116011142,0.006583422422409,0.9998953270012794,True
20260902,512,0.3,0.0200305115431547,10.131231307983398,0.0200305115431547,0.0200249478220939,0.9997222376947882,True
20260902,512,0.5,0.0087521784007549,3.6447558403015137,0.0087521784007549,0.0087410574778914,0.9987293537272341,True
20260902,512,0.7,0.0092918090522289,1.850389003753662,0.0092918090522289,0.0092236446216702,0.9926640302038547,True
20260902,512,0.9,0.1274972856044769,1.1632634401321411,0.1274972856044769,0.1109412238001823,0.8701457703526728,True
20260902,512,0.97,0.6347233653068542,1.048888921737671,0.6347233653068542,0.3237528204917907,0.5100691705831151,True
20260902,512,0.99,5.7590837478637695,1.017341375350952,1.017341375350952,0.70821213722229,0.6961401102731896,True
