seed,ambient_dim,hidden_dim,condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
20260831,2,128,Bayes_exact,0.01,0.0,0.0292503732450896,0.0292503732450896,5.4094801527071474e-08,5.482566933778799e-08,,
20260831,2,128,Bayes_exact,0.03,0.0,0.0311258758583772,0.0311258758583772,5.271049374755422e-08,5.3512387410137314e-08,,
20260831,2,128,Bayes_exact,0.1,0.0,0.0236860907728072,0.0236860907728072,4.882240034476126e-08,4.8166953092732e-08,,
20260831,2,128,Bayes_exact,0.3,0.0,0.0239002731530248,0.0239002731530248,4.196878222728628e-08,3.9727964917801735e-08,,
20260831,2,128,Bayes_exact,0.5,0.0,0.0195814600872528,0.0195814600872528,3.9237789906110265e-08,3.732086995000827e-08,,
20260831,2,128,Bayes_exact,0.7,0.0,0.0187029820848071,0.0187029820848071,4.3007258199168064e-08,4.2173606829010175e-08,,
20260831,2,128,Bayes_exact,0.9,0.0,0.0174065118536425,0.0174065118536425,5.0867289047573656e-08,5.2573049913462455e-08,,
20260831,2,128,Bayes_exact,0.97,0.0,0.0185893362867856,0.0185893362867856,5.5207472371421324e-08,5.5274526289395e-08,,
20260831,2,128,Bayes_exact,0.99,0.0,0.0218237525478278,0.0218237525478278,5.800217195428559e-08,5.650083778618865e-08,,
20260831,2,128,B0_v_ind,0.01,0.0020847599953413,0.0293426481128158,0.0293426481128158,5.431833471902792e-08,5.482566933778799e-08,,
20260831,2,128,B0_v_ind,0.03,0.0019441505428403,0.0312373342154268,0.0312373342154268,5.3195144289475145e-08,5.3512387410137314e-08,,
20260831,2,128,B0_v_ind,0.1,0.0019638135563582,0.0242880085539695,0.0242880085539695,4.93865854878095e-08,4.8166953092732e-08,,
20260831,2,128,B0_v_ind,0.3,0.0014771700371056,0.0249454509929239,0.0249454509929239,4.167278433442334e-08,3.9727964917801735e-08,,
20260831,2,128,B0_v_ind,0.5,0.002856965875253,0.0222094692424883,0.0222094692424883,3.8865863416504e-08,3.732086995000827e-08,,
20260831,2,128,B0_v_ind,0.7,0.0175322256982326,0.0194080087487236,0.0194080087487236,4.315463542070575e-08,4.2173606829010175e-08,,
20260831,2,128,B0_v_ind,0.9,0.686739444732666,0.0261743471177862,0.0261743471177862,5.133728464556953e-08,5.2573049913462455e-08,,
20260831,2,128,B0_v_ind,0.97,2.064136743545532,0.0290324497304145,0.0290324497304145,5.5652552788387766e-08,5.5274526289395e-08,,
20260831,2,128,B0_v_ind,0.99,0.5422694683074951,0.0325690269729875,0.0325690269729875,5.6772130108129204e-08,5.650083778618865e-08,,
20260831,2,128,B1_x_ind,0.01,0.000101163808722,0.0292417140631035,0.0292417140631035,5.347858333948353e-08,5.482566933778799e-08,,
20260831,2,128,B1_x_ind,0.03,0.0001054944368661,0.0309950233961812,0.0309950233961812,5.364136512753249e-08,5.3512387410137314e-08,,
20260831,2,128,B1_x_ind,0.1,7.675977394683287e-05,0.0234243981884418,0.0234243981884418,4.9353563014165054e-08,4.8166953092732e-08,,
20260831,2,128,B1_x_ind,0.3,0.0002876886283047,0.023453315445606,0.023453315445606,4.229135797118033e-08,3.9727964917801735e-08,,
20260831,2,128,B1_x_ind,0.5,0.0020635994151234,0.0193186091356316,0.0193186091356316,3.973985940319835e-08,3.732086995000827e-08,,
20260831,2,128,B1_x_ind,0.7,0.0503128468990325,0.0198284478648647,0.0198284478648647,4.238681583501602e-08,4.2173606829010175e-08,,
20260831,2,128,B1_x_ind,0.9,2.716891288757324,0.0451578632954994,0.0451578632954994,5.1872088846494087e-08,5.2573049913462455e-08,,
20260831,2,128,B1_x_ind,0.97,8.504396438598633,0.0590956935337803,0.0590956935337803,5.52661987285319e-08,5.5274526289395e-08,,
20260831,2,128,B1_x_ind,0.99,4.721833229064941,0.0636060615390786,0.0636060615390786,5.686262483095562e-08,5.650083778618865e-08,,
20260831,2,128,B2_eps_ind,0.01,21.765270233154297,0.1520322832449018,0.1520322832449018,4.877774273381874e-08,5.482566933778799e-08,,
20260831,2,128,B2_eps_ind,0.03,1.8437528610229488,0.1669150950987244,0.1669150950987244,4.9694492076923786e-08,5.3512387410137314e-08,,
20260831,2,128,B2_eps_ind,0.1,0.1751517057418823,0.1749817920706469,0.1749817920706469,4.7579863604596546e-08,4.8166953092732e-08,,
20260831,2,128,B2_eps_ind,0.3,0.0276275835931301,0.1688196099318745,0.1688196099318745,4.09467304507416e-08,3.9727964917801735e-08,,
20260831,2,128,B2_eps_ind,0.5,0.0137951951473951,0.1539378782840473,0.1539378782840473,3.859659258864667e-08,3.732086995000827e-08,,
