ambient_dim,hidden_dim,time,condition,seeds,paired_velocity_mse_mean,bayes_velocity_mse_mean,irreducible_velocity_mse_mean,gate_mean_mean,gate_std_mean,x_amplification_mean_mean,epsilon_amplification_mean_mean,paired_velocity_mse_std,bayes_velocity_mse_std,irreducible_velocity_mse_std,gate_mean_std,gate_std_std,x_amplification_mean_std,epsilon_amplification_mean_std
2,128,0.01,D0_eps_shared,3,12.69542121887207,11.740755875905355,1.0083642999331157,,,,,3.775073899083636,3.7689121531367533,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.01,D0_x_shared,3,1.008897026379903,0.0007647516904398334,1.0083642999331157,,,,,0.01707621915341137,0.0003752133152084244,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.01,D1_eps_own,3,14.301508267720541,13.318494160970053,1.0083642999331157,,,,,5.742020200066519,5.6693163658262,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.01,D1_gate_on_D0,3,1.0458863178888957,0.03890940795342123,1.0083642999331157,0.9389115571975708,0.042320093760887724,0.9483954707781473,6.10884428024292,0.04221061699168499,0.041982746823873,0.017157506660653795,0.015210262529885707,0.00850345522165651,0.015363890357583369,1.521026189978607
2,128,0.01,D1_x_own,3,1.0089855194091797,0.0007797131741729334,1.0083642999331157,,,,,0.01742130652379554,0.00041921344700578307,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.01,D2_eps_own,3,16.93885612487793,16.007913907368977,1.0083642999331157,,,,,4.809358262550205,4.774438624290551,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.01,D2_gate_on_D0,3,1.0088791052500408,0.0008235986751969666,1.0083642999331157,0.9980677366256714,0.0016681164852342999,1.0081491867701213,0.19322539369265235,0.017077863428209716,0.00035644387234327836,0.017157506660653795,0.001270802381566615,0.0006571108315724355,0.0012836598685680713,0.12708287973184026
2,128,0.01,D2_x_own,3,1.0098652044932048,0.0022072607534937,1.0083642999331157,,,,,0.016901815207082494,0.0012467081568809497,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.01,D3_oracle_bayes_gate,3,1.0086962381998696,0.0005689669051206999,1.0083642999331157,0.9963738918304443,0.0086446629526714,1.006438136100769,0.3626103848218918,0.01680828709502692,0.0002603045400848724,0.017157506660653795,0.0026528964508012675,0.0015897954326137302,0.0026796393827717363,0.2652860422884789
2,128,0.01,D4_eps_own,3,15.605733553568522,14.632085482279459,1.0083642999331157,,,,,1.973199732461963,1.9244560648279752,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.01,D4_gate_on_D0,3,1.0088566541671753,0.0008018816006369667,1.0083642999331157,0.9983502229054769,0.000499750545714,1.008434534072876,0.16497494031985596,0.017099598173808666,0.00038873166766389614,0.017157506660653795,0.0007803501859434707,0.00019208019603495044,0.0007882055843703573,0.07803423187648045
2,128,0.01,D4_x_own,3,1.008845587571462,0.0004874084649296666,1.0083642999331157,,,,,0.017303572166826892,6.42467711211137e-05,0.017157506660653795,0.0,0.0,0.0,0.0
2,128,0.03,D0_eps_shared,3,2.0128303368886313,0.954397996266683,1.0447160800298054,,,,,0.24645335291601278,0.25033418164096904,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.03,D0_x_shared,3,1.0455783208211262,0.0006115556849786999,1.0447160800298054,,,,,0.011572251632000858,0.00041432336289642436,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.03,D1_eps_own,3,2.089444637298584,1.0355910261472066,1.0447160800298054,,,,,0.35551991820049844,0.362324123373302,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.03,D1_gate_on_D0,3,1.0487509568532307,0.004222916361565367,1.0447160800298054,0.9237878918647766,0.0525693669915199,0.952358603477478,2.540403445561727,0.011711222363292922,0.002262913127472146,0.011099856298012958,0.013469363784307933,0.007065455690274565,0.013885952031192212,0.44897908003207226
2,128,0.03,D1_x_own,3,1.0456562439600627,0.0006518033333122001,1.0447160800298054,,,,,0.011703268219184982,0.000450902723362698,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.03,D2_eps_own,3,2.169964551925659,1.1275214552879333,1.0447160800298054,,,,,0.41192597370871975,0.4374108177031564,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.03,D2_gate_on_D0,3,1.045619289080302,0.0006572062266058666,1.0447160800298054,0.9951210021972656,0.004384940179685733,1.0258978605270386,0.16263385365406666,0.011449297072800126,0.00046842477938343594,0.011099856298012958,0.002550562556788462,0.0019103426714005677,0.002629453615303043,0.08501933800942764
2,128,0.03,D2_x_own,3,1.0460985898971558,0.0016033523522006668,1.0447160800298054,,,,,0.011000018078454875,0.0009330084045232591,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.03,D3_oracle_bayes_gate,3,1.0453637838363647,0.0004896721172068333,1.0447160800298054,0.9926467935244242,0.019157184908787366,1.0233471393585205,0.24510716398557028,0.011405123789900407,0.0003894851231710964,0.011099856298012958,0.003400223497820548,0.004855436890844682,0.0035054106261817636,0.11334089263628834
2,128,0.03,D4_eps_own,3,1.9823944568634033,0.9327013889948527,1.0447160800298054,,,,,0.1792764734637817,0.17239891742911995,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.03,D4_gate_on_D0,3,1.045684019724528,0.0006908092958231334,1.0447160800298054,0.9941479166348776,0.0018434157827868665,1.0248946746190388,0.19506934533516562,0.011607244294267606,0.0005360334673550027,0.011099856298012958,0.002309740642807288,0.0006637437105538552,0.0023811455545197724,0.07699129733167781
2,128,0.03,D4_x_own,3,1.0454340775807698,0.0004827962548005667,1.0447160800298054,,,,,0.01094836717536269,0.0002231764788263036,0.011099856298012958,0.0,0.0,0.0,0.0
2,128,0.1,D0_eps_shared,3,1.2950578133265178,0.07023506984114643,1.2192273139953613,,,,,0.041240831284685954,0.030254830474588944,0.020772141527952002,0.0,0.0,0.0,0.0
2,128,0.1,D0_x_shared,3,1.2193377415339153,0.0005517754761967333,1.2192273139953613,,,,,0.02062176836249257,0.00032349237106350695,0.020772141527952002,0.0,0.0,0.0,0.0
2,128,0.1,D1_eps_own,3,1.301952838897705,0.0771983315547307,1.2192273139953613,,,,,0.0527070851889313,0.041109991514139105,0.020772141527952002,0.0,0.0,0.0,0.0
2,128,0.1,D1_gate_on_D0,3,1.2200240294138591,0.0009459323676613,1.2192273139953613,0.9110909501711527,0.054574657231569235,1.0123233596483867,0.8890903989473978,0.0207399440151513,0.0005169525618679931,0.020772141527952002,0.012711348188521513,0.004111931747907046,0.014123724832886762,0.12711363955257085
2,128,0.1,D1_x_own,3,1.219333529472351,0.0005412245324502,1.2192273139953613,,,,,0.020565207280202585,0.0003459922417724033,0.020772141527952002,0.0,0.0,0.0,0.0
2,128,0.1,D2_eps_own,3,1.2989693880081177,0.07727037866910293,1.2192273139953613,,,,,0.0366845208607568,0.022386939882090357,0.020772141527952002,0.0,0.0,0.0,0.0
2,128,0.1,D2_gate_on_D0,3,1.2194714943567913,0.0005939088490170333,1.2192273139953613,0.9781662225723267,0.020146843666831633,1.086851437886556,0.21833788355191544,0.020683126868481977,0.00031838199892984527,0.020772141527952002,0.011753531142535965,0.01250371558073852,0.013059514020483403,0.11753565478455356
2,128,0.1,D2_x_own,3,1.2208903233210247,0.001396450330503233,1.2192273139953613,,,,,0.019403576546708056,0.0006287144192639572,0.020772141527952002,0.0,0.0,0.0,0.0
2,128,0.1,D3_oracle_bayes_gate,3,1.2194771369298298,0.00048058390772586667,1.2192273139953613,0.9640265305836996,0.09291791419188178,1.0711406071980794,0.35973501205444336,0.02068437763105115,0.00031692361881126686,0.020772141527952002,0.005122211437390377,0.013963367734410601,0.005691266570620018,0.05122176958257698
2,128,0.1,D4_eps_own,3,1.2999570767084758,0.07750095923741653,1.2192273139953613,,,,,0.03929783410035754,0.024644516209515376,0.020772141527952002,0.0,0.0,0.0,0.0
