seed,ambient_dim,hidden_dim,time,model,model_kind,first_branch,second_branch,first_bayes_mse,second_bayes_mse,first_paired_mse,second_paired_mse,branch_error_cosine_mean,branch_error_cosine_negative_fraction,oracle_gate_mean,oracle_bayes_mse,oracle_gain_over_best_branch,learned_gate_mean,learned_bayes_mse,learned_gate_mae_to_oracle
20260831,2,128,0.01,D0_xeps,x_plus_epsilon,x,epsilon,0.000329769361997,7.420060157775879,1.0016186237335205,8.303653717041016,0.1629879474639892,0.389404296875,0.997886061668396,0.0002626396017149,0.2035657887548696,,,
20260831,2,128,0.01,D1_scaled,x_plus_epsilon,x,epsilon,0.0002835821360349,7.478267669677734,1.0012271404266355,8.37791633605957,0.0749968737363815,0.44287109375,0.997321367263794,0.0001963460672413,0.3076218763752323,0.9549241662025452,0.0087126744911074,0.0427473336458206
20260831,2,128,0.01,D2_velocity,x_plus_epsilon,x,epsilon,0.0008830292499624,11.703619003295898,1.0021076202392578,12.695783615112305,-0.3559192419052124,0.70703125,0.9951937198638916,0.0004730970831587,0.4642339614696505,0.9982894659042358,0.0007977100904099,0.0043638697825372
20260831,2,128,0.01,D4_safe,x_plus_epsilon,x,epsilon,0.0004211037012282,14.12572193145752,1.0016319751739502,14.994077682495115,-0.080364778637886,0.50830078125,0.99755597114563,0.0002187254285672,0.4805901065953842,0.9991771578788756,0.0004100348451174,0.0024090856313705
20260831,2,128,0.01,S0_xv,x_plus_v,x,v,0.0026000430807471,0.0029103050474077,1.0027726888656616,1.0045291185379028,0.2980428338050842,0.304931640625,0.6597387790679932,0.0010513287270441,0.5956494971836914,,,
20260831,2,128,0.01,S1_xv,x_plus_v,x,v,0.0018036772962659,0.0030405465513467,1.0020604133605957,1.004365086555481,0.2996839880943298,0.287353515625,0.7310253381729126,0.0006626182585023,0.6326292625215655,,,
20260831,2,128,0.03,D0_xeps,x_plus_epsilon,x,epsilon,0.0002487511956132,0.637795090675354,1.0458106994628906,1.6758100986480713,0.0936853140592575,0.417724609375,0.9928821325302124,0.0001772318355506,0.2875136333971606,,,
20260831,2,128,0.03,D1_scaled,x_plus_epsilon,x,epsilon,0.0002793060848489,0.590053915977478,1.046316385269165,1.6358280181884766,0.0570792406797409,0.449951171875,0.989693284034729,0.0001971417368622,0.2941731399483416,0.9368752241134644,0.0016271462664008,0.0597834661602973
20260831,2,128,0.03,D2_velocity,x_plus_epsilon,x,epsilon,0.0007910897256806,0.6580696105957031,1.0465407371520996,1.6859993934631348,0.0555943995714187,0.486083984375,0.9841123223304749,0.0005442389519885,0.3120389074447174,0.9937385320663452,0.0008541108109056,0.0187847800552845
20260831,2,128,0.03,D4_safe,x_plus_epsilon,x,epsilon,0.0003876224800478,0.6686303019523621,1.0460408926010132,1.713977336883545,-0.1236876249313354,0.5634765625,0.989574134349823,0.0002429156738799,0.3733189214157306,0.9964747428894044,0.0003805707965511,0.0104436613619327
20260831,2,128,0.03,S0_xv,x_plus_v,x,v,0.001224260427989,0.0023290305398404,1.047776222229004,1.047261357307434,0.167744755744934,0.37060546875,0.7365866899490356,0.0007304471801035,0.4033563746699533,,,
20260831,2,128,0.03,S1_xv,x_plus_v,x,v,0.0008811849402263,0.0032056816853582,1.0470343828201294,1.04830002784729,0.2317951470613479,0.3330078125,0.7837364673614502,0.0005724594229832,0.3503526934582375,,,
20260831,2,128,0.1,D0_xeps,x_plus_epsilon,x,epsilon,0.0002948797773569,0.0447179600596427,1.2010213136672974,1.2406840324401855,0.0574602708220481,0.460693359375,0.9626333713531494,0.000220379588427,0.2526459752435651,,,
20260831,2,128,0.1,D1_scaled,x_plus_epsilon,x,epsilon,0.0003157876199111,0.0456832610070705,1.2012383937835691,1.2440720796585083,-0.072800189256668,0.542724609375,0.9543100595474244,0.0002438694937154,0.2277420698629909,0.9221221208572388,0.0004511859442573,0.0755561292171478
20260831,2,128,0.1,D2_velocity,x_plus_epsilon,x,epsilon,0.0007029173430055,0.0609528347849845,1.2005823850631714,1.2480018138885498,0.0029751562979072,0.52685546875,0.9517375826835632,0.0005610201042145,0.2018690251463477,0.9649720191955566,0.0008498906390741,0.0588758885860443
20260831,2,128,0.1,D4_safe,x_plus_epsilon,x,epsilon,0.0002963961742352,0.0612901672720909,1.2009550333023071,1.2569174766540527,-0.1950218081474304,0.658447265625,0.9723576307296752,0.0002394522016402,0.1921211457670023,0.9831587672233582,0.0002852078177966,0.0244964025914669
20260831,2,128,0.1,S0_xv,x_plus_v,x,v,0.0006981222541071,0.0020395789761096,1.2007451057434082,1.2024787664413452,0.0867878422141075,0.438720703125,0.7320518493652344,0.0002282384375575,0.6730680962899614,,,
20260831,2,128,0.1,S1_xv,x_plus_v,x,v,0.0005601435550488,0.0022134729661047,1.2000857591629028,1.2019953727722168,-0.0622654370963573,0.5322265625,0.7254430055618286,0.0002799394715111,0.5002362001884406,,,
20260831,2,128,0.3,D0_xeps,x_plus_epsilon,x,epsilon,0.0007104077376425,0.0050286976620554,1.7068893909454346,1.712104082107544,0.1507120579481125,0.41845703125,0.8083288669586182,0.0002917622332461,0.5893031314462808,,,
20260831,2,128,0.3,D1_scaled,x_plus_epsilon,x,epsilon,0.0006379711558111,0.0051301419734954,1.706829309463501,1.7134034633636477,0.0403398275375366,0.474365234375,0.8173089027404785,0.0002927904715761,0.5410600167277038,0.8591800928115845,0.0006258154753595,0.1855786889791488
20260831,2,128,0.3,D2_velocity,x_plus_epsilon,x,epsilon,0.0014134059892967,0.0082935336977243,1.7085882425308228,1.713071584701538,0.120466910302639,0.412353515625,0.8073970079421997,0.0007102310191839,0.4975038845439012,0.929551124572754,0.0014097460079938,0.2010382115840912
20260831,2,128,0.3,D4_safe,x_plus_epsilon,x,epsilon,0.0005786226829513,0.0061467443592846,1.7066597938537598,1.7161332368850708,0.2817366123199463,0.329833984375,0.8828420639038086,0.0002829776494763,0.5109461522783896,0.8969943523406982,0.0006030310178175,0.140428215265274
20260831,2,128,0.3,S0_xv,x_plus_v,x,v,0.0008313911966979,0.0012269632425159,1.7062656879425049,1.7064555883407593,0.3523684740066528,0.307373046875,0.653100311756134,0.0003771017072722,0.546420856066347,,,
20260831,2,128,0.3,S1_xv,x_plus_v,x,v,0.0008482680423185,0.0012613995932042,1.705960035324097,1.7060531377792358,0.4594729840755462,0.2236328125,0.7175963521003723,0.0004552238970063,0.4633489954871752,,,
20260831,2,128,0.5,D0_xeps,x_plus_epsilon,x,epsilon,0.0012724320404231,0.0027985302731394,1.980817794799805,1.9838080406188965,0.105289414525032,0.431640625,0.5810928344726562,0.0007230717455968,0.4317403817052859,,,
20260831,2,128,0.5,D1_scaled,x_plus_epsilon,x,epsilon,0.001275549060665,0.0026515969075262,1.980740308761597,1.9835692644119265,-0.0929746478796005,0.539306640625,0.6137996912002563,0.000608991482295,0.5225652222443189,0.6166277527809143,0.0009086201898753,0.2447540760040283
20260831,2,128,0.5,D2_velocity,x_plus_epsilon,x,epsilon,0.0017812992446124,0.0072540026158094,1.9797812700271609,1.9880516529083248,0.2371813356876373,0.3623046875,0.7495536804199219,0.0013264147564768,0.2553666878327016,0.6999485492706299,0.0018934744875878,0.2716981768608093
20260831,2,128,0.5,D4_safe,x_plus_epsilon,x,epsilon,0.0011255973950028,0.003587357699871,1.9816460609436035,1.9845075607299805,0.0218566302210092,0.487548828125,0.6137280464172363,0.0004877638421021,0.5666622504035658,0.6814492344856262,0.0009003687882795,0.3065426349639892
20260831,2,128,0.5,S0_xv,x_plus_v,x,v,0.0064718034118413,0.0022470580879598,1.985833764076233,1.984588861465454,0.0446527451276779,0.485595703125,0.253345251083374,0.000999528216198,0.5551836325221289,,,
20260831,2,128,0.5,S1_xv,x_plus_v,x,v,0.0068094250746071,0.0015924840699881,1.986032009124756,1.9821677207946775,0.1880330145359039,0.373291015625,0.1443577110767364,0.0008577075204811,0.4614027627368409,,,
20260831,2,128,0.7,D0_xeps,x_plus_epsilon,x,epsilon,0.008991434238851,0.0053830603137612,1.6278398036956787,1.6279466152191162,0.0624039471149444,0.458251953125,0.3863211274147033,0.0022962689399719,0.573426860163214,,,
20260831,2,128,0.7,D1_scaled,x_plus_epsilon,x,epsilon,0.0087631810456514,0.0049287183210253,1.628092646598816,1.6273314952850342,0.0512178614735603,0.46533203125,0.3939733207225799,0.002081673592329,0.5776440330442837,0.227176696062088,0.0035174184013158,0.2983372211456299
20260831,2,128,0.7,D2_velocity,x_plus_epsilon,x,epsilon,0.0163531377911567,0.010006409138441,1.6369075775146484,1.6306358575820925,0.2449158132076263,0.352294921875,0.4448367357254028,0.0050492109730839,0.4954023063391751,0.2078968286514282,0.0093374401330947,0.4211702346801758
20260831,2,128,0.7,D4_safe,x_plus_epsilon,x,epsilon,0.0076431445777416,0.0052742343395948,1.628593683242798,1.6277028322219849,0.0338377282023429,0.466796875,0.395715057849884,0.002571687567979,0.5124055166315096,0.2941714525222778,0.0038428627885878,0.2750788331031799
20260831,2,128,0.7,S0_xv,x_plus_v,x,v,0.0363572016358375,0.0157262980937957,1.6580084562301636,1.639409065246582,0.2113005220890045,0.374755859375,0.2954126000404358,0.0100340582430362,0.3619567565621286,,,
20260831,2,128,0.7,S1_xv,x_plus_v,x,v,0.0340735800564289,0.0223165918141603,1.657109022140503,1.6439014673233032,0.3905649483203888,0.296875,0.3713220953941345,0.0175367761403322,0.214182152616836,,,
20260831,2,128,0.9,D0_xeps,x_plus_epsilon,x,epsilon,0.1462194472551345,0.0264716893434524,0.8164125680923462,0.7045648694038391,0.2734686732292175,0.32177734375,0.1233853697776794,0.0187528729438781,0.2915876013588632,,,
20260831,2,128,0.9,D1_scaled,x_plus_epsilon,x,epsilon,0.1367499381303787,0.0268686395138502,0.8110469579696655,0.7052629590034485,0.363309383392334,0.27734375,0.1513223052024841,0.018540421500802,0.3099605400100422,0.0154717620462179,0.0268937721848487,0.1535385847091674
20260831,2,128,0.9,D2_velocity,x_plus_epsilon,x,epsilon,0.2368445396423339,0.0495901852846145,0.9093570709228516,0.7294499278068542,0.1646897494792938,0.410888671875,0.1519134938716888,0.0419209860265255,0.1546515548202327,0.0003746031434275,0.049590528011322,0.1519491523504257
20260831,2,128,0.9,D4_safe,x_plus_epsilon,x,epsilon,0.1480285823345184,0.0227256342768669,0.8221455216407776,0.7018085718154907,0.1038799434900283,0.42578125,0.199307233095169,0.0145305609330534,0.3606092241022915,0.0392389260232448,0.0218348745256662,0.1922011077404022
20260831,2,128,0.9,S0_xv,x_plus_v,x,v,0.5187563896179199,0.2174947559833526,1.2017781734466553,0.892269492149353,0.6975040435791016,0.1064453125,0.1365686357021331,0.2062837779521942,0.0515459693750802,,,
20260831,2,128,0.9,S1_xv,x_plus_v,x,v,0.4882233738899231,0.3299879431724548,1.1650679111480713,1.0061323642730713,0.7453842759132385,0.084716796875,0.2899346053600311,0.3118854761123657,0.0548579650700407,,,
20260831,2,128,0.97,D0_xeps,x_plus_epsilon,x,epsilon,1.455527663230896,0.035994678735733,2.292271614074707,0.8765301704406738,-0.226679652929306,0.6416015625,0.1081019192934036,0.0147627424448728,0.5898631974670905,,,
20260831,2,128,0.97,D1_scaled,x_plus_epsilon,x,epsilon,1.6247187852859497,0.0342724956572055,2.4601147174835205,0.875521719455719,-0.2439760863780975,0.644287109375,0.1015456914901733,0.0125851612538099,0.6327912218681987,0.018088050186634,0.0316090211272239,0.0975776314735412
20260831,2,128,0.97,D2_velocity,x_plus_epsilon,x,epsilon,1.9114816188812256,0.062700405716896,2.741750240325928,0.9039866924285888,-0.139331579208374,0.585205078125,0.0979499295353889,0.0336668863892555,0.4630515384339337,0.0002900369872804,0.0626784414052963,0.0979184359312057
20260831,2,128,0.97,D4_safe,x_plus_epsilon,x,epsilon,1.3896372318267822,0.0323445126414299,2.2004356384277344,0.873126745223999,-0.2154699563980102,0.63037109375,0.0990474671125412,0.012183322571218,0.623326444696141,0.0144210141152143,0.0288971923291683,0.093975618481636
20260831,2,128,0.97,S0_xv,x_plus_v,x,v,2.1939945220947266,0.1460836827754974,3.077669143676758,0.98755145072937,0.3181347250938415,0.279541015625,0.0881931185722351,0.1244041621685028,0.1484048060337572,,,
20260831,2,128,0.97,S1_xv,x_plus_v,x,v,2.125544786453247,0.1843597739934921,3.022989273071289,1.0290429592132568,0.3467263877391815,0.285400390625,0.1029298529028892,0.1509323865175247,0.1813160580092021,,,
20260831,2,128,0.99,D0_xeps,x_plus_epsilon,x,epsilon,14.21445083618164,0.0111587699502706,15.253722190856934,0.99600350856781,0.2540326714515686,0.349365234375,0.0113743785768747,0.0096703907474875,0.1333820133774698,,,
20260831,2,128,0.99,D1_scaled,x_plus_epsilon,x,epsilon,12.898548126220703,0.009246926754713,13.9292573928833,0.9934061169624328,0.1565786451101303,0.396728515625,0.0083430744707584,0.007944512180984,0.1408483713862243,0.0281982589513063,0.0289451628923416,0.0270912051200866
20260831,2,128,0.99,D2_velocity,x_plus_epsilon,x,epsilon,18.317710876464844,0.0172159671783447,19.46158790588379,1.0035334825515747,0.1011621356010437,0.446044921875,0.0129682114347815,0.014730405062437,0.1443753981498151,0.0007134469924494,0.0176110155880451,0.013105547055602
20260831,2,128,0.99,D4_safe,x_plus_epsilon,x,epsilon,12.716375350952148,0.010972243733704,13.673015594482422,0.9947510957717896,0.2293254435062408,0.36474609375,0.0074175931513309,0.0098646413534879,0.1009458418075269,0.0045243939384818,0.0122036896646022,0.0094627402722835
20260831,2,128,0.99,S0_xv,x_plus_v,x,v,14.601369857788086,0.0318447351455688,15.507012367248535,1.0058773756027222,-0.0110481958836317,0.533935546875,0.0177998021245002,0.0256738364696502,0.1937808133027369,,,
20260831,2,128,0.99,S1_xv,x_plus_v,x,v,11.210222244262695,0.035757802426815,12.192997932434082,1.0113537311553955,0.0360180735588073,0.46044921875,0.0235794000327587,0.0277535542845726,0.2238461985639248,,,
20260831,512,128,0.01,D0_xeps,x_plus_epsilon,x,epsilon,0.0022098692134022,9213.064453125,0.9796818494796752,9213.970703125,0.0247661937028169,0.26416015625,0.9999977350234984,0.0022094601299613,0.0001851165844651,,,
20260831,512,128,0.01,D1_scaled,x_plus_epsilon,x,epsilon,0.0020509986206889,9215.447265625,0.9800535440444946,9216.3623046875,0.0235126838088035,0.2783203125,0.9999974966049194,0.0020505208522081,0.0002329443208582,0.9994520545005798,0.0097255986183881,0.0005455837235786
