seed,ambient_dim,hidden_dim,time,condition,paired_velocity_mse,bayes_velocity_mse,irreducible_velocity_mse,gate_mean,gate_std,x_amplification_mean,epsilon_amplification_mean
20260831,2,128,0.01,Bayes_exact,1.0247446298599243,0.0,1.0247446298599243,,,,
20260831,2,128,0.01,B0_v_ind,1.024833917617798,0.0021177611779421,1.0247446298599243,,,,
20260831,2,128,0.01,B1_x_ind,1.024662971496582,0.0001031941210385,1.0247446298599243,,,,
20260831,2,128,0.01,B2_eps_ind,29.710094451904297,28.71963882446289,1.0247446298599243,,,,
20260831,2,128,0.01,D0_x_shared,1.0250520706176758,0.0003433742676861,1.0247446298599243,,,,
20260831,2,128,0.01,D0_eps_shared,8.34249496459961,7.391378879547119,1.0247446298599243,,,,
20260831,2,128,0.01,D0_fixed_x_eps,1.0250520706176758,0.0003433742676861,1.0247446298599243,1.0,0.0,1.0101009607315063,0.0
20260831,2,128,0.01,D0_safe_schedule,1.0250675678253174,0.0010948261478915,1.0247446298599243,0.9900000095367432,0.0,0.9999999403953552,0.9999990463256836
20260831,2,128,0.01,D3_oracle_bayes_gate,1.0248554944992063,0.0002686143270693,1.0247446298599243,0.9978538155555724,0.0086146211251616,1.0079330205917358,0.2146199345588684
20260831,2,128,0.01,D1_scaled_gate,1.0352678298950195,0.0090264566242694,1.0247446298599243,0.9544512629508972,0.0342315658926963,0.9640921354293824,4.554872989654541
20260831,2,128,0.01,D2_velocity_gate,1.024949073791504,0.0007974127074703,1.0247446298599243,0.99824857711792,0.0018432579236105,1.0083318948745728,0.1751390397548675
20260831,2,128,0.01,D4_safe_velocity_gate,1.0250771045684814,0.0004028196563012,1.0247446298599243,0.9991737604141236,0.0003790348418988,1.009266376495361,0.0826212093234062
20260831,2,128,0.01,S0_xv_switch,1.0268051624298096,0.0024252845905721,1.0247446298599243,1.0,0.0,1.0101009607315063,0.0
20260831,2,128,0.01,S1_xv_consistency_switch,1.0253849029541016,0.0017402993980795,1.0247446298599243,1.0,0.0,1.0101009607315063,0.0
20260831,2,128,0.01,D3_oracle_pair_teacher_only,0.7697355151176453,0.2383054792881012,1.0247446298599243,0.8236103653907776,0.2780859172344208,0.8319295644760132,17.638965606689453
20260831,2,128,0.03,Bayes_exact,1.0319026708602903,0.0,1.0319026708602903,,,,
20260831,2,128,0.03,B0_v_ind,1.0337283611297607,0.0019642710685729,1.0319026708602903,,,,
20260831,2,128,0.03,B1_x_ind,1.0318922996520996,0.0001047324622049,1.0319026708602903,,,,
20260831,2,128,0.03,B2_eps_ind,3.631270885467529,2.573494434356689,1.0319026708602903,,,,
20260831,2,128,0.03,D0_x_shared,1.0322279930114746,0.0002940230187959,1.0319026708602903,,,,
20260831,2,128,0.03,D0_eps_shared,1.804175853729248,0.7489728927612305,1.0319026708602903,,,,
20260831,2,128,0.03,D0_fixed_x_eps,1.0322279930114746,0.0002940230187959,1.0319026708602903,1.0,0.0,1.0309277772903442,0.0
20260831,2,128,0.03,D0_safe_schedule,1.0334374904632568,0.0008055892540141,1.0319026708602903,0.9700000286102296,0.0,1.0,0.9999989867210388
20260831,2,128,0.03,D3_oracle_bayes_gate,1.0322129726409912,0.0001919226924655,1.0319026708602903,0.9933676719665528,0.0146815944463014,1.0240904092788696,0.221076488494873
20260831,2,128,0.03,D1_scaled_gate,1.0347239971160889,0.0016365563496947,1.0319026708602903,0.9375956654548644,0.045029804110527,0.9665934443473816,2.080143928527832
20260831,2,128,0.03,D2_velocity_gate,1.033661127090454,0.0008575754472985,1.0319026708602903,0.9939212799072266,0.0059401993639767,1.0246610641479492,0.2026251554489135
20260831,2,128,0.03,D4_safe_velocity_gate,1.0328090190887451,0.0004488630511332,1.0319026708602903,0.9964956045150756,0.0015819645486772,1.0273149013519287,0.1168133094906807
20260831,2,128,0.03,S0_xv_switch,1.0338902473449707,0.0017433105967938,1.0319026708602903,1.0,0.0,1.0309277772903442,0.0
20260831,2,128,0.03,S1_xv_consistency_switch,1.0343637466430664,0.0013899677433073,1.0319026708602903,1.0,0.0,1.0309277772903442,0.0
20260831,2,128,0.03,D3_oracle_pair_teacher_only,0.8404251337051392,0.104470282793045,1.0319026708602903,0.6543501615524292,0.4338448047637939,0.6745877265930176,11.521660804748535
20260831,2,128,0.1,Bayes_exact,1.2298293113708496,0.0,1.2298293113708496,,,,
20260831,2,128,0.1,B0_v_ind,1.2342026233673096,0.0020091340411454,1.2298293113708496,,,,
20260831,2,128,0.1,B1_x_ind,1.2298617362976074,7.512277079513296e-05,1.2298293113708496,,,,
20260831,2,128,0.1,B2_eps_ind,1.4578146934509275,0.2274294793605804,1.2298293113708496,,,,
20260831,2,128,0.1,D0_x_shared,1.2300467491149902,0.0002812454476952,1.2298293113708496,,,,
20260831,2,128,0.1,D0_eps_shared,1.2825822830200195,0.0433840341866016,1.2298293113708496,,,,
