ambient_dim,hidden_dim,time,model,model_kind,seeds,first_bayes_mse_mean,second_bayes_mse_mean,first_paired_mse_mean,second_paired_mse_mean,branch_error_cosine_mean_mean,branch_error_cosine_negative_fraction_mean,oracle_gate_mean_mean,oracle_bayes_mse_mean,oracle_gain_over_best_branch_mean,learned_gate_mean_mean,learned_bayes_mse_mean,learned_gate_mae_to_oracle_mean,first_bayes_mse_std,second_bayes_mse_std,first_paired_mse_std,second_paired_mse_std,branch_error_cosine_mean_std,branch_error_cosine_negative_fraction_std,oracle_gate_mean_std,oracle_bayes_mse_std,oracle_gain_over_best_branch_std,learned_gate_mean_std,learned_bayes_mse_std,learned_gate_mae_to_oracle_std
2,128,0.01,D0_xeps,x_plus_epsilon,3,0.0007286473313191,11.671453158060709,1.0074976881345112,12.628060340881348,0.006994580229123397,0.520263671875,0.9964160323143005,0.0005607464117929,0.22270291313943938,,,,0.00034771586150201677,3.8669739763227757,0.01361221241589939,3.8945383161232705,0.25498326905874896,0.19420891832799514,0.002564874346754732,0.00026026845633455876,0.07040084102966158,0.0,0.0,0.0
2,128,0.01,D1_scaled,x_plus_epsilon,3,0.0007539523843054334,13.545221328735352,1.0074351628621419,14.499120712280273,0.010926534732182802,0.5005696614583334,0.9968451658884684,0.0005928555765421666,0.23660275311836235,0.9400825103123983,0.044374516544242626,0.05741935099164643,0.00040752260259134667,5.8342921081432,0.013521283772892303,5.836650991315811,0.1981258510474235,0.1505047913904942,0.0009591253579167378,0.00035339196007467595,0.09691864452361673,0.01457984367891925,0.043855174641745445,0.01474879862874866
2,128,0.01,D2_velocity,x_plus_epsilon,3,0.002191996880962167,16.12345250447591,1.009300947189331,17.17177931467692,0.023833349347114587,0.4785970052083333,0.9950682520866394,0.0016768866917117667,0.2827221964567477,0.9981090029080709,0.0022513175499625,0.005427733063697766,0.0012256920428139967,5.7603932140544485,0.013428233175756548,5.728149689126206,0.4645690244444625,0.2926813708248814,0.0014548701509804415,0.001071316312837311,0.16368344725038572,0.001229514138419326,0.0012760859597914834,0.0009310891593543026
2,128,0.01,D4_safe,x_plus_epsilon,3,0.0004927743866573333,14.8428742090861,1.0072092612584431,15.805421829223633,-0.04823886851469674,0.5253092447916666,0.9972813129425049,0.000321434456661,0.3535746163991396,0.9983585079511007,0.0005159904443037333,0.002875506645068467,6.492668479618938e-05,2.2183057037046106,0.012979421003025762,2.153971431327428,0.31310834718839126,0.22082871546205596,0.0015288788810926763,0.00010485598407906719,0.1707701102806791,0.0007760950722053091,0.00011036608422105277,0.000715529825858774
2,128,0.01,S0_xv,x_plus_v,3,0.0022364281273136,0.0030859334704776,1.0093887646993,1.0097015301386516,0.13660910725593567,0.4181315104166667,0.6892181038856506,0.0008271145440327,0.6427386327503659,,,,0.00037676572541932665,0.00020318422933288967,0.01432015607853248,0.013454648243965655,0.43141626555857226,0.2784483854746943,0.04290555028772632,0.00040947802328331626,0.14761006962539047,0.0,0.0,0.0
2,128,0.01,S1_xv,x_plus_v,3,0.0018660056327158999,0.0025851265139256335,1.0087200403213503,1.0095397233963013,0.16051695744196573,0.4012858072916667,0.7025827964146932,0.0006141113117336666,0.6598041476921109,,,,0.0002316567584631842,0.0011067758723431438,0.01354085791324854,0.014174234001159495,0.28329197126951855,0.19123775825299366,0.09686250842180162,0.00025111793543555657,0.07191301395231048,0.0,0.0,0.0
2,128,0.03,D0_xeps,x_plus_epsilon,3,0.0006179295402640334,0.9365193446477255,1.0506764650344849,2.001127243041992,0.1770804896950722,0.366943359375,0.9926087856292725,0.0004967890902965334,0.23842070315025551,,,,0.00043592978918602826,0.2785131823384171,0.015548794317586483,0.2946682874902871,0.31559072885035155,0.20234663088599797,0.00350899216776544,0.00041000860106463915,0.09654731148618971,0.0,0.0,0.0
2,128,0.03,D1_scaled,x_plus_epsilon,3,0.0006613539687047001,0.9983718395233154,1.0509153604507446,2.076101779937744,0.20330253491799036,0.3680013020833333,0.9919579029083252,0.0005503090069396,0.22064745844398562,0.9232934912045797,0.004531355574727033,0.072429043551286,0.0004909664067744324,0.39100791162297316,0.015795225545144533,0.4045569147186386,0.39078128134287826,0.21920433999461594,0.0027197226445091548,0.00047964410122654515,0.10713698177334531,0.012925602882972724,0.0034804160677301744,0.01361711246593225
2,128,0.03,D2_velocity,x_plus_epsilon,3,0.0016418372979387,1.1501054763793945,1.0504864851633708,2.1986780961354575,0.13536165654659268,0.4150390625,0.985301653544108,0.0012900347743803667,0.2295905949552688,0.9950863917668661,0.0017093479012448998,0.0170686825489004,0.0009532413161480602,0.44722650423709004,0.014194583262847647,0.4601400109979883,0.3170976659174775,0.20628842660538294,0.005457809487193928,0.000781533359181114,0.0755244211124683,0.002544256443329101,0.0008880692167427349,0.00295482206007188
2,128,0.03,D4_safe,x_plus_epsilon,3,0.0004710206897773667,0.908873438835144,1.0504673719406128,1.972890853881836,0.17514040817817053,0.3916015625,0.9929848114649454,0.0003673472723069667,0.257340506101867,0.9941484332084656,0.0005496698722708334,0.009658873081207234,0.00026416493946714026,0.21857726951915904,0.015304745314560829,0.2276211177619774,0.34943112315218483,0.2193616761946128,0.0036579072582674653,0.0002648104432723158,0.1253457815817909,0.002273403030068964,0.0003843833560043214,0.0006797184158939137
