query,seed,fid,sfid,inception_score
oblique,0,61.924444086644996,206.53154384403433,37.05344772338867
time_only,0,62.560539321215856,206.51073994266596,36.691871643066406
spacetime_coupled,0,64.44753554997669,208.22615899213633,35.28670883178711
characteristic,0,64.89479583269718,207.57471324788048,36.34797286987305
oblique,1,61.83688505472401,206.38685061467618,37.43067932128906
time_only,1,62.45323968197732,206.37456701378346,36.95785903930664
spacetime_coupled,1,64.31283447975261,208.0570057062979,35.57881546020508
characteristic,1,64.98093298702656,207.43676730235893,36.36088943481445
