method,k,suffix,resnet_p,resnet_top1,resnet_prediction,convnext_p,convnext_top1,convnext_prediction,gap_rms,clean_gap_rms,noise_gap_rms,guided_endpoint_distance,prefix_full_calls,suffix_full_calls,n
cfg_high,8,conditional,0.5507265854886646,0.69,491.69,0.46450356207598814,0.69,489.08,0.11100411197170615,0.09712859831750392,0.013875513996463269,0.3584921955317259,32.0,112.0,200
cfg_high,8,null,0.0910552191251864,0.11,496.595,0.06592002605430025,0.095,498.07,0.11100411197170615,0.09712859831750392,0.013875513996463269,0.4798668386042118,32.0,112.0,200
cfg_high,16,conditional,0.6851233571660122,0.785,490.005,0.5791705402574735,0.81,487.325,0.10745001899078488,0.08058751421049237,0.02686250474769622,0.23260628122836352,64.0,96.0,200
cfg_high,16,null,0.3813395332405321,0.45,501.885,0.32375440625881313,0.48,492.715,0.10745001899078488,0.08058751421049237,0.02686250474769622,0.3193444609642029,64.0,96.0,200
cfg_high,24,conditional,0.780993745282758,0.86,483.305,0.6387201453337912,0.875,478.955,0.10332124028354883,0.06457577515393495,0.03874546511098743,0.14902794789522886,96.0,80.0,200
cfg_high,24,null,0.6312492134897911,0.75,482.29,0.5349359279865166,0.765,490.575,0.10332124028354883,0.06457577515393495,0.03874546511098743,0.20760682508349418,96.0,80.0,200
cfg_high,32,conditional,0.8339879918145016,0.9,474.455,0.688078103781445,0.91,476.71,0.09222700146958232,0.04611350073479116,0.04611350073479116,0.08350253351032734,128.0,64.0,200
cfg_high,32,null,0.7890071513003204,0.875,474.26,0.6509867794130696,0.875,480.66,0.09222700146958232,0.04611350073479116,0.04611350073479116,0.12053892200812698,128.0,64.0,200
cfg_high,40,conditional,0.8651055688830093,0.925,483.33,0.7130309576820583,0.94,479.195,0.07802184039726853,0.029258190132677556,0.04876365022733808,0.034176729628816245,160.0,48.0,200
cfg_high,40,null,0.8481373930629342,0.91,481.68,0.6999295223667287,0.92,478.255,0.07802184039726853,0.029258190132677556,0.04876365022733808,0.05520616113208234,160.0,48.0,200
cfg_high,48,conditional,0.8836333996616303,0.95,479.53,0.7290782792144455,0.95,479.375,0.06338006088510156,0.01584501522127539,0.04753504568710923,0.0,192.0,32.0,200
cfg_high,48,null,0.8791495956992731,0.945,481.95,0.7235511106182821,0.945,479.35,0.06338006088510156,0.01584501522127539,0.04753504568710923,0.010821453121025115,192.0,32.0,200
cfg_high,64,guided,0.8836333996616303,0.95,479.53,0.7290782792144455,0.95,479.375,,,,,,,200
cfg_tuned,8,conditional,0.45958068690531945,0.585,476.235,0.3818491290678867,0.62,470.575,0.11627066621556878,0.10173683322966098,0.014533833276946097,0.23518186017870904,32.0,112.0,200
cfg_tuned,8,null,0.03880936900667649,0.045,502.435,0.02647646828168945,0.055,522.395,0.11627066621556878,0.10173683322966098,0.014533833276946097,0.3961744949966669,32.0,112.0,200
cfg_tuned,16,conditional,0.5642269473469697,0.67,463.165,0.4758154373361322,0.71,482.8,0.10901279481127858,0.08175959583371878,0.027253198702819646,0.15090071365237237,64.0,96.0,200
cfg_tuned,16,null,0.2082782424650054,0.275,451.05,0.15747093227793812,0.255,497.72,0.10901279481127858,0.08175959583371878,0.027253198702819646,0.2649613361805677,64.0,96.0,200
cfg_tuned,24,conditional,0.6518257540774858,0.79,470.25,0.5481309116608464,0.785,472.695,0.1061599145643413,0.06634994648396969,0.03980996801517904,0.08951600050553679,96.0,80.0,200
cfg_tuned,24,null,0.42214323131635867,0.52,478.805,0.35710080019060114,0.58,468.68,0.1061599145643413,0.06634994648396969,0.03980996801517904,0.16325188152492046,96.0,80.0,200
cfg_tuned,32,conditional,0.7283656819512726,0.82,473.4,0.600052306263533,0.88,471.665,0.096241503842175,0.0481207519210875,0.0481207519210875,0.0460803934559226,128.0,64.0,200
cfg_tuned,32,null,0.6062760954379814,0.735,477.255,0.5111813436865487,0.765,472.97,0.096241503842175,0.0481207519210875,0.0481207519210875,0.08955467004328967,128.0,64.0,200
cfg_tuned,40,conditional,0.7678253092929662,0.845,470.47,0.6302741483342834,0.895,476.05,0.0808160432241857,0.030306016197428107,0.05051002707332373,0.01766037068795413,160.0,48.0,200
cfg_tuned,40,null,0.7264485090590097,0.81,471.65,0.5988556624065677,0.865,470.65,0.0808160432241857,0.030306016197428107,0.05051002707332373,0.04068063059821725,160.0,48.0,200
cfg_tuned,48,conditional,0.7871759688127349,0.85,471.63,0.6492462373321177,0.9,476.28,0.06478134853765369,0.016195337134413422,0.04858601115643978,0.0,192.0,32.0,200
