method,k,suffix,resnet_p,resnet_top1,resnet_prediction,convnext_p,convnext_top1,convnext_prediction,gap_rms,clean_gap_rms,noise_gap_rms,guided_endpoint_distance,prefix_full_calls,suffix_full_calls,n
cfg_tuned,48,null,0.7768919094675221,0.845,470.455,0.6372158986405703,0.89,475.975,0.06478134853765369,0.016195337134413422,0.04858601115643978,0.011126508570741862,192.0,32.0,200
cfg_tuned,64,guided,0.7871759688127349,0.85,471.63,0.6492462373321177,0.9,476.28,,,,,,,200
fsg_high,8,conditional,0.6812454925983912,0.77,490.125,0.5440366336397711,0.795,485.905,0.10097180863842369,0.08835033247247338,0.01262147607980296,0.46836267694830896,38.0,112.0,200
fsg_high,8,null,0.21542219611590668,0.285,490.28,0.1647766252416841,0.27,526.75,0.10097180863842369,0.08835033247247338,0.01262147607980296,0.5470236420631409,38.0,112.0,200
fsg_high,16,conditional,0.7830543186038267,0.86,474.13,0.6336076855938881,0.895,477.22,0.09881620382890105,0.07411215309053659,0.024704050957225263,0.3273277323693037,76.0,96.0,200
fsg_high,16,null,0.5642418371909298,0.665,492.325,0.46043963764910584,0.68,497.875,0.09881620382890105,0.07411215309053659,0.024704050957225263,0.3845191090553999,76.0,96.0,200
fsg_high,24,conditional,0.8582868632581085,0.945,474.925,0.6887618526257575,0.935,476.735,0.09790065173059702,0.061187907429412006,0.03671274442225694,0.2208587785810232,114.0,80.0,200
fsg_high,24,null,0.764560273181487,0.86,473.345,0.6206515528878662,0.875,478.73,0.09790065173059702,0.061187907429412006,0.03671274442225694,0.26431980334222316,114.0,80.0,200
fsg_high,32,conditional,0.9039213038235903,0.955,476.175,0.7293344146385788,0.95,480.735,0.08792051738128066,0.04396025869064033,0.04396025869064033,0.12994356963783502,152.0,64.0,200
fsg_high,32,null,0.878234680891037,0.95,474.21,0.7102583259157836,0.945,478.65,0.08792051738128066,0.04396025869064033,0.04396025869064033,0.1604991440847516,152.0,64.0,200
fsg_high,40,conditional,0.91904098816216,0.975,475.61,0.7404183492250741,0.97,481.465,0.07417482223361731,0.027815558351576328,0.04635926388204098,0.05547689118422568,190.0,48.0,200
fsg_high,40,null,0.9123980567604303,0.965,475.62,0.7347090841643512,0.96,482.89,0.07417482223361731,0.027815558351576328,0.04635926388204098,0.07370906624943017,190.0,48.0,200
fsg_high,48,conditional,0.9229710314050317,0.96,474.19,0.7476831970363855,0.975,480.36,0.06092081807553768,0.01523020451888442,0.04569061349146068,0.0,228.0,32.0,200
fsg_high,48,null,0.922321475148201,0.96,474.19,0.7452769246697426,0.975,480.36,0.06092081807553768,0.01523020451888442,0.04569061349146068,0.010853127078153193,228.0,32.0,200
fsg_high,64,guided,0.9229710314050317,0.96,474.19,0.7476831970363855,0.975,480.36,,,,,,,200
fsg_length_high,8,conditional,0.5252410835580668,0.655,496.53,0.46532957132309094,0.7,509.59,0.10601545978337526,0.09276352742686868,0.013251932472921907,0.4995098549872637,38.0,112.0,200
fsg_length_high,8,null,0.1283998139875655,0.21,490.94,0.10801648599717736,0.205,495.34,0.10601545978337526,0.09276352742686868,0.013251932472921907,0.5900691413134337,38.0,112.0,200
fsg_length_high,16,conditional,0.7155690957604384,0.825,477.485,0.5923454843985383,0.81,484.935,0.10211542706936598,0.076586570199579,0.025528856767341495,0.34548402041196824,76.0,96.0,200
fsg_length_high,16,null,0.4562715720219967,0.555,498.905,0.4032231739900453,0.605,498.205,0.10211542706936598,0.076586570199579,0.025528856767341495,0.40852155528962614,76.0,96.0,200
fsg_length_high,24,conditional,0.8048939769851858,0.875,475.23,0.6561901150946505,0.895,479.71,0.09590851096436381,0.05994281940162182,0.03596569170244038,0.23341728277504445,114.0,80.0,200
fsg_length_high,24,null,0.7250922398797411,0.84,475.01,0.5964178031147458,0.805,488.175,0.09590851096436381,0.05994281940162182,0.03596569170244038,0.2796171087026596,114.0,80.0,200
fsg_length_high,32,conditional,0.8433985188943915,0.895,476.865,0.6988329851644812,0.92,476.105,0.08594787795096635,0.04297393897548318,0.04297393897548318,0.13968197071924807,152.0,64.0,200
fsg_length_high,32,null,0.8199845196807292,0.89,476.135,0.6778755813496536,0.91,477.335,0.08594787795096635,0.04297393897548318,0.04297393897548318,0.17103563426062465,152.0,64.0,200
fsg_length_high,40,conditional,0.8637340596923605,0.92,474.61,0.7137718032544944,0.94,473.475,0.07290919634513557,0.027340948544442654,0.04556824772618711,0.06059911716729403,190.0,48.0,200
fsg_length_high,40,null,0.8581100448335929,0.91,475.48,0.7074907632439863,0.94,474.115,0.07290919634513557,0.027340948544442654,0.04556824772618711,0.07911727228201926,190.0,48.0,200
fsg_length_high,48,conditional,0.8769133759546094,0.915,475.56,0.7254796884302049,0.945,474.52,0.06036480062641204,0.01509120015660301,0.045273600444197655,0.0,228.0,32.0,200
fsg_length_high,48,null,0.8757120777589443,0.915,475.56,0.7230987697793171,0.945,473.78,0.06036480062641204,0.01509120015660301,0.045273600444197655,0.010418198483530433,228.0,32.0,200
fsg_length_high,64,guided,0.8769133759546094,0.915,475.56,0.7254796884302049,0.945,474.52,,,,,,,200
instant_high,8,conditional,0.2186795524842752,0.285,463.045,0.17942008299294684,0.315,471.43,0.1388425251469016,0.1214872095733881,0.0173553156433627,0.45864974409341813,32.0,112.0,200
instant_high,8,null,0.004494415220797912,0.005,521.085,0.004794068395276554,0.005,523.54,0.1388425251469016,0.1214872095733881,0.0173553156433627,0.3840270068496466,32.0,112.0,200
instant_high,16,conditional,0.09752749432041018,0.13,493.355,0.09400010936566104,0.165,494.76,0.13068175435066223,0.09801131576299667,0.03267043858766556,0.33592119365930556,64.0,96.0,200
instant_high,16,null,0.005911758240854361,0.01,531.425,0.002553951976806275,0.01,534.985,0.13068175435066223,0.09801131576299667,0.03267043858766556,0.2737758908420801,64.0,96.0,200
instant_high,24,conditional,0.06332667449155044,0.085,514.865,0.04999543625629485,0.1,511.565,0.12474699843674898,0.07796687399968505,0.04678012462332845,0.23975645400583745,96.0,80.0,200
instant_high,24,null,0.013032270663119285,0.02,513.99,0.01350162759333216,0.02,533.32,0.12474699843674898,0.07796687399968505,0.04678012462332845,0.19284455075860024,96.0,80.0,200
instant_high,32,conditional,0.04148394040041697,0.065,506.935,0.03097060864771265,0.045,546.29,0.1113358460366726,0.0556679230183363,0.0556679230183363,0.15750257670879364,128.0,64.0,200
instant_high,32,null,0.017327888205440106,0.03,516.37,0.018539825383022616,0.025,530.285,0.1113358460366726,0.0556679230183363,0.0556679230183363,0.12698488716036083,128.0,64.0,200
instant_high,40,conditional,0.02602136686736415,0.04,513.66,0.02520616479734599,0.04,520.845,0.09140138076618314,0.03427551781758666,0.05712586276233196,0.08013708498328924,160.0,48.0,200
instant_high,40,null,0.019188766761315798,0.025,514.535,0.017337781401211033,0.025,527.46,0.09140138076618314,0.03427551781758666,0.05712586276233196,0.06426102148368955,160.0,48.0,200
instant_high,48,conditional,0.017348852610451396,0.025,500.33,0.014776290978825274,0.025,508.145,0.07101016998291015,0.01775254249572754,0.05325762741267681,0.0,192.0,32.0,200
instant_high,48,null,0.015903048420644182,0.02,497.905,0.013217567169995163,0.02,512.05,0.07101016998291015,0.01775254249572754,0.05325762741267681,0.012021657163277268,192.0,32.0,200
instant_high,64,guided,0.017348852610451396,0.025,500.33,0.014776290978825274,0.025,508.145,,,,,,,200
norm_high,8,conditional,0.5695779405899702,0.675,495.835,0.4758988924796722,0.695,470.365,0.1175239346921444,0.10283344292081892,0.01469049183651805,0.4788788729906082,32.0,112.0,200
norm_high,8,null,0.08018343242066067,0.125,476.155,0.056216349985679696,0.12,518.085,0.1175239346921444,0.10283344292081892,0.01469049183651805,0.5804955562949181,32.0,112.0,200
norm_high,16,conditional,0.7619304562924663,0.845,484.85,0.6247649533611548,0.875,482.985,0.11292298249900341,0.08469223702326417,0.028230745624750853,0.34268515691161155,64.0,96.0,200
norm_high,16,null,0.46909579123253936,0.57,498.23,0.39126026829013427,0.605,477.56,0.11292298249900341,0.08469223702326417,0.028230745624750853,0.4154484203457832,64.0,96.0,200
norm_high,24,conditional,0.8479100153711624,0.925,480.68,0.704673588112928,0.935,479.41,0.10359741568565368,0.06474838472902775,0.03884903086349368,0.2485247638821602,96.0,80.0,200
norm_high,24,null,0.7719349359523039,0.87,482.905,0.6389547789853531,0.865,483.68,0.10359741568565368,0.06474838472902775,0.03884903086349368,0.2979150573164225,96.0,80.0,200
norm_high,32,conditional,0.888024364928715,0.94,478.065,0.7293854596372694,0.95,482.005,0.0900280968658626,0.0450140484329313,0.0450140484329313,0.16449475042521955,128.0,64.0,200
norm_high,32,null,0.8645156223722733,0.91,478.625,0.714440256417729,0.93,481.025,0.0900280968658626,0.0450140484329313,0.0450140484329313,0.19665950015187264,128.0,64.0,200
norm_high,40,conditional,0.9080810289084912,0.96,480.4,0.74913499109447,0.965,479.16,0.07514759480953216,0.028180347993038594,0.04696724691428244,0.08136801844462753,160.0,48.0,200
norm_high,40,null,0.9022892270609737,0.965,477.98,0.7427763199806213,0.965,479.16,0.07514759480953216,0.028180347993038594,0.04696724691428244,0.10044044587761164,160.0,48.0,200
norm_high,48,conditional,0.918845893740654,0.97,480.14,0.7603485934436321,0.965,476.855,0.060209976062178615,0.015052494015544654,0.045157482093200085,0.0,192.0,32.0,200
norm_high,48,null,0.9179180654138327,0.965,479.675,0.7588458506017923,0.965,476.855,0.060209976062178615,0.015052494015544654,0.045157482093200085,0.010300939611624926,192.0,32.0,200
norm_high,64,guided,0.918845893740654,0.97,480.14,0.7603485934436321,0.965,476.855,,,,,,,200
refined_high,8,conditional,0.5505670987563644,0.685,487.035,0.4655438840403804,0.69,491.055,0.11101959805935621,0.09714214844629168,0.013877449757419526,0.35876100726425647,40.0,112.0,200
refined_high,8,null,0.09098767213448511,0.11,497.35,0.06609589992127439,0.095,499.295,0.11101959805935621,0.09714214844629168,0.013877449757419526,0.4800066754221916,40.0,112.0,200
refined_high,16,conditional,0.6849941906440654,0.79,488.22,0.578641748088994,0.81,486.03,0.10742305604740977,0.08056729206815362,0.026855764011852443,0.23280088193714618,76.0,96.0,200
refined_high,16,null,0.3810208678396657,0.45,503.025,0.3255679033520573,0.475,493.715,0.10742305604740977,0.08056729206815362,0.026855764011852443,0.31942654684185984,76.0,96.0,200
refined_high,24,conditional,0.7810940987907816,0.86,483.69,0.6386542096431367,0.875,479.9,0.10331946367397904,0.06457466481253504,0.038744798954576255,0.14917498596012593,112.0,80.0,200
refined_high,24,null,0.6311543049101601,0.75,482.51,0.5348092181282118,0.765,490.69,0.10331946367397904,0.06457466481253504,0.038744798954576255,0.20774148363620043,112.0,80.0,200
refined_high,32,conditional,0.8341936704795807,0.905,475.945,0.6878721218521241,0.91,476.71,0.09223611794412136,0.04611805897206068,0.04611805897206068,0.08352668881416321,152.0,64.0,200
refined_high,32,null,0.7888309676432982,0.875,474.48,0.6504358056595083,0.875,480.66,0.09223611794412136,0.04611805897206068,0.04611805897206068,0.12056620571762323,152.0,64.0,200
refined_high,40,conditional,0.8651225988008082,0.93,483.595,0.7123439223715105,0.94,479.195,0.07803247429430485,0.029262177902273832,0.0487702964246273,0.0341558719985187,188.0,48.0,200
refined_high,40,null,0.8481646137684584,0.91,481.9,0.699567007458536,0.92,479.055,0.07803247429430485,0.029262177902273832,0.0487702964246273,0.055221275808289644,188.0,48.0,200
refined_high,48,conditional,0.8835557018779219,0.955,479.035,0.7277971086697653,0.955,478.245,0.06338526351377367,0.01584631587844342,0.047538947761058804,0.0,228.0,32.0,200
refined_high,48,null,0.8791496967105195,0.95,479.74,0.722217099169502,0.945,479.35,0.06338526351377367,0.01584631587844342,0.047538947761058804,0.010820191667880863,228.0,32.0,200
refined_high,64,guided,0.8835557018779219,0.955,479.035,0.7277971086697653,0.955,478.245,,,,,,,200
smc_high,8,conditional,0.42385051232340176,0.525,464.33,0.3512559540114307,0.595,479.1,0.12249540219083428,0.10718347741290928,0.015311925273854285,0.24362446807324886,32.0,112.0,200
smc_high,8,null,0.028259974003130708,0.04,478.7,0.016034723817883786,0.025,506.555,0.12249540219083428,0.10718347741290928,0.015311925273854285,0.4072225680947304,32.0,112.0,200
smc_high,16,conditional,0.5282202774875805,0.64,473.645,0.4662049268715782,0.72,481.05,0.11436569726094603,0.08577427309006452,0.028591424315236508,0.15662285331636666,64.0,96.0,200
smc_high,16,null,0.16244644789897877,0.21,464.055,0.12412829432920262,0.225,483.87,0.11436569726094603,0.08577427309006452,0.028591424315236508,0.27072809271514414,64.0,96.0,200
smc_high,24,conditional,0.6246043799360632,0.75,471.04,0.5502243555983296,0.82,474.95,0.11073072640225291,0.06920670406892895,0.04152402239851653,0.09677305277436972,96.0,80.0,200
smc_high,24,null,0.3697854532773272,0.48,472.775,0.331623823648406,0.515,487.855,0.11073072640225291,0.06920670406892895,0.04152402239851653,0.16899502113461495,96.0,80.0,200
smc_high,32,conditional,0.7004898038267856,0.82,478.15,0.6083688257797621,0.895,470.1,0.09928329188376665,0.049641645941883326,0.049641645941883326,0.0550735479593277,128.0,64.0,200
smc_high,32,null,0.5669583132729167,0.685,467.225,0.49524637412134326,0.745,475.81,0.09928329188376665,0.049641645941883326,0.049641645941883326,0.09597104633226991,128.0,64.0,200
smc_high,40,conditional,0.7552432708558626,0.87,481.11,0.6405367223639041,0.905,469.675,0.0824330365844071,0.030912388721480964,0.05152064765803516,0.025191205297596754,160.0,48.0,200
smc_high,40,null,0.6962007168965647,0.83,480.83,0.6002005775179714,0.87,472.655,0.0824330365844071,0.030912388721480964,0.05152064765803516,0.04626359191723168,160.0,48.0,200
smc_high,48,conditional,0.785144456167327,0.875,481.77,0.6601441487320698,0.92,472.4,0.0653580890968442,0.01633952227421105,0.0490185668785125,0.0,192.0,32.0,200
smc_high,48,null,0.7697779846788034,0.87,481.22,0.6498891648626887,0.91,472.51,0.0653580890968442,0.01633952227421105,0.0490185668785125,0.0111246254038997,192.0,32.0,200
smc_high,64,guided,0.785144456167327,0.875,481.77,0.6601441487320698,0.92,472.4,,,,,,,200
soft_high,8,conditional,0.3153906621360329,0.4,461.81,0.25881355866396916,0.47,483.31,0.12140606600791216,0.10623030800372363,0.01517575825098902,0.15680960012599826,32.0,112.0,200
soft_high,8,null,0.010780190081057607,0.015,465.42,0.006605237413696159,0.01,525.585,0.12140606600791216,0.10623030800372363,0.01517575825098902,0.2097168859001249,32.0,112.0,200
soft_high,16,conditional,0.2565982761814371,0.345,459.72,0.22204937775491998,0.385,497.515,0.11423454025760293,0.08567590542137622,0.028558635064400734,0.10419020913541317,64.0,96.0,200
soft_high,16,null,0.03261369583443546,0.05,484.21,0.028496630427762282,0.05,526.785,0.11423454025760293,0.08567590542137622,0.028558635064400734,0.13323524471372367,64.0,96.0,200
soft_high,24,conditional,0.23772099449674441,0.345,468.845,0.20238521513614616,0.335,509.96,0.10879044206812978,0.06799402620643377,0.04079641576856375,0.06386904983781277,96.0,80.0,200
soft_high,24,null,0.07095747050376332,0.1,460.97,0.05947812567848814,0.1,536.54,0.10879044206812978,0.06799402620643377,0.04079641576856375,0.06950440611224622,96.0,80.0,200
soft_high,32,conditional,0.21949590625481505,0.315,462.81,0.18593110014238845,0.325,496.85,0.09961185313761234,0.04980592656880617,0.04980592656880617,0.03493403248488903,128.0,64.0,200
soft_high,32,null,0.10245504561270949,0.13,436.815,0.0959967077264082,0.165,506.29,0.09961185313761234,0.04980592656880617,0.04980592656880617,0.03256863827817142,128.0,64.0,200
soft_high,40,conditional,0.19366071151485018,0.295,456.665,0.16625578132821828,0.31,510.445,0.08423676254227758,0.03158878594636917,0.05264797654002905,0.014095836277119815,160.0,48.0,200
soft_high,40,null,0.1357053302246757,0.195,451.705,0.11604337341723295,0.195,514.995,0.08423676254227758,0.03158878594636917,0.05264797654002905,0.015895462022162975,160.0,48.0,200
soft_high,48,conditional,0.1739848206848774,0.245,462.955,0.14593457309632868,0.28,513.37,0.06577878529205919,0.016444696323014797,0.049334088768810035,0.0,192.0,32.0,200
soft_high,48,null,0.15175399152479316,0.2,453.22,0.12882208881741464,0.23,509.78,0.06577878529205919,0.016444696323014797,0.049334088768810035,0.011277896789833904,192.0,32.0,200
soft_high,64,guided,0.1739848206848774,0.245,462.955,0.14593457309632868,0.28,513.37,,,,,,,200
