amount,horizon,variant,w,k,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,direction_cos_cfg,finite_error_flow_target,finite_error_own_euler_target,flow_vs_euler_target_relative_difference,n
1.25,0.03125,cfg_capped,2.25,24.0,0.0068195730515678106,2.144836568584045,0.9532606974244118,1.0000000093132257,0.17548630743597946,0.18535913705515364,0.1749782256471614,96
1.25,0.03125,cfg_equal,2.25,24.0,0.006820923891306545,2.1456150176624456,0.9536066763103008,1.0000000093132257,0.1758013687406977,0.18551963715193173,0.1749782256471614,96
1.25,0.03125,cfg_first_order,2.25,24.0,0.007281793034053408,2.249999982615312,1.000000002483527,0.9999999925494194,0.18692813534289598,0.2141387079997609,0.1749782256471614,96
1.25,0.03125,euler_capped,2.25,24.0,0.006819573066119726,2.144836574792862,0.9532606974244118,0.9446533372004827,0.3135581898192565,0.16994921560399234,0.1749782256471614,96
1.25,0.03125,euler_fsg,2.25,24.0,0.00682092390585846,2.145615023871263,0.9536066763103008,0.9446533372004827,0.31375737860798836,0.1701262438825021,0.1749782256471614,96
1.25,0.03125,flow_inverse,2.25,24.0,0.0069306622341779684,2.1481962700684867,0.954753897463282,0.9855242116997639,1.0877020036067128e-05,0.17893529947226247,0.1749782256471614,96
1.25,0.03125,own_euler_inverse,2.25,24.0,0.006761884227065214,2.1088434432943663,0.9372637551277876,0.9839146907130877,0.17497648810967803,1.0789769829007886e-05,0.1749782256471614,96
1.25,0.0625,cfg_capped,2.25,24.0,0.008090881160266386,1.2500000012417634,0.5555555516233047,1.000000010554989,0.44070300956567127,0.45448692903543514,0.3390889400616288,96
1.25,0.0625,cfg_equal,2.25,24.0,0.013760264356581805,2.2285144490500293,0.9904508646577597,1.0000000012417634,0.3734973859973252,0.3924707757929961,0.3390889400616288,96
1.25,0.0625,cfg_first_order,2.25,24.0,0.014563586068106815,2.249999982615312,1.000000002483527,0.9999999925494194,0.3685077565411727,0.4267546699071924,0.3390889400616288,96
1.25,0.0625,euler_capped,2.25,24.0,0.008090881169967664,1.25,0.5555555522441864,0.8166252473990122,0.6016330622757474,0.4606805412719647,0.3390889400616288,96
1.25,0.0625,euler_fsg,2.25,24.0,0.013760264375984358,2.2285144502917924,0.9904508646577597,0.8166252393275499,0.6396418446674943,0.3567541257167856,0.3390889400616288,96
1.25,0.0625,flow_inverse,2.25,24.0,0.013326296548863562,2.073936259994904,0.9217494471619526,0.9491500339160363,7.008357994209291e-05,0.34576365258544683,0.3390889400616288,96
1.25,0.0625,own_euler_inverse,2.25,24.0,0.012909366560052149,2.03872225061059,0.9060987730820974,0.9436060028771559,0.33907614927738905,6.455428834328814e-05,0.3390889400616288,96
1.25,0.125,cfg_capped,2.25,24.0,0.008090881233025963,0.6250000031044086,0.2777777776742975,1.0000000099341075,0.6958241816610098,0.7314009626085559,0.630878864787519,96
1.25,0.125,cfg_equal,2.25,24.0,0.03208881587488577,2.7231435726086297,1.2102860249578953,1.0000000049670537,0.8815452354028821,0.8666946248461803,0.630878864787519,96
1.25,0.125,cfg_first_order,2.25,24.0,0.02912717213621363,2.249999982615312,1.000000002483527,0.9999999925494194,0.6670213863253593,0.773873950044314,0.630878864787519,96
1.25,0.125,euler_capped,2.25,24.0,0.008090881247577878,0.6250000049670538,0.2777777773638566,0.5491865187262496,0.8651857487857342,0.7410054386903843,0.630878864787519,96
1.25,0.125,euler_fsg,2.25,24.0,0.032088816010703645,2.7231435775756836,1.2102860268205404,0.549186517794927,1.3035844741389155,0.7101794583722949,0.630878864787519,96
1.25,0.125,flow_inverse,2.25,24.0,0.02467310549885345,1.9370662619670231,0.8609183343748251,0.8548676793773969,0.0004718832570536809,0.5953037263825536,0.630878864787519,96
1.25,0.125,own_euler_inverse,2.25,24.0,0.02527166599368987,2.0512952767312527,0.9116867861400048,0.8290255858252445,0.6307903677225113,0.0003870538680530444,0.630878864787519,96
1.25,0.25,cfg_capped,2.25,24.0,0.00809088117966894,0.31250000062088173,0.1388888880610466,1.000000010554989,0.8170330300927162,0.8838017135858536,1.147361205269893,96
1.25,0.25,cfg_equal,2.25,24.0,0.09600691846571863,4.234467513859272,1.881985554471612,1.000000008692344,2.2181756353626647,1.6633055216322343,1.147361205269893,96
1.25,0.25,cfg_first_order,2.25,24.0,0.05825434427242726,2.249999982615312,1.000000002483527,0.9999999925494194,1.1193253609041374,1.124056588858366,1.147361205269893,96
1.25,0.25,euler_capped,2.25,24.0,0.008090881189370217,0.31250000031044084,0.13888888790582618,0.2705983567187407,0.972512561827898,0.8805010573317608,1.147361205269893,96
1.25,0.25,euler_fsg,2.25,24.0,0.09600691908660035,4.234467528760433,1.8819855613013108,0.2705983526151006,2.704169947654009,1.1792074851691723,1.147361205269893,96
1.25,0.25,flow_inverse,2.25,24.0,0.044184379027380295,1.7545876521617174,0.7798167373985052,0.6805867518608769,0.0030866114805879383,0.8291285128022233,1.147361205269893,96
1.25,0.25,own_euler_inverse,2.25,24.0,0.05942838988266885,2.5200520580013595,1.1200231223677595,0.5949218257640799,1.1466829093794029,0.00217444218651508,1.147361205269893,96
2.75,0.03125,cfg_capped,3.75,24.0,0.010792108204138154,3.5233850503961244,0.9395693490902582,1.000000008692344,0.18983281085578105,0.12971553796281418,0.1638925108127296,96
2.75,0.03125,cfg_equal,3.75,24.0,0.010792108204138154,3.5233850503961244,0.9395693490902582,1.000000008692344,0.18983281085578105,0.12971553796281418,0.1638925108127296,96
2.75,0.03125,cfg_first_order,3.75,24.0,0.011631995294010267,3.749999995032946,1.0000000062088172,1.0000000049670537,0.20273694364974895,0.1585053294741859,0.1638925108127296,96
2.75,0.03125,euler_capped,3.75,24.0,0.010792108223540708,3.5233850503961244,0.9395693484693766,0.9754589976121982,0.22264229886544248,0.10742577351629734,0.1638925108127296,96
2.75,0.03125,euler_fsg,3.75,24.0,0.010792108223540708,3.5233850503961244,0.9395693484693766,0.9754589976121982,0.22264229886544248,0.10742577351629734,0.1638925108127296,96
2.75,0.03125,flow_inverse,3.75,24.0,0.01114165083951472,3.620154162247976,0.9653744498888651,0.9801969105998675,7.047144964171063e-06,0.16957162871646383,0.1638925108127296,96
2.75,0.03125,own_euler_inverse,3.75,24.0,0.010896087202127092,3.5431067471702895,0.9448284674435854,0.9918750158200661,0.16389281853723028,7.02620318075257e-06,0.1638925108127296,96
2.75,0.0625,cfg_capped,3.75,24.0,0.016961620140743133,2.7408197770516076,0.7308852728456259,1.000000004346172,0.36181902047246695,0.28895412882169086,0.30265969363972545,96
2.75,0.0625,cfg_equal,3.75,24.0,0.020760247280122712,3.4399321004748344,0.917315224185586,1.0000000142802794,0.35014192496115965,0.26076151554783183,0.30265969363972545,96
2.75,0.0625,cfg_first_order,3.75,24.0,0.023263990588020533,3.749999995032946,1.0000000062088172,1.0000000049670537,0.38240800813461345,0.32101708371192217,0.30265969363972545,96
2.75,0.0625,euler_capped,3.75,24.0,0.01696162008253547,2.7408197646339736,0.7308852709829807,0.909887170419097,0.44105095230042934,0.2865903054674466,0.30265969363972545,96
2.75,0.0625,euler_fsg,3.75,24.0,0.02076024731892782,3.439932102958361,0.9173152260482311,0.9098871722817421,0.4415831317504247,0.23107278595368066,0.30265969363972545,96
2.75,0.0625,flow_inverse,3.75,24.0,0.021338235965231434,3.496545657515526,0.9324121735990047,0.9370532557368279,4.314600213225125e-05,0.3168489808837573,0.30265969363972545,96
2.75,0.0625,own_euler_inverse,3.75,24.0,0.020777185612435762,3.4045416563749313,0.9078777811179558,0.9714415942629179,0.30265939235687256,3.978152046594611e-05,0.30265969363972545,96
2.75,0.125,cfg_capped,3.75,24.0,0.017060259871262435,1.3750000149011612,0.36666666995733976,1.0000000062088172,0.6477692301074663,0.6029434915011128,0.5258974690611163,96
2.75,0.125,cfg_equal,3.75,24.0,0.04294424618516738,3.6729703346888223,0.9794587523986896,1.0000000074505806,0.6645247361933192,0.5505535779520869,0.5258974690611163,96
2.75,0.125,cfg_first_order,3.75,24.0,0.04652798117604107,3.749999995032946,1.0000000062088172,1.0000000049670537,0.6718256638074914,0.6047643665224314,0.5258974690611163,96
2.75,0.125,euler_capped,3.75,24.0,0.01706025983245733,1.3750000099341075,0.36666666840513545,0.732476112122337,0.7638351401935021,0.6369219180196524,0.5258974690611163,96
2.75,0.125,euler_fsg,3.75,24.0,0.0429442463015827,3.672970324754715,0.9794587505360445,0.7324761195729176,0.8629979224254688,0.47818150200570625,0.5258974690611163,96
2.75,0.125,flow_inverse,3.75,24.0,0.03973539063008502,3.2904786691069603,0.8774609829609593,0.8339913034190735,0.00028088097603055456,0.5347932962079843,0.5258974690611163,96
2.75,0.125,own_euler_inverse,3.75,24.0,0.039935122205254935,3.3181081960598626,0.8848288568357626,0.9086570820460717,0.5258712060749531,0.0002388417044964323,0.5258974690611163,96
2.75,0.25,cfg_capped,3.75,24.0,0.017060259749996476,0.6875000012417635,0.18333333435778817,1.0000000012417634,0.7958069133261839,0.7990611959248781,0.8845493284364542,96
2.75,0.25,cfg_equal,3.75,24.0,0.11022989995156725,4.946070643762748,1.318952176719904,1.0000000093132257,1.4671964813023806,1.159647397696972,0.8845493284364542,96
