base,k,variant,delta_u_resnet_top1,delta_u_resnet_top1_lo,delta_u_resnet_top1_hi,delta_u_convnext_top1,delta_u_convnext_top1_lo,delta_u_convnext_top1_hi,reduction_write_rms,reduction_write_rms_lo,reduction_write_rms_hi,reduction_agreement_rms,reduction_agreement_rms_lo,reduction_agreement_rms_hi,n
cfg_high,8,agreement_fit,0.015625,0.0,0.046875,0.0,0.0,0.0,0.039465808858630685,0.02319803310738843,0.056491624729148204,0.05457282323450359,0.04486377873988488,0.06571072490758909,64
cfg_high,8,agreement_radius,0.078125,0.0,0.15625,0.078125,0.015625,0.15625,-0.09505719447998431,-0.18847941433644003,-0.010255281167145152,0.09364374314318,0.056031059498514266,0.13422475547120036,64
cfg_high,8,cfg_radius,0.140625,0.0625,0.234375,0.125,0.046875,0.203125,0.1179923622642629,0.07081505332659696,0.15977732827720667,0.06632998521195715,0.020756481514047468,0.10976469401745212,64
cfg_high,8,cycle_radius,0.046875,-0.03125,0.125,0.0,0.0,0.0,-0.2424171383689036,-0.32097833482546906,-0.16970899040791682,-0.08855325657240144,-0.13758224446987324,-0.040481820272117414,64
cfg_high,8,fsg_capped,0.140625,0.0625,0.234375,0.109375,0.03125,0.1875,0.14192888539641024,0.10914272311508813,0.1753488211878665,0.021280749676549686,-0.01767430599049341,0.058826625518425935,64
cfg_high,8,fsg_radius,0.140625,0.0625,0.234375,0.109375,0.03125,0.1875,0.1419288868380566,0.10914272757267539,0.17534882802725213,0.0212807545292997,-0.017674257143413946,0.058826619925819223,64
cfg_high,8,full_inverse_capped,0.03125,0.0,0.09375,0.15625,0.03125,0.28125,0.20051901637823719,0.17312231417543703,0.22921309962438127,0.009038601595286074,-0.016834942758266646,0.03546527699026728,32
cfg_high,8,full_inverse_oracle,0.5625,0.375,0.71875,0.625,0.4375,0.78125,0.9987855935393325,0.9981051211280323,0.9993649149694995,0.19744085845119147,0.12730283102340392,0.26880513756109237,32
cfg_high,8,guided_write_fit,0.046875,0.0,0.109375,0.03125,0.0,0.078125,0.14590431109799773,0.12457893165657587,0.1699297830287619,0.013810931186187486,-0.014184031977188042,0.038344305419932924,64
cfg_high,8,guided_write_radius,0.125,0.03125,0.21875,0.15625,0.078125,0.25,0.15060187751832677,0.108434326703633,0.1898118056682334,0.09350067714225908,0.0527351897892103,0.13552620925948947,64
cfg_high,8,local_fit,0.015625,0.0,0.046875,0.0,0.0,0.0,0.007231378800570785,-0.01185767099433305,0.027052348582961485,0.019110419326113404,0.002058217375618335,0.03843851059412613,64
cfg_high,8,local_radius,0.078125,0.015625,0.15625,0.046875,-0.015625,0.125,-0.15343628507590654,-0.2383474454137282,-0.07042771151677929,0.024377386608833703,-0.018547254780723384,0.06566233860118315,64
cfg_high,8,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
cfg_high,8,write_fit,0.0625,0.015625,0.125,0.0625,0.015625,0.125,0.16276863746711473,0.1401453893834987,0.18663826191828709,0.03158046147779388,0.004107743099748329,0.056314667662558854,64
cfg_high,8,write_radius,0.140625,0.046875,0.25,0.15625,0.078125,0.25,0.11281125892967499,0.06408535123952569,0.1569686118822795,0.09627308884424746,0.05409826958801462,0.13974936435351934,64
cfg_high,24,agreement_fit,0.015625,0.0,0.046875,0.0,0.0,0.0,0.04670490073207852,0.015611292080137453,0.07849326569378186,0.05688247547012643,0.046659556262379304,0.06834425512360091,64
cfg_high,24,agreement_radius,0.0,-0.078125,0.078125,0.03125,0.0,0.078125,-0.08155941268788877,-0.17001333798672819,0.0031586133186993176,0.08462627253284077,0.06466942765030119,0.10537371149094472,64
cfg_high,24,cfg_radius,0.0625,0.0,0.140625,0.046875,0.0,0.109375,0.2907871202212775,0.26368675895851146,0.31582257289678256,0.0824255590791103,0.05997277080745132,0.10569049885548562,64
cfg_high,24,cycle_radius,0.015625,-0.03125,0.0625,0.0,-0.078125,0.078125,-0.26941667115163515,-0.331609999627248,-0.21620178816135963,-0.04002637919795593,-0.0657496637415063,-0.014835517960608106,64
cfg_high,24,fsg_capped,0.046875,0.0,0.109375,0.03125,0.0,0.078125,0.237741465669556,0.2054106313142075,0.2668646908127066,0.0328234119491723,0.014245824932640122,0.05052617553735026,64
cfg_high,24,fsg_radius,0.046875,0.0,0.109375,0.03125,0.0,0.078125,0.2377414282091844,0.2054106100186699,0.26686467091678756,0.03282337197810766,0.014245794117798617,0.050526105304159685,64
cfg_high,24,full_inverse_capped,0.09375,0.0,0.21875,0.0,0.0,0.0,0.34419850974928934,0.30813808256685177,0.37972433579159565,0.024979505958464914,0.01038645348176372,0.04021674647693886,32
cfg_high,24,full_inverse_oracle,0.21875,0.09375,0.375,0.0625,0.0,0.15625,0.9978076597822134,0.9958346795287258,0.9993442975559969,0.10749769415727463,0.082040844804733,0.13537589371824554,32
cfg_high,24,guided_write_fit,0.0625,0.015625,0.125,0.03125,0.0,0.078125,0.317229184053657,0.2970483809102451,0.3381011440417337,0.04647676951802451,0.02826477018413763,0.06522029805910887,64
cfg_high,24,guided_write_radius,0.0625,0.0,0.140625,0.046875,0.0,0.109375,0.27078893815000177,0.23951981094804506,0.3004756933023065,0.08945575653591238,0.06733451007722967,0.11241345259412651,64
cfg_high,24,local_fit,0.046875,-0.015625,0.125,-0.03125,-0.078125,0.0,0.026964859412393113,-0.019258679916987653,0.07105400915395714,0.017016654826594285,0.004663571342830565,0.0287291682457432,64
cfg_high,24,local_radius,0.015625,-0.078125,0.109375,0.0,-0.078125,0.078125,-0.074457413209854,-0.1786544739108103,0.024445149895222916,0.04156181731979758,0.013730067310588016,0.06823614376044403,64
cfg_high,24,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
cfg_high,24,write_fit,0.078125,0.015625,0.140625,0.03125,0.0,0.078125,0.35064700201844234,0.33165889167470275,0.3697038840715076,0.05892314840431223,0.03862094286923012,0.07994390073453603,64
cfg_high,24,write_radius,0.0625,0.0,0.140625,0.046875,0.0,0.109375,0.22653930977255707,0.19366990315833976,0.25774995528588357,0.09065375140245999,0.06777684509634588,0.11520082012136204,64
cfg_high,40,agreement_fit,0.0,0.0,0.0,0.0,0.0,0.0,0.05940619919613611,0.005465562297511552,0.11376665476080518,0.027350755329630064,0.022401097477546594,0.03310212843253782,64
cfg_high,40,agreement_radius,0.0,0.0,0.0,-0.015625,-0.046875,0.0,-0.016225984387759775,-0.11087379621373726,0.07465172844010003,0.03491535934545137,0.028192904127524725,0.04268169656018829,64
cfg_high,40,cfg_radius,0.0,0.0,0.0,0.0,0.0,0.0,0.35576457050634924,0.3410902792269109,0.3700943380089492,0.024180473531580697,0.0044573135558455225,0.03841911915434916,64
cfg_high,40,cycle_radius,-0.015625,-0.046875,0.0,0.0,0.0,0.0,-0.5373107865611149,-0.5745986168680579,-0.5025791791650095,-0.014019169233158726,-0.030946086232541394,-0.0021394844145326774,64
cfg_high,40,fsg_capped,0.0,0.0,0.0,0.0,0.0,0.0,0.0716570467738335,0.037919943752543574,0.10440753205586685,0.011012141907290267,0.0022656374648898593,0.018219947485332417,64
cfg_high,40,fsg_radius,0.0,0.0,0.0,0.0,0.0,0.0,0.07165707313231898,0.0379200002216373,0.10440752405055173,0.011012201494923796,0.0022657064130313788,0.018219916222527287,64
cfg_high,40,full_inverse_capped,0.0,0.0,0.0,0.0,0.0,0.0,0.5562692398176075,0.505998760716444,0.6025381122544009,0.01901028439734114,0.010142952730398063,0.027596309577709383,32
cfg_high,40,full_inverse_oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.9914274751138039,0.9808782632434729,0.9983694335150767,0.018518510016936624,-0.017795048425389988,0.04315064617364773,32
cfg_high,40,guided_write_fit,0.0,0.0,0.0,0.0,0.0,0.0,0.3928168606740182,0.38260028161708887,0.4031531781024419,0.021529568737447824,0.0023530562535373865,0.03466928513376407,64
cfg_high,40,guided_write_radius,0.0,0.0,0.0,0.0,0.0,0.0,0.28279246434710403,0.2564870610769188,0.307453233429283,0.02471768300203171,0.004395148940938859,0.0394333252192687,64
