base,k,horizon,variant,amount,displacement_rms,desired_rms,direction_cos_cfg,local_cfg_limit_error,jacobian_target_relative_error,finite_target_relative_error,linearization_relative_error,finite_difference_relative_disagreement,response_target_cosine,best_linear_ray_relative_error,achieved_progress_fraction,native_euler_relative_difference,flow_same_field_relative_error,inverse_resolution_relative_error,conditional_resolution_relative_error,n
cfg_high,8,0.0009765625,short_limit,2.75,,,0.9999525304883718,0.009734616673085839,,,,,,,,,,,,32
cfg_high,8,0.00390625,short_limit,2.75,,,0.9992504362016916,0.03861068020341918,,,,,,,,,,,,32
cfg_high,8,0.03125,capped_cfg_equal,2.75,0.01181256263225805,0.014041303104022518,0.9999999944120646,0.12099419633159414,0.2837956640869379,0.2771649854257703,0.022811373681179248,0.00013839798862136377,0.958350159227848,0.2717989422380924,0.908304626122117,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,euler_capped,2.75,0.01181256257405039,0.014041303104022518,0.9695105738937855,0.2578000414650887,0.271506458055228,0.2648689434863627,0.019613415941421408,0.00011005943656527961,0.9630356151610613,0.2586112851276994,0.8947931993752718,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,euler_cfg_equal,2.75,0.01181256263225805,0.014041303104022518,0.9999999944120646,0.12099419633159414,0.2837956640869379,0.2771649854257703,0.022811373681179248,0.00013839798862136377,0.958350159227848,0.2717989422380924,0.908304626122117,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,euler_debiased,2.75,0.012068749289028347,0.014041303104022518,0.9952758867293596,0.13866887206677347,0.25260965898633003,0.2449990725144744,0.020444691377633717,0.00011709375110058318,0.9675029311329126,0.24218902317807078,0.9204864893108606,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,euler_fsg,2.75,0.01181256257405039,0.014041303104022518,0.9695105738937855,0.2578000414650887,0.271506458055228,0.2648689434863627,0.019613415941421408,0.00011005943656527961,0.9630356151610613,0.2586112851276994,0.8947931993752718,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,flow_capped,2.75,0.012849817358073778,0.014041303104022518,0.9614648316055536,0.28043642546981573,0.02155749997473322,1.1912670082381283e-05,0.02155762629263336,0.00010093805065025663,0.9996316079050303,0.017884400054754224,1.000000774860382,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,flow_cfg_equal,2.75,0.012849817387177609,0.014041303104022518,0.9999999925494194,0.07765947601001244,0.27921626390889287,0.2729140305891633,0.024670459657500032,0.00013838620316164452,0.9583501666784286,0.2717989180237055,0.9853369612246752,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,flow_inverse,2.75,0.012849817358073778,0.014041303104022518,0.9614648316055536,0.28043642546981573,0.02155749997473322,1.1912670082381283e-05,0.02155762629263336,0.00010093805065025663,0.9996316079050303,0.017884400054754224,1.000000774860382,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,resolution,2.75,,,,,,,,,,,,,,0.0006034742655174341,0.0006110234680818394,32
cfg_high,8,0.03125,same_field_euler,2.75,0.0021313505858415738,0.014041303104022518,-0.23666435353516135,1.0547057148069143,1.0462092496454716,1.0462449695914984,0.005619502427180123,0.00022766649146888085,-0.1461495606781682,0.9959173854440451,-0.02464185188182455,0.002809266617987305,9.923528370592294e-06,,,32
cfg_high,8,0.03125,same_field_flow,2.75,1.2047149555716175e-07,0.014041303104022518,0.018308435755898245,0.999999413266778,1.0000000838190317,1.0000000968575478,0.31187741784378886,0.00027984145265236293,-0.04106592500465922,0.9960201364010572,-8.918862026696672e-08,0.002809266617987305,9.923528370592294e-06,,,32
