method,k,gap_rms,clean_gap_rms,noise_gap_rms,modified_rms,correction_rms,sign_disagreement,guidance_flip_fraction,n
cfg_high,0,0.14483505165204405,0.14483505165204405,0.0,0.14483505165204405,0.0,0.0,0.0,200
cfg_high,1,0.14822659324854612,0.14591055277734996,0.002316040519508533,0.14822659324854612,0.0,0.0,0.0,200
cfg_high,2,0.145403554700315,0.14085969327017664,0.0045438610843848435,0.145403554700315,0.0,0.0,0.0,200
cfg_high,3,0.136265075057745,0.12987764991819858,0.006387425374705344,0.136265075057745,0.0,0.0,0.0,200
cfg_high,4,0.12843469344079494,0.12040752528235316,0.008027168340049684,0.12843469344079494,0.0,0.0,0.0,200
cfg_high,5,0.12189968951046466,0.11237627660855651,0.009523413269780576,0.12189968951046466,0.0,0.0,0.0,200
cfg_high,6,0.11638636467978358,0.10547514338046313,0.010911221702117472,0.11638636467978358,0.0,0.0,0.0,200
cfg_high,7,0.11278216218575836,0.10044661317020655,0.012335549001581967,0.11278216218575836,0.0,0.0,0.0,200
cfg_high,8,0.11100411197170615,0.09712859831750392,0.013875513996463269,0.11100411197170615,0.0,0.0,0.0,200
cfg_high,9,0.10945147782564163,0.09405986396595836,0.015391614085529,0.10945147782564163,0.0,0.0,0.0,200
cfg_high,10,0.10858598705381155,0.09161942664533854,0.016966560506261885,0.10858598705381155,0.0,0.0,0.0,200
cfg_high,11,0.10850835110992194,0.08985847832635045,0.01864987282315269,0.10850835110992194,0.0,0.0,0.0,200
cfg_high,12,0.10831167884171009,0.08800323883071542,0.020308439759537576,0.10831167884171009,0.0,0.0,0.0,200
cfg_high,13,0.10839916488155722,0.08638058466836811,0.022018580324947835,0.10839916488155722,0.0,0.0,0.0,200
cfg_high,14,0.10820613197982311,0.08453604036942125,0.023670091386884452,0.10820613197982311,0.0,0.0,0.0,200
cfg_high,15,0.10780353000387549,0.08253707751631736,0.025266452329233288,0.10780353000387549,0.0,0.0,0.0,200
cfg_high,16,0.10745001899078488,0.08058751421049237,0.02686250474769622,0.10745001899078488,0.0,0.0,0.0,200
cfg_high,17,0.10742092806845903,0.07888724397867918,0.028533684127032756,0.10742092806845903,0.0,0.0,0.0,200
cfg_high,18,0.1071856770850718,0.07703970536589623,0.030145971700549126,0.1071856770850718,0.0,0.0,0.0,200
cfg_high,19,0.10670656463131309,0.07502805337309837,0.0316785113979131,0.10670656463131309,0.0,0.0,0.0,200
cfg_high,20,0.10619351480156183,0.07300804134458304,0.03318547337315977,0.10619351480156183,0.0,0.0,0.0,200
cfg_high,21,0.10564989548176527,0.07098352367058397,0.034666371941566465,0.10564989548176527,0.0,0.0,0.0,200
cfg_high,22,0.10506020594388246,0.06894576020538806,0.036114445850253106,0.10506020594388246,0.0,0.0,0.0,200
