base,k,variant,amount,shift_rms,radius_rms,local_gap_rms,write_rms,agreement_rms,guided_write_rms,conditional_drift_rms,null_change_rms,direction_cos_cfg,coarse_reference_c_error,coarse_reference_u_error,c_resnet_p,c_resnet_top1,c_resnet_prediction,c_convnext_p,c_convnext_top1,c_convnext_prediction,u_resnet_p,u_resnet_top1,u_resnet_prediction,u_convnext_p,u_convnext_top1,u_convnext_prediction,reference_c_resnet_p,reference_c_resnet_top1,reference_c_resnet_prediction,reference_c_convnext_p,reference_c_convnext_top1,reference_c_convnext_prediction,reference_guided_resnet_p,reference_guided_resnet_top1,reference_guided_resnet_prediction,reference_guided_convnext_p,reference_guided_convnext_top1,reference_guided_convnext_prediction,write_rms_before,agreement_rms_before,local_gap_rms_before,guided_write_rms_before,conditional_drift_rms_before,u_resnet_p_before,u_resnet_top1_before,u_convnext_p_before,u_convnext_top1_before,c_resnet_p_before,c_resnet_top1_before,c_convnext_p_before,c_convnext_top1_before,delta_write_rms,reduction_write_rms,delta_agreement_rms,reduction_agreement_rms,delta_local_gap_rms,reduction_local_gap_rms,delta_guided_write_rms,reduction_guided_write_rms,delta_conditional_drift_rms,delta_u_resnet_p,delta_u_resnet_top1,delta_u_convnext_p,delta_u_convnext_top1,delta_c_resnet_p,delta_c_resnet_top1,delta_c_convnext_p,delta_c_convnext_top1,n
cfg_high,8,agreement_fit,2.75,0.017775264128431445,0.019426484825089574,0.11155114759458229,0.2214060490950942,0.21794751193374395,0.47109070187434554,0.03693320392630994,0.04527996544493362,0.0749258831347106,0.01013053461429081,0.0140621667560481,0.4818701797009908,0.609375,448.03125,0.3984864100534651,0.640625,436.109375,0.09741298913647678,0.109375,433.640625,0.051712576777390495,0.0625,479.40625,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.009577393648214638,0.039465808858630685,-0.013035930809564888,0.05457282323450359,-0.0014756731688976288,0.013086474229141384,-0.005741797853261232,0.012172943282008094,0.03693320392630994,0.015387520445754754,0.015625,0.005394625683720733,0.0,0.008425795672110326,0.015625,-0.010661353679097374,0.03125,64
cfg_high,8,agreement_radius,2.75,0.019426484759605955,0.019426484825089574,0.10446277924347669,0.24866264243610203,0.20556024683173746,0.4743508151732385,0.15758565979194827,0.20965184172382578,0.3000684048747644,0.01013053461429081,0.0140621667560481,0.4611559292502534,0.609375,447.25,0.39390918383742246,0.59375,438.59375,0.12132907654274394,0.171875,410.703125,0.0943102439738368,0.140625,413.796875,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,0.01767919969279319,-0.0950571944799843,-0.025423195911571383,0.09364374314317998,-0.00856404152000323,0.050089471987030613,-0.0024816845543682575,0.0062232124840335724,0.15758565979194827,0.039303607852021916,0.078125,0.04799229288016704,0.078125,-0.012288454778627056,0.015625,-0.015238579895139992,-0.015625,64
cfg_high,8,cfg_radius,2.75,0.019426484490395524,0.019426484825089574,0.10377531824633479,0.19785034016240388,0.20942429441493005,0.4249971844255924,0.1527880840585567,0.20979878993239254,0.9999999962747097,0.01013053461429081,0.0140621667560481,0.5328253619882162,0.625,455.5,0.4575032371958514,0.6875,437.859375,0.17957150897520702,0.234375,425.96875,0.12366931247458979,0.1875,442.40625,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.03313310258090496,0.1179923622642629,-0.021559148328378797,0.06632998521195715,-0.009251502517145127,0.060092110856630604,-0.05183531530201435,0.10385456690620515,0.1527880840585567,0.09754604028448499,0.140625,0.07735136138092003,0.125,0.05938097795933572,0.03125,0.048355473463288945,0.078125,64
cfg_high,8,cycle_radius,2.75,0.019426484846917447,0.019426484825089574,0.10963484027888626,0.28598010109271854,0.25016704527661204,0.48575515020638704,0.16136474409722723,0.21267409407300875,-0.2059637875026965,0.01013053461429081,0.0140621667560481,0.5012071723267582,0.640625,442.578125,0.40502526985437726,0.640625,450.71875,0.05801060181658002,0.140625,473.328125,0.030702357648749512,0.0625,453.25,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,0.0549966583494097,-0.2424171383689036,0.0191836025333032,-0.08855325657240144,-0.0033919804845936596,0.013586641100586608,0.00892265047878027,-0.016243596674189016,0.16136474409722723,-0.024014866874142005,0.046875,-0.01561559344492025,0.0,0.027762788297877705,0.046875,-0.004122493878185196,0.03125,64
cfg_high,8,fsg_capped,2.75,0.019426484795985743,0.019426484825089574,0.10479931853478774,0.19451166281942278,0.2220759579213336,0.4285321575589478,0.13662215060321614,0.15735665286774747,0.6929063913412392,0.01013053461429081,0.0140621667560481,0.5556680354411583,0.6875,443.140625,0.46552813784364844,0.671875,444.734375,0.13933663682520603,0.234375,422.71875,0.09452432320745174,0.171875,438.78125,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.03647177992388606,0.14192888539641027,-0.008907484821975231,0.021280749676549686,-0.008227502228692174,0.052655703605311556,-0.04830034216865897,0.09666585335815021,0.13662215060321614,0.057311168134484,0.140625,0.04820637211378198,0.109375,0.08222365141227783,0.09375,0.056380374111085985,0.0625,64
cfg_high,8,fsg_radius,2.75,0.019426484941504896,0.019426484825089574,0.10479932435555384,0.19451166177168489,0.22207595664076507,0.4285321570932865,0.13662214565556496,0.15735665525426157,0.6929063838906586,0.01013053461429081,0.0140621667560481,0.5558160870687061,0.6875,443.140625,0.4652782598059275,0.671875,444.734375,0.13966402229091557,0.234375,428.84375,0.09447644821767653,0.171875,436.53125,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.03647178097162396,0.1419288868380566,-0.008907486102543771,0.0212807545292997,-0.008227496407926083,0.05265567717849662,-0.04830034263432026,0.09666585270917354,0.13662214565556496,0.05763855360019354,0.140625,0.04815849712400677,0.109375,0.08237170303982566,0.09375,0.056130496073365066,0.0625,64
cfg_high,8,full_inverse_capped,2.75,0.01996884460095316,0.019968844862887636,0.11887861543800682,0.18885651812888682,0.23123799776658416,0.44777361303567886,0.0644303672015667,0.06784687109757215,0.24222757341340184,0.009629404012230225,0.014365407456352841,0.5742182208850863,0.71875,440.65625,0.5148438318501576,0.71875,460.53125,0.10356563349672143,0.09375,407.34375,0.08013235724047263,0.1875,458.0,0.4639931074289052,0.625,484.4375,0.45274211670857767,0.65625,464.40625,0.8416737243533134,0.90625,443.15625,0.7045609414635692,0.84375,460.65625,0.23635909520089626,0.23635909520089626,0.11618237057700753,0.48113629315048456,0.0,0.06445554480127402,0.0625,0.028491418605881336,0.03125,0.4639931074289052,0.625,0.45274211670857767,0.65625,-0.047502577072009444,0.20051901637823719,-0.005121097434312105,0.009038601595286074,0.002696244860999286,-0.015380314099889984,-0.0333626801148057,0.06667038255123782,0.0644303672015667,0.03911008869544741,0.03125,0.051640938634591294,0.15625,0.11022511345618113,0.09375,0.062101715141579916,0.0625,32
cfg_high,8,full_inverse_oracle,2.75,0.07797306857537478,0.019968844862887636,0.12465810484718531,0.0002845571734155783,0.1803119897376746,0.35665039205923676,0.18031680257990956,0.23638632358051836,0.24222757248207927,0.009629404012230225,0.014365407456352841,0.7249526876039454,0.875,428.5,0.6134765347815119,0.75,450.65625,0.464033945121173,0.625,484.4375,0.45275543455773004,0.65625,464.40625,0.4639931074289052,0.625,484.4375,0.45274211670857767,0.65625,464.40625,0.8416737243533134,0.90625,443.15625,0.7045609414635692,0.84375,460.65625,0.23635909520089626,0.23635909520089626,0.11618237057700753,0.48113629315048456,0.0,0.06445554480127402,0.0625,0.028491418605881336,0.03125,0.4639931074289052,0.625,0.45274211670857767,0.65625,-0.23607453802748068,0.9987855935393324,-0.05604710546322167,0.19744085845119147,0.008475734270177782,-0.07299356252514305,-0.1244859010912478,0.2545534577097294,0.18031680257990956,0.399578400319899,0.5625,0.4242640159518487,0.625,0.2609595801750402,0.25,0.1607344180729342,0.09375,32
cfg_high,8,guided_write_fit,2.75,0.019426060360274278,0.019426484825089574,0.11092642758740112,0.19694555271416903,0.226302130962722,0.44532610895112157,0.08712236733117606,0.08780276206380222,0.40877960878424346,0.01013053461429081,0.0140621667560481,0.5099168651167929,0.671875,439.875,0.4487634666197664,0.6875,440.90625,0.11973613366655034,0.140625,456.71875,0.0650902444174335,0.09375,468.21875,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.03403789002913982,0.14590431109799773,-0.004681311780586839,0.013810931186187486,-0.0021003931760787964,0.01887327220550639,-0.031506390776485205,0.06565646918099388,0.08712236733117606,0.03771066497582831,0.046875,0.018772293323763733,0.03125,0.036472481087912456,0.078125,0.03961570288720395,0.078125,64
cfg_high,8,guided_write_radius,2.75,0.019426484934228938,0.019426484825089574,0.10439360176678747,0.19203987158834934,0.20393589814193547,0.4204725259914994,0.15002965973690152,0.20399765437468886,0.9063501534401439,0.01013053461429081,0.0140621667560481,0.5331322997517418,0.640625,456.375,0.4641527399317056,0.703125,436.9375,0.15976986040810992,0.21875,416.609375,0.1243288959004758,0.21875,445.71875,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.0389435711549595,0.15060187751832677,-0.027047544601373374,0.09350067714225907,-0.008633218996692449,0.05432780199487992,-0.05635997373610735,0.11413600184402573,0.15002965973690152,0.0777443917173879,0.125,0.07801094480680604,0.15625,0.05968791572286136,0.046875,0.05500497619914313,0.09375,64
