base,index,amount,w,k,horizon,variant,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,finite_error_flow_target,finite_error_own_euler_target,linear_error_flow_target,linear_error_own_euler_target,fd_epsilon_vs_double,flow_vs_euler_target_difference,autograd_vs_finite_relative_error,autograd_vs_finite_cosine
cfg_tuned,0,1.25,2.25,24,0.03125,euler_fsg,0.005984422285109758,2.285768985748291,1.015897274017334,0.2557279169559479,0.1255127340555191,0.25650498270988464,0.12613564729690552,0.00014061476394999772,0.14902400970458984,6.342546112136915e-05,1.0000001192092896
cfg_tuned,0,1.25,2.25,24,0.03125,cfg_equal,0.005984422750771046,2.28576922416687,1.0158973932266235,0.1285504847764969,0.13439135253429413,0.12958984076976776,0.13447484374046326,0.00015690954751335084,0.14902400970458984,7.070913852658123e-05,1.0
cfg_tuned,0,1.25,2.25,24,0.03125,cfg_first_order,0.005890775006264448,2.25,1.0,0.12544868886470795,0.1305612176656723,0.12651751935482025,0.13068176805973053,0.0001565860293339938,0.14902400970458984,,
cfg_tuned,0,1.25,2.25,24,0.03125,flow_inverse,0.005891421809792519,2.250247001647949,1.0001097917556763,3.824693976639537e-06,0.14993613958358765,0.0038695354014635086,0.14926502108573914,0.0001541336387163028,0.14902400970458984,,
cfg_tuned,0,1.25,2.25,24,0.03125,inverse_euler_target,0.005837905220687389,2.2298061847686768,0.9910249710083008,0.14902432262897491,3.800720378421829e-06,0.14983230829238892,0.00400393595919013,0.00015316538338083774,0.14902400970458984,,
cfg_tuned,0,1.25,2.25,24,0.03125,capped_euler,0.005984422285109758,2.285768985748291,1.015897274017334,0.2557279169559479,0.1255127340555191,0.25650498270988464,0.12613564729690552,0.00014061476394999772,0.14902400970458984,,
cfg_tuned,0,1.25,2.25,24,0.03125,capped_cfg,0.005984422750771046,2.28576922416687,1.0158973932266235,0.1285504847764969,0.13439135253429413,0.12958984076976776,0.13447484374046326,0.00015690954751335084,0.14902400970458984,,
cfg_tuned,0,1.25,2.25,24,0.125,euler_fsg,0.0312964953482151,2.9884488582611084,1.3281993865966797,1.0910522937774658,0.5377671122550964,1.1000653505325317,0.5438212156295776,0.0005839366931468248,0.569542646408081,0.0003630580904427916,0.9999998211860657
cfg_tuned,0,1.25,2.25,24,0.125,cfg_equal,0.0312964990735054,2.9884490966796875,1.3281995058059692,0.7093205451965332,0.6704481840133667,0.7653682827949524,0.7063247561454773,0.0013384770136326551,0.569542646408081,0.0008706512744538486,0.9999995827674866
cfg_tuned,0,1.25,2.25,24,0.125,cfg_first_order,0.023563100025057793,2.25,1.0,0.4754619896411896,0.4884736239910126,0.5079426765441895,0.5044716596603394,0.001339204260148108,0.569542646408081,,
cfg_tuned,0,1.25,2.25,24,0.125,flow_inverse,0.02345597930252552,2.2397713661193848,0.9954538941383362,0.00013314893294591457,0.5269625782966614,0.052478451281785965,0.5183133482933044,0.0008574245148338377,0.569542646408081,,
cfg_tuned,0,1.25,2.25,24,0.125,inverse_euler_target,0.02467310056090355,2.355992078781128,1.0471075773239136,0.5695492625236511,0.00010363511682953686,0.5859264135360718,0.06179196015000343,0.0007842425839044154,0.569542646408081,,
cfg_tuned,0,1.25,2.25,24,0.125,capped_euler,0.006545304786413908,0.6249999403953552,0.2777777314186096,0.8437029719352722,0.754326343536377,0.8436107635498047,0.7538329362869263,0.0005862595280632377,0.569542646408081,,
cfg_tuned,0,1.25,2.25,24,0.125,capped_cfg,0.006545305252075195,0.625,0.277777761220932,0.7273533940315247,0.752916693687439,0.7286739349365234,0.7535452246665955,0.0013390295207500458,0.569542646408081,,
cfg_tuned,3,1.25,2.25,24,0.03125,euler_fsg,0.007083623670041561,2.1386795043945312,0.9505242109298706,0.19154086709022522,0.09604769200086594,0.19258429110050201,0.09639084339141846,5.4834948969073594e-05,0.11174768209457397,3.889343861374073e-05,1.0
cfg_tuned,3,1.25,2.25,24,0.03125,cfg_equal,0.007083623670041561,2.1386795043945312,0.9505242109298706,0.09167478233575821,0.10049033164978027,0.09378807246685028,0.10004127025604248,5.8387056924402714e-05,0.11174768209457397,3.958196612074971e-05,1.0
cfg_tuned,3,1.25,2.25,24,0.03125,cfg_first_order,0.007452333811670542,2.25,1.0,0.10506576299667358,0.11742786318063736,0.10588044673204422,0.11584410816431046,5.8250971051165834e-05,0.11174768209457397,,
cfg_tuned,3,1.25,2.25,24,0.03125,flow_inverse,0.0071486420929431915,2.1583096981048584,0.9592487812042236,3.147051984342397e-06,0.1127091720700264,0.0075098685920238495,0.11019343882799149,6.477424904005602e-05,0.11174768209457397,,
cfg_tuned,3,1.25,2.25,24,0.03125,inverse_euler_target,0.007094062864780426,2.141831159591675,0.9519249796867371,0.11174824088811874,3.0500395951094106e-06,0.11363960802555084,0.006107142195105553,5.341759242583066e-05,0.11174768209457397,,
cfg_tuned,3,1.25,2.25,24,0.03125,capped_euler,0.007083623670041561,2.1386795043945312,0.9505242109298706,0.19154086709022522,0.09604769200086594,0.19258429110050201,0.09639084339141846,5.4834948969073594e-05,0.11174768209457397,,
cfg_tuned,3,1.25,2.25,24,0.03125,capped_cfg,0.007083623670041561,2.1386795043945312,0.9505242109298706,0.09167478233575821,0.10049033164978027,0.09378807246685028,0.10004127025604248,5.8387056924402714e-05,0.11174768209457397,,
cfg_tuned,3,1.25,2.25,24,0.125,euler_fsg,0.029393868520855904,2.2186405658721924,0.9860625267028809,0.9115575551986694,0.5095506310462952,0.9283749461174011,0.5298401713371277,9.768164454726502e-05,0.46365347504615784,4.5763914386043325e-05,0.9999998807907104
cfg_tuned,3,1.25,2.25,24,0.125,cfg_equal,0.029393868520855904,2.2186405658721924,0.9860625267028809,0.4173879623413086,0.5768300294876099,0.4486567974090576,0.517660915851593,0.0005417824140749872,0.46365347504615784,0.00018218618060927838,1.0
cfg_tuned,3,1.25,2.25,24,0.125,cfg_first_order,0.029809335246682167,2.25,1.0,0.42991015315055847,0.5884765982627869,0.4592987596988678,0.5284485816955566,0.000540911394637078,0.46365347504615784,,
cfg_tuned,3,1.25,2.25,24,0.125,flow_inverse,0.0244140587747097,1.8427660465240479,0.819007158279419,0.00040516990702599287,0.4713085889816284,0.18016532063484192,0.40774887800216675,0.0006074437405914068,0.46365347504615784,,
cfg_tuned,3,1.25,2.25,24,0.125,inverse_euler_target,0.025711597874760628,1.9407039880752563,0.8625351190567017,0.46366414427757263,8.145931496983394e-05,0.49251124262809753,0.07930659502744675,0.00013643820420838892,0.46365347504615784,,
cfg_tuned,3,1.25,2.25,24,0.125,capped_euler,0.008280371315777302,0.625,0.2777777910232544,0.8453024625778198,0.7371795773506165,0.8474493622779846,0.7393084168434143,9.86785234999843e-05,0.46365347504615784,,
cfg_tuned,3,1.25,2.25,24,0.125,capped_cfg,0.008280371315777302,0.625,0.2777777910232544,0.6812947392463684,0.6938657760620117,0.6922764778137207,0.6988816857337952,0.0005413161707110703,0.46365347504615784,,
