capped,target,horizon,n_independent_noises,mean_fsg_minus_cfg,bootstrap95_low,bootstrap95_high
False,finite_error_flow_target,0.03125,32,0.08538274893847604,0.06440642672532704,0.10749141114938539
False,finite_error_flow_target,0.0625,32,0.1787928327297171,0.14233202893519775,0.21757408509147355
False,finite_error_flow_target,0.125,32,0.3102562124840915,0.2604893167309153,0.3619256347883492
False,finite_error_flow_target,0.25,32,0.3829083740711212,0.3241491110684971,0.4467553890543058
False,finite_error_own_euler_target,0.03125,32,-0.018841578857973218,-0.02235781345904494,-0.01534533544278626
False,finite_error_own_euler_target,0.0625,32,-0.032702689835180834,-0.03935309109801892,-0.02568444462279634
False,finite_error_own_euler_target,0.125,32,-0.11444362121013305,-0.13899175702827052,-0.08948898630721186
False,finite_error_own_euler_target,0.25,32,-0.3739457779253523,-0.43691171997149164,-0.31131924362465124
True,finite_error_flow_target,0.03125,32,0.08544068519646923,0.06440642672532704,0.10759166910817537
True,finite_error_flow_target,0.0625,32,0.12008099226901928,0.09440990881218264,0.14742668327720213
True,finite_error_flow_target,0.125,32,0.14271373860538006,0.12035158081756284,0.1654195910009245
True,finite_error_flow_target,0.25,32,0.14465912152081728,0.1296317587528999,0.16003062239227192
True,finite_error_own_euler_target,0.03125,32,-0.01884984294883907,-0.022366077549910792,-0.015367132370010955
True,finite_error_own_euler_target,0.0625,32,0.0019148944411426785,-0.0021085008319156866,0.006138512234125892
True,finite_error_own_euler_target,0.125,32,0.02179145130018393,0.012272967747412622,0.031304753459213915
True,finite_error_own_euler_target,0.25,32,0.00911083724349737,-0.0011438079023112862,0.019660697046977756
