start,base,amount,w,k,horizon,variant,index,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,direction_cos_cfg,finite_error_flow_target,finite_error_own_euler_target,flow_vs_euler_target_relative_difference
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,0,0.004926387686282396,1.9702636003494263,0.8756726980209351,0.9613664746284485,0.25177574157714844,0.1259845346212387,0.1569015085697174
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,1,0.00666829152032733,1.9406622648239136,0.8625165820121765,0.9747517704963684,0.1965096890926361,0.08742186427116394,0.142965629696846
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,2,0.0034636736381798983,1.6169997453689575,0.7186664938926697,0.9212844967842102,0.3495822250843048,0.21349549293518066,0.17063014209270477
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,3,0.005559720564633608,2.092092990875244,0.9298191666603088,0.9447623491287231,0.3285575211048126,0.1790134608745575,0.20619040727615356
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,4,0.004372995346784592,2.181648015975952,0.9696213603019714,0.9299986362457275,0.4059823453426361,0.2054138332605362,0.2515377104282379
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,5,0.007924724370241165,2.289177894592285,1.0174124240875244,0.9500929117202759,0.4320782721042633,0.24551764130592346,0.1809801459312439
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,6,0.015531332232058048,2.0184431076049805,0.8970858454704285,0.9884582757949829,0.1718558967113495,0.05742929130792618,0.1531960815191269
0,cfg_tuned,1.25,2.25,8,0.03125,euler_fsg,7,0.008038366213440895,2.1678194999694824,0.9634753465652466,0.9530420899391174,0.23243694007396698,0.1819666177034378,0.11641820520162582
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,0,0.004926387686282396,1.9702636003494263,0.8756726980209351,1.0000001192092896,0.17251257598400116,0.14990128576755524,0.1569015085697174
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,1,0.00666829152032733,1.9406622648239136,0.8625165820121765,1.0,0.19929392635822296,0.1476132869720459,0.142965629696846
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,2,0.0034636736381798983,1.6169997453689575,0.7186664938926697,1.0000001192092896,0.19234688580036163,0.20214644074440002,0.17063014209270477
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,3,0.005559720564633608,2.092092990875244,0.9298191666603088,1.0,0.233113095164299,0.18219029903411865,0.20619040727615356
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,4,0.004372995346784592,2.181648015975952,0.9696213603019714,1.000000238418579,0.16545815765857697,0.21485605835914612,0.2515377104282379
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,5,0.007924724370241165,2.289177894592285,1.0174124240875244,1.0,0.3133247494697571,0.23215153813362122,0.1809801459312439
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,6,0.015531332232058048,2.0184431076049805,0.8970858454704285,0.9999999403953552,0.22914814949035645,0.12141135334968567,0.1531960815191269
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_equal,7,0.008038366213440895,2.1678194999694824,0.9634753465652466,1.0000001192092896,0.20684224367141724,0.18157975375652313,0.11641820520162582
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,0,0.004926387686282396,1.9702636003494263,0.8756726980209351,0.9613664746284485,0.25177574157714844,0.1259845346212387,0.1569015085697174
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,1,0.00666829152032733,1.9406622648239136,0.8625165820121765,0.9747517704963684,0.1965096890926361,0.08742186427116394,0.142965629696846
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,2,0.0034636736381798983,1.6169997453689575,0.7186664938926697,0.9212844967842102,0.3495822250843048,0.21349549293518066,0.17063014209270477
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,3,0.005559720564633608,2.092092990875244,0.9298191666603088,0.9447623491287231,0.3285575211048126,0.1790134608745575,0.20619040727615356
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,4,0.004372995346784592,2.181648015975952,0.9696213603019714,0.9299986362457275,0.4059823453426361,0.2054138332605362,0.2515377104282379
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,5,0.007924724370241165,2.289177894592285,1.0174124240875244,0.9500929117202759,0.4320782721042633,0.24551764130592346,0.1809801459312439
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,6,0.015531332232058048,2.0184431076049805,0.8970858454704285,0.9884582757949829,0.1718558967113495,0.05742929130792618,0.1531960815191269
0,cfg_tuned,1.25,2.25,8,0.03125,euler_capped,7,0.008038366213440895,2.1678194999694824,0.9634753465652466,0.9530420899391174,0.23243694007396698,0.1819666177034378,0.11641820520162582
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,0,0.004926387686282396,1.9702636003494263,0.8756726980209351,1.0000001192092896,0.17251257598400116,0.14990128576755524,0.1569015085697174
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,1,0.00666829152032733,1.9406622648239136,0.8625165820121765,1.0,0.19929392635822296,0.1476132869720459,0.142965629696846
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,2,0.0034636736381798983,1.6169997453689575,0.7186664938926697,1.0000001192092896,0.19234688580036163,0.20214644074440002,0.17063014209270477
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,3,0.005559720564633608,2.092092990875244,0.9298191666603088,1.0,0.233113095164299,0.18219029903411865,0.20619040727615356
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,4,0.004372995346784592,2.181648015975952,0.9696213603019714,1.000000238418579,0.16545815765857697,0.21485605835914612,0.2515377104282379
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,5,0.007924724370241165,2.289177894592285,1.0174124240875244,1.0,0.3133247494697571,0.23215153813362122,0.1809801459312439
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,6,0.015531332232058048,2.0184431076049805,0.8970858454704285,0.9999999403953552,0.22914814949035645,0.12141135334968567,0.1531960815191269
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_capped,7,0.008038366213440895,2.1678194999694824,0.9634753465652466,1.0000001192092896,0.20684224367141724,0.18157975375652313,0.11641820520162582
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,0,0.0056258318945765495,2.249999761581421,0.9999999403953552,1.0000001192092896,0.22197383642196655,0.21269012987613678,0.1569015085697174
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,1,0.00773120392113924,2.25,1.0,1.0,0.25386154651641846,0.23491694033145905,0.142965629696846
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,2,0.0048195840790867805,2.25,1.0,1.0,0.28179463744163513,0.38259097933769226,0.17063014209270477
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,3,0.005979356821626425,2.25,1.0,0.9999998807907104,0.2606709897518158,0.21205607056617737,0.20619040727615356
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,4,0.004510003142058849,2.25,1.0,1.0000001192092896,0.1606418788433075,0.2277708798646927,0.2515377104282379
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,5,0.007789097260683775,2.25,1.0,1.0000001192092896,0.29441532492637634,0.21745149791240692,0.1809801459312439
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,6,0.017313094809651375,2.25,1.0,1.0,0.2422618567943573,0.18000856041908264,0.1531960815191269
0,cfg_tuned,1.25,2.25,8,0.03125,cfg_first_order,7,0.00834309495985508,2.25,1.0,1.0,0.21779470145702362,0.19777657091617584,0.11641820520162582
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,0,0.005097545683383942,2.0387165546417236,0.9060962796211243,0.9832479357719421,7.5875332186114974e-06,0.1589433252811432,0.1569015085697174
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,1,0.007040867116302252,2.0490922927856445,0.9107077121734619,0.9779751300811768,7.171785910031758e-06,0.14750564098358154,0.142965629696846
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,2,0.004043965600430965,1.8879063129425049,0.8390694260597229,0.9858868718147278,1.6490064808749594e-05,0.18272665143013,0.17063014209270477
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,3,0.005536394659429789,2.08331561088562,0.9259181022644043,0.9726018309593201,1.2573540516314097e-05,0.2059033364057541,0.20619040727615356
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,4,0.004643424414098263,2.3165626525878906,1.02958345413208,0.9864235520362854,1.0465610102983192e-05,0.27876850962638855,0.2515377104282379
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,5,0.0064557078294456005,1.8648300170898438,0.828813374042511,0.9845653176307678,2.747566031757742e-05,0.16661635041236877,0.1809801459312439
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,6,0.017079701647162437,2.21966814994812,0.9865192770957947,0.9744595289230347,4.620963409251999e-06,0.16312932968139648,0.1531960815191269
0,cfg_tuned,1.25,2.25,8,0.03125,flow_inverse,7,0.008020631037652493,2.163036584854126,0.961349606513977,0.9798248410224915,1.4337944776343647e-05,0.11902882158756256,0.11641820520162582
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,0,0.0050124539993703365,2.0046849250793457,0.8909710645675659,0.9877652525901794,0.15690162777900696,7.452385034412146e-06,0.1569015085697174
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,1,0.006750088185071945,1.9644674062728882,0.8730966448783875,0.9890279769897461,0.14296604692935944,7.3558971962484065e-06,0.142965629696846
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,2,0.003796348348259926,1.772307276725769,0.787692129611969,0.9785273671150208,0.17062664031982422,1.6814650734886527e-05,0.17063014209270477
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,3,0.0054976013489067554,2.0687179565429688,0.9194301962852478,0.9849681258201599,0.20619183778762817,1.2367690942483023e-05,0.20619040727615356
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,4,0.004218850750476122,2.1047468185424805,0.9354429841041565,0.98128741979599,0.2515357434749603,1.1523929060786031e-05,0.2515377104282379
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,5,0.006897827610373497,1.99254310131073,0.8855746984481812,0.9868893623352051,0.1809813529253006,2.360098915232811e-05,0.1809801459312439
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,6,0.015760764479637146,2.048259973526001,0.9103378057479858,0.9933328032493591,0.15319707989692688,4.970844202034641e-06,0.1531960815191269
0,cfg_tuned,1.25,2.25,8,0.03125,own_euler_inverse,7,0.00777580589056015,2.097011089324951,0.932004988193512,0.987125813961029,0.11641761660575867,1.4115265912550967e-05,0.11641820520162582
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,0,0.009488974697887897,1.8975142240524292,0.8433396220207214,0.8353140950202942,0.5010416507720947,0.2776384949684143,0.28860586881637573
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,1,0.0122482655569911,1.7822966575622559,0.7921318411827087,0.9097796678543091,0.4180651307106018,0.17249129712581635,0.3142530024051666
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,2,0.006318246480077505,1.4748218059539795,0.6554763317108154,0.6549543142318726,0.7213612198829651,0.4748578667640686,0.34763196110725403
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,3,0.011329363100230694,2.131589412689209,0.9473730325698853,0.8067027926445007,0.6974726915359497,0.38602662086486816,0.43710845708847046
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,4,0.009282820858061314,2.3155579566955566,1.0291368961334229,0.7738924026489258,0.743401825428009,0.42490723729133606,0.4587348997592926
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,5,0.016533350571990013,2.387955665588379,1.0613136291503906,0.8383038640022278,0.9101895689964294,0.4906350374221802,0.36187058687210083
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,6,0.025939879938960075,1.6855659484863281,0.7491404414176941,0.9525977969169617,0.3118871748447418,0.15852949023246765,0.24540884792804718
0,cfg_tuned,1.25,2.25,8,0.0625,euler_fsg,7,0.015952397137880325,2.1510539054870605,0.9560239315032959,0.8516414761543274,0.48431187868118286,0.3763936161994934,0.22887186706066132
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,0,0.009488974697887897,1.8975142240524292,0.8433396220207214,1.0000001192092896,0.3310231566429138,0.31718119978904724,0.28860586881637573
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,1,0.0122482655569911,1.7822966575622559,0.7921318411827087,1.0,0.38912245631217957,0.27791181206703186,0.3142530024051666
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,2,0.006318246480077505,1.4748218059539795,0.6554763317108154,1.0,0.2945263981819153,0.41624003648757935,0.34763196110725403
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,3,0.011329363100230694,2.131589412689209,0.9473730325698853,1.0,0.511730432510376,0.38639572262763977,0.43710845708847046
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,4,0.009282820858061314,2.3155579566955566,1.0291368961334229,1.0000001192092896,0.2941531538963318,0.4751143455505371,0.4587348997592926
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,5,0.016533350571990013,2.387955665588379,1.0613136291503906,1.0,0.6776083111763,0.4767417907714844,0.36187058687210083
