index,current_time,following_time,iterations_mean,iterations_max,relative_residual_max
0,1.0,0.9987389445304871,2.0,2,2.5158660719171166e-05
1,0.9987389445304871,0.9974554777145386,2.0,2,4.0622962842462584e-05
2,0.9974554777145386,0.996148943901062,2.0,2,6.432287045754492e-05
3,0.996148943901062,0.9948186874389648,2.0,2,8.10342826298438e-05
4,0.9948186874389648,0.9934640526771545,2.0,2,9.244717512046918e-05
5,0.9934640526771545,0.9920844435691833,2.0,2,0.00010228780593024567
6,0.9920844435691833,0.9906790852546692,2.0,2,0.00011198480206076056
7,0.9906790852546692,0.9892473220825195,2.0,2,0.000115318747702986
8,0.9892473220825195,0.9877883195877075,2.0,2,0.0001085572803276591
9,0.9877883195877075,0.9863013625144958,2.0,2,0.0001128986114053987
10,0.9863013625144958,0.9847856163978577,2.0,2,0.00010933444718830287
11,0.9847856163978577,0.9832402467727661,2.0,2,0.00010539100912865251
12,0.9832402467727661,0.9816642999649048,2.0,2,0.00010489660780876875
13,0.9816642999649048,0.9800570011138916,2.0,2,0.00010099167411681265
14,0.9800570011138916,0.9784172773361206,2.0,2,9.29265224840492e-05
15,0.9784172773361206,0.9767442345619202,2.0,2,8.478125528199598e-05
16,0.9767442345619202,0.9750366806983948,2.0,2,8.433766197413206e-05
17,0.9750366806983948,0.9732937812805176,2.0,2,7.890405686339363e-05
18,0.9732937812805176,0.9715142250061035,2.0,2,8.635837730253115e-05
19,0.9715142250061035,0.9696969985961914,2.0,2,8.550423808628693e-05
20,0.9696969985961914,0.9678407311439514,2.0,2,8.148254710249603e-05
21,0.9678407311439514,0.9659442901611328,2.0,2,7.387667574221268e-05
22,0.9659442901611328,0.964006245136261,2.0,2,7.728708442300558e-05
23,0.964006245136261,0.9620253443717957,2.0,2,8.587320917285979e-05
24,0.9620253443717957,0.9599999785423279,2.0,2,7.547136920038611e-05
25,0.9599999785423279,0.9579287767410278,2.0,2,9.101259638555348e-05
26,0.9579287767410278,0.9558101296424866,2.0,2,9.858835983322933e-05
27,0.9558101296424866,0.9536424279212952,2.0,2,7.773046672809869e-05
28,0.9536424279212952,0.9514237642288208,2.0,2,8.539154805475846e-05
29,0.9514237642288208,0.9491525292396545,2.0,2,7.826050568837672e-05
30,0.9491525292396545,0.9468267560005188,2.0,2,7.13293775334023e-05
31,0.9468267560005188,0.9444444179534912,2.0,2,7.666784949833527e-05
32,0.9444444179534912,0.9420035481452942,2.0,2,8.231179526774213e-05
33,0.9420035481452942,0.9395017623901367,2.0,2,7.388166704913601e-05
34,0.9395017623901367,0.9369369745254517,2.0,2,7.867615204304457e-05
35,0.9369369745254517,0.9343065619468689,2.0,2,7.300748256966472e-05
36,0.9343065619468689,0.9316081404685974,2.0,2,7.814340642653406e-05
37,0.9316081404685974,0.9288389086723328,2.0,2,8.455878560198471e-05
38,0.9288389086723328,0.9259962439537048,2.0,2,7.830052345525473e-05
39,0.9259962439537048,0.9230769276618958,2.0,2,9.041206067195162e-05
40,0.9230769276618958,0.9200779795646667,2.0,2,9.422918810741976e-05
41,0.9200779795646667,0.9169960021972656,2.0,2,9.065781341632828e-05
42,0.9169960021972656,0.913827657699585,2.0,2,9.602458885638043e-05
43,0.913827657699585,0.9105690717697144,2.0,2,9.495510312262923e-05
44,0.9105690717697144,0.9072164297103882,2.0,2,9.367663733428344e-05
45,0.9072164297103882,0.9037656784057617,2.0,2,9.850468632066622e-05
46,0.9037656784057617,0.9002123475074768,2.0,2,9.61302503128536e-05
47,0.9002123475074768,0.8965517282485962,2.0,2,9.77143135969527e-05
48,0.8965517282485962,0.8927790522575378,2.0,2,0.00011154724779771641
49,0.8927790522575378,0.8888888955116272,2.0,2,0.0001060290596797131
50,0.8888888955116272,0.8848758339881897,2.0,2,0.00011572057701414451
51,0.8848758339881897,0.8807339668273926,2.0,2,0.00011418788926675916
52,0.8807339668273926,0.8764568567276001,2.0,2,0.00012081345630576834
53,0.8764568567276001,0.8720378875732422,2.0,2,0.0001244059094460681
54,0.8720378875732422,0.8674699068069458,2.0,2,0.00012708957365248352
55,0.8674699068069458,0.8627451062202454,2.0,2,0.00013300160935614258
56,0.8627451062202454,0.8578553795814514,2.0,2,0.0001433676661690697
57,0.8578553795814514,0.8527919054031372,2.0,2,0.0001463510561734438
58,0.8527919054031372,0.8475452661514282,2.0,2,0.00015797058586031199
59,0.8475452661514282,0.8421052694320679,2.0,2,0.00016745473840273917
60,0.8421052694320679,0.836461067199707,2.0,2,0.00017076845688279718
61,0.836461067199707,0.8306010961532593,2.0,2,0.00017469942395109683
62,0.8306010961532593,0.8245124816894531,2.0,2,0.0001882165379356593
63,0.8245124816894531,0.8181818127632141,2.0,2,0.00019654404604807496
64,0.8181818127632141,0.8115941882133484,2.0,2,0.00020752781711053103
65,0.8115941882133484,0.8047336935997009,2.0,2,0.00021868772455491126
66,0.8047336935997009,0.7975830435752869,2.0,2,0.00023624005552846938
