arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,priority_batch_traces_audited,complete
cfg_apg_09,,cfg_apg,cfg_apg_momentum,control,heun64,2.5,-0.75,False,44.594839346044125,224.0,0.0,0.0,0.0,168.43719233665615,0,True
cfg_apg_10,,cfg_apg,cfg_apg_momentum,control,heun64,2.5,-0.5,False,45.29048073407483,224.0,0.0,0.0,0.0,170.76967733632773,0,True
cfg_apg_11,,cfg_apg,cfg_apg_momentum,control,heun64,2.5,-0.25,False,46.85949747017679,224.0,0.0,0.0,0.0,171.87542870547622,0,True
cfg_apg_12,,cfg_apg,cfg_apg_momentum,control,heun64,3.0,-0.75,False,45.39994549925677,224.0,0.0,0.0,0.0,175.6010988485068,0,True
cfg_apg_13,,cfg_apg,cfg_apg_momentum,control,heun64,3.0,-0.5,False,46.95862676701637,224.0,0.0,0.0,0.0,175.44178076600656,0,True
cfg_apg_14,,cfg_apg,cfg_apg_momentum,control,heun64,3.0,-0.25,False,49.62106758999755,224.0,0.0,0.0,0.0,172.08586600236595,0,True
cfg_sde_native_00,,cfg_sde_native,native_sde,native,sde_tail64,0.5,0.0,False,60.687224301784,128.0,0.0,0.0,0.0,104.77066258713603,0,True
fsg_operator_control_00,,fsg_operator_control,fsg_operator_control,control,heun64,0.5,0.0625,False,46.60210119339706,260.0,0.0,0.0,0.0,192.6719938972965,0,True
fsg_operator_control_01,,fsg_operator_control,fsg_operator_control,control,heun64,0.5,0.125,False,48.416435508919335,260.0,0.0,0.0,0.0,192.98746230080724,0,True
full_root16_control_00,,full_root16_control,full_root,control,heun64,0.5,0.5,False,54.16933752832938,740.0,0.0,0.0,0.0,504.3197329370305,0,True
full_root16_control_01,,full_root16_control,full_root,control,heun64,0.5,1.0,False,54.142396698371726,740.0,0.0,0.0,0.0,503.990398990456,0,True
cfg_smc_control_00,,cfg_smc_control,smc_control,control,heun64,0.5,0.1,False,102.63891297360146,224.0,0.0,0.0,0.0,163.1250147265382,0,True
cfg_smc_control_01,,cfg_smc_control,smc_control,control,heun64,0.5,0.2,False,109.669531439288,224.0,0.0,0.0,0.0,160.80522048147395,0,True
semantic_direct_00,,semantic_direct,semantic_contract,control,heun64,0.5,0.5,True,53.070511043746535,484.0,0.0,8.0,8.0,454.554010131862,0,True
sde_semantic_direct_00,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,0.5,0.5,True,60.654850927243785,196.0,0.0,8.0,8.0,263.0532751772553,0,True
semantic_direct_01,,semantic_direct,semantic_contract,control,heun64,0.5,0.8,True,53.0729712780211,484.0,0.0,8.0,8.0,451.7048678123392,0,True
sde_semantic_direct_01,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,0.5,0.8,True,60.606735026331705,196.0,0.0,8.0,8.0,262.8667250284925,0,True
cfg_sde_native_01,,cfg_sde_native,native_sde,native,sde_tail64,1.25,0.0,False,47.10564568375577,128.0,0.0,0.0,0.0,110.62319415155798,0,True
fsg_operator_control_02,,fsg_operator_control,fsg_operator_control,control,heun64,1.25,0.0625,False,55.171825988914065,260.0,0.0,0.0,0.0,192.87684667669237,0,True
fsg_operator_control_03,,fsg_operator_control,fsg_operator_control,control,heun64,1.25,0.125,False,54.762233372346714,260.0,0.0,0.0,0.0,195.62825670465827,0,True
full_root16_control_02,,full_root16_control,full_root,control,heun64,1.25,0.5,False,45.65874186620465,740.0,0.0,0.0,0.0,501.4012074130587,0,True
full_root16_control_03,,full_root16_control,full_root,control,heun64,1.25,1.0,False,45.63619146734004,740.0,0.0,0.0,0.0,502.37637954205275,0,True
cfg_smc_control_02,,cfg_smc_control,smc_control,control,heun64,1.25,0.1,False,68.15431348050521,224.0,0.0,0.0,0.0,172.3132167221047,0,True
cfg_smc_control_03,,cfg_smc_control,smc_control,control,heun64,1.25,0.2,False,69.32339951055718,224.0,0.0,0.0,0.0,167.8002091241069,0,True
semantic_direct_02,,semantic_direct,semantic_contract,control,heun64,1.25,0.5,True,45.77249489240046,484.0,0.0,8.0,8.0,451.9156672391109,0,True
sde_semantic_direct_02,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,1.25,0.5,True,47.28093358067554,196.0,0.0,8.0,8.0,263.10242102108896,0,True
semantic_direct_03,,semantic_direct,semantic_contract,control,heun64,1.25,0.8,True,45.767419542181585,484.0,0.0,8.0,8.0,451.59108101343736,0,True
sde_semantic_direct_03,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,1.25,0.8,True,47.27189526231257,196.0,0.0,8.0,8.0,263.15954673523083,0,True
cfg_sde_native_02,,cfg_sde_native,native_sde,native,sde_tail64,2.0,0.0,False,50.344409814430946,128.0,0.0,0.0,0.0,102.35806745337322,0,True
fsg_operator_control_04,,fsg_operator_control,fsg_operator_control,control,heun64,2.0,0.0625,False,63.68108031544824,260.0,0.0,0.0,0.0,190.07099717948586,0,True
fsg_operator_control_05,,fsg_operator_control,fsg_operator_control,control,heun64,2.0,0.125,False,63.64194212630764,260.0,0.0,0.0,0.0,193.13980213645846,0,True
full_root16_control_04,,full_root16_control,full_root,control,heun64,2.0,0.5,False,49.845746790260364,740.0,0.0,0.0,0.0,501.86850054655224,0,True
full_root16_control_05,,full_root16_control,full_root,control,heun64,2.0,1.0,False,49.95431135928516,740.0,0.0,0.0,0.0,502.9371602004394,0,True
cfg_smc_control_04,,cfg_smc_control,smc_control,control,heun64,2.0,0.1,False,51.76309288256459,224.0,0.0,0.0,0.0,160.3085589557886,0,True
cfg_smc_control_05,,cfg_smc_control,smc_control,control,heun64,2.0,0.2,False,49.54987919386065,224.0,0.0,0.0,0.0,160.79994585737586,0,True
semantic_direct_04,,semantic_direct,semantic_contract,control,heun64,2.0,0.5,True,50.47863768714359,484.0,0.0,8.0,8.0,452.70413845125586,0,True
sde_semantic_direct_04,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,2.0,0.5,True,50.31605347794499,196.0,0.0,8.0,8.0,262.9627958815545,0,True
semantic_direct_05,,semantic_direct,semantic_contract,control,heun64,2.0,0.8,True,50.515223270632475,484.0,0.0,8.0,8.0,452.75999091612175,0,True
sde_semantic_direct_05,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,2.0,0.8,True,50.391260791801244,196.0,0.0,8.0,8.0,262.26835643220693,0,True
cfg_sde_native_03,,cfg_sde_native,native_sde,native,sde_tail64,2.75,0.0,False,54.34299206992148,128.0,0.0,0.0,0.0,110.02388086775318,0,True
fsg_operator_control_06,,fsg_operator_control,fsg_operator_control,control,heun64,2.75,0.0625,False,67.41123926025296,260.0,0.0,0.0,0.0,192.35078718326986,0,True
fsg_operator_control_07,,fsg_operator_control,fsg_operator_control,control,heun64,2.75,0.125,False,68.18853168288553,260.0,0.0,0.0,0.0,194.7724211299792,0,True
full_root16_control_06,,full_root16_control,full_root,control,heun64,2.75,0.5,False,54.88552294923153,740.0,0.0,0.0,0.0,505.03646646020934,0,True
full_root16_control_07,,full_root16_control,full_root,control,heun64,2.75,1.0,False,54.92508469738982,740.0,0.0,0.0,0.0,503.1313251820393,0,True
cfg_smc_control_06,,cfg_smc_control,smc_control,control,heun64,2.75,0.1,False,46.52989720650601,224.0,0.0,0.0,0.0,162.3124099895358,0,True
cfg_smc_control_07,,cfg_smc_control,smc_control,control,heun64,2.75,0.2,False,44.72561265941954,224.0,0.0,0.0,0.0,164.39499870175496,0,True
semantic_direct_06,,semantic_direct,semantic_contract,control,heun64,2.75,0.5,True,55.19806098342775,484.0,0.0,8.0,8.0,452.80805998668075,0,True
sde_semantic_direct_06,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,2.75,0.5,True,55.24688383179216,196.0,0.0,8.0,8.0,262.900236770045,0,True
semantic_direct_07,,semantic_direct,semantic_contract,control,heun64,2.75,0.8,True,55.37310328302863,484.0,0.0,8.0,8.0,450.589810075704,0,True
sde_semantic_direct_07,,sde_semantic_direct,sde_semantic_direct,control,sde_tail64,2.75,0.8,True,55.1900118320188,196.0,0.0,8.0,8.0,262.19934263220057,0,True
i01_terminal_root_00,1,i01_terminal_root,terminal_root,candidate,heun64,0.5,0.25,False,54.16733108347387,484.0,0.0,0.0,0.0,334.6103475051932,0,True
i01_terminal_root_01,1,i01_terminal_root,terminal_root,candidate,heun64,0.5,0.5,False,54.148831426529284,484.0,0.0,0.0,0.0,334.7759776888415,0,True
i01_terminal_root_02,1,i01_terminal_root,terminal_root,candidate,heun64,0.5,1.0,False,54.21829256250089,484.0,0.0,0.0,0.0,335.2838739627041,0,True
i01_terminal_root_03,1,i01_terminal_root,terminal_root,candidate,heun64,1.25,0.25,False,45.67085598582463,484.0,0.0,0.0,0.0,336.57444232562557,0,True
i01_terminal_root_04,1,i01_terminal_root,terminal_root,candidate,heun64,1.25,0.5,False,45.645779402583514,484.0,0.0,0.0,0.0,334.9888809006661,0,True
i01_terminal_root_05,1,i01_terminal_root,terminal_root,candidate,heun64,1.25,1.0,False,45.65662865289255,484.0,0.0,0.0,0.0,336.5716778370552,0,True
i01_terminal_root_06,1,i01_terminal_root,terminal_root,candidate,heun64,2.0,0.25,False,49.74511725723312,484.0,0.0,0.0,0.0,340.8944171126932,0,True
i01_terminal_root_07,1,i01_terminal_root,terminal_root,candidate,heun64,2.0,0.5,False,49.80178691005534,484.0,0.0,0.0,0.0,339.2693989947438,0,True
i01_terminal_root_08,1,i01_terminal_root,terminal_root,candidate,heun64,2.0,1.0,False,49.88533520544081,484.0,0.0,0.0,0.0,336.2170622157864,0,True
i01_terminal_root_09,1,i01_terminal_root,terminal_root,candidate,heun64,2.75,0.25,False,54.83613336413646,484.0,0.0,0.0,0.0,337.5801212093793,0,True
i01_terminal_root_10,1,i01_terminal_root,terminal_root,candidate,heun64,2.75,0.5,False,54.97796566418128,484.0,0.0,0.0,0.0,336.6147632529028,0,True
i01_terminal_root_11,1,i01_terminal_root,terminal_root,candidate,heun64,2.75,1.0,False,54.95713958122042,484.0,0.0,0.0,0.0,336.58886142401025,0,True
i02_rolling_root_00,2,i02_rolling_root,rolling_root,candidate,heun64,0.5,0.125,False,54.031594356846824,484.0,0.0,0.0,0.0,337.4146394766867,0,True
i02_rolling_root_01,2,i02_rolling_root,rolling_root,candidate,heun64,0.5,0.25,False,54.209973425563135,484.0,0.0,0.0,0.0,338.75001099100336,0,True
i02_rolling_root_02,2,i02_rolling_root,rolling_root,candidate,heun64,0.5,0.5,False,54.17411596123776,484.0,0.0,0.0,0.0,336.91748926695436,0,True
i02_rolling_root_03,2,i02_rolling_root,rolling_root,candidate,heun64,1.25,0.125,False,45.50985051646256,484.0,0.0,0.0,0.0,334.6137351254001,0,True
i02_rolling_root_04,2,i02_rolling_root,rolling_root,candidate,heun64,1.25,0.25,False,45.62419379091068,484.0,0.0,0.0,0.0,336.6272275811061,0,True
i02_rolling_root_05,2,i02_rolling_root,rolling_root,candidate,heun64,1.25,0.5,False,45.61885878919588,484.0,0.0,0.0,0.0,337.11282432079315,0,True
i02_rolling_root_06,2,i02_rolling_root,rolling_root,candidate,heun64,2.0,0.125,False,49.72742891262743,484.0,0.0,0.0,0.0,334.0392064531334,0,True
i02_rolling_root_07,2,i02_rolling_root,rolling_root,candidate,heun64,2.0,0.25,False,49.92111817583077,484.0,0.0,0.0,0.0,336.1606725663878,0,True
i02_rolling_root_08,2,i02_rolling_root,rolling_root,candidate,heun64,2.0,0.5,False,49.869546751369626,484.0,0.0,0.0,0.0,333.95338615076616,0,True
i02_rolling_root_09,2,i02_rolling_root,rolling_root,candidate,heun64,2.75,0.125,False,55.18760769151663,484.0,0.0,0.0,0.0,339.024123063311,0,True
i02_rolling_root_10,2,i02_rolling_root,rolling_root,candidate,heun64,2.75,0.25,False,55.09023478741915,484.0,0.0,0.0,0.0,334.9024956189096,0,True
i02_rolling_root_11,2,i02_rolling_root,rolling_root,candidate,heun64,2.75,0.5,False,54.91824744453845,484.0,0.0,0.0,0.0,337.79342991672456,0,True
i03_path_energy_00,3,i03_path_energy,path_energy,candidate,heun64,0.5,0.25,False,54.22165072298219,740.0,0.0,0.0,0.0,503.0192542220466,0,True
i03_path_energy_01,3,i03_path_energy,path_energy,candidate,heun64,0.5,1.0,False,54.220019573959235,740.0,0.0,0.0,0.0,504.77661595726386,0,True
i03_path_energy_02,3,i03_path_energy,path_energy,candidate,heun64,0.5,4.0,False,54.19461333684825,740.0,0.0,0.0,0.0,505.2939852681011,0,True
i03_path_energy_03,3,i03_path_energy,path_energy,candidate,heun64,1.25,0.25,False,45.64378365618427,740.0,0.0,0.0,0.0,505.1368620824069,0,True
i03_path_energy_04,3,i03_path_energy,path_energy,candidate,heun64,1.25,1.0,False,45.639435670040086,740.0,0.0,0.0,0.0,505.56947446474805,0,True
i03_path_energy_05,3,i03_path_energy,path_energy,candidate,heun64,1.25,4.0,False,45.63888872497836,740.0,0.0,0.0,0.0,507.74483319791034,0,True
i03_path_energy_06,3,i03_path_energy,path_energy,candidate,heun64,2.0,0.25,False,49.90184121327928,740.0,0.0,0.0,0.0,510.2128390534781,0,True
i03_path_energy_07,3,i03_path_energy,path_energy,candidate,heun64,2.0,1.0,False,49.895897717688115,740.0,0.0,0.0,0.0,504.7617454826832,0,True
i03_path_energy_08,3,i03_path_energy,path_energy,candidate,heun64,2.0,4.0,False,49.917759567300266,740.0,0.0,0.0,0.0,503.6572827445343,0,True
i03_path_energy_09,3,i03_path_energy,path_energy,candidate,heun64,2.75,0.25,False,54.96928723000485,740.0,0.0,0.0,0.0,506.66595691954717,0,True
i03_path_energy_10,3,i03_path_energy,path_energy,candidate,heun64,2.75,1.0,False,54.96966992913758,740.0,0.0,0.0,0.0,506.22212142823264,0,True
i03_path_energy_11,3,i03_path_energy,path_energy,candidate,heun64,2.75,4.0,False,54.988954043497756,740.0,0.0,0.0,0.0,504.5879126130603,0,True
i04_golden_tube_00,4,i04_golden_tube,golden_tube,candidate,heun64,0.5,0.25,False,54.20622097495186,772.0,0.0,0.0,0.0,524.5684863426723,0,True
i04_golden_tube_01,4,i04_golden_tube,golden_tube,candidate,heun64,0.5,1.0,False,54.264078260820725,772.0,0.0,0.0,0.0,524.941556322854,0,True
i04_golden_tube_02,4,i04_golden_tube,golden_tube,candidate,heun64,0.5,4.0,False,54.28522149392461,772.0,0.0,0.0,0.0,525.6923292963766,0,True
i04_golden_tube_03,4,i04_golden_tube,golden_tube,candidate,heun64,1.25,0.25,False,45.66439954199336,772.0,0.0,0.0,0.0,526.4184654480778,0,True
i04_golden_tube_04,4,i04_golden_tube,golden_tube,candidate,heun64,1.25,1.0,False,45.61295694991952,772.0,0.0,0.0,0.0,525.8841023887508,0,True
i04_golden_tube_05,4,i04_golden_tube,golden_tube,candidate,heun64,1.25,4.0,False,45.58956484610246,772.0,0.0,0.0,0.0,522.8650250872597,0,True
i04_golden_tube_06,4,i04_golden_tube,golden_tube,candidate,heun64,2.0,0.25,False,49.90881482672978,772.0,0.0,0.0,0.0,528.01876356313,0,True
i04_golden_tube_07,4,i04_golden_tube,golden_tube,candidate,heun64,2.0,1.0,False,49.85986009540085,772.0,0.0,0.0,0.0,531.4034634279087,0,True
i04_golden_tube_08,4,i04_golden_tube,golden_tube,candidate,heun64,2.0,4.0,False,49.75246393044608,772.0,0.0,0.0,0.0,524.1139589911327,0,True
i04_golden_tube_09,4,i04_golden_tube,golden_tube,candidate,heun64,2.75,0.25,False,54.955894016842194,772.0,0.0,0.0,0.0,529.0157870724797,0,True
i04_golden_tube_10,4,i04_golden_tube,golden_tube,candidate,heun64,2.75,1.0,False,54.93833469704305,772.0,0.0,0.0,0.0,525.4577614087611,0,True
i04_golden_tube_11,4,i04_golden_tube,golden_tube,candidate,heun64,2.75,4.0,False,54.8492887628978,772.0,0.0,0.0,0.0,525.6674183844589,0,True
i05_terminal_tangent_00,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,0.5,0.1,False,53.791928068911375,724.0,0.0,0.0,0.0,496.5898663830012,0,True
i05_terminal_tangent_01,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,0.5,0.5,False,53.77065154870468,724.0,0.0,0.0,0.0,495.12986641936004,0,True
i05_terminal_tangent_02,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,0.5,2.0,False,53.775434719204384,724.0,0.0,0.0,0.0,494.4894452113658,0,True
i05_terminal_tangent_03,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,1.25,0.1,False,45.725954317001765,724.0,0.0,0.0,0.0,494.981770102866,0,True
i05_terminal_tangent_04,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,1.25,0.5,False,45.67690509342947,724.0,0.0,0.0,0.0,492.4304993483238,0,True
i05_terminal_tangent_05,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,1.25,2.0,False,45.671209432984256,724.0,0.0,0.0,0.0,494.99094274360687,0,True
i05_terminal_tangent_06,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,2.0,0.1,False,49.88744141966163,724.0,0.0,0.0,0.0,491.9652075567283,0,True
i05_terminal_tangent_07,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,2.0,0.5,False,49.87742290584231,724.0,0.0,0.0,0.0,494.22004835586995,0,True
i05_terminal_tangent_08,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,2.0,2.0,False,49.84493122266264,724.0,0.0,0.0,0.0,496.5619450416416,0,True
i05_terminal_tangent_09,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,2.75,0.1,False,55.02716777263595,724.0,0.0,0.0,0.0,499.90314759127796,0,True
i05_terminal_tangent_10,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,2.75,0.5,False,54.89989865614808,724.0,0.0,0.0,0.0,495.713227532804,0,True
i05_terminal_tangent_11,5,i05_terminal_tangent,terminal_tangent,candidate,heun64,2.75,2.0,False,54.85746509544259,724.0,0.0,0.0,0.0,496.3660338376649,0,True
i06_rolling_invariance_00,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,0.5,0.1,False,53.749467496386444,752.0,0.0,0.0,0.0,517.227878655307,0,True
i06_rolling_invariance_01,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,0.5,0.5,False,53.768462914857196,752.0,0.0,0.0,0.0,511.4209480481222,0,True
i06_rolling_invariance_02,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,0.5,2.0,False,53.76893391613862,752.0,0.0,0.0,0.0,512.0080660586245,0,True
i06_rolling_invariance_03,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,1.25,0.1,False,45.7076858981946,752.0,0.0,0.0,0.0,511.3909467160702,0,True
i06_rolling_invariance_04,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,1.25,0.5,False,45.7660422389323,752.0,0.0,0.0,0.0,511.32873565657064,0,True
i06_rolling_invariance_05,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,1.25,2.0,False,45.69596238947224,752.0,0.0,0.0,0.0,510.2035211995244,0,True
i06_rolling_invariance_06,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,2.0,0.1,False,49.79538061253862,752.0,0.0,0.0,0.0,511.7934696874581,0,True
i06_rolling_invariance_07,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,2.0,0.5,False,49.71300952501275,752.0,0.0,0.0,0.0,511.79551121313125,0,True
i06_rolling_invariance_08,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,2.0,2.0,False,49.6526503834466,752.0,0.0,0.0,0.0,513.9727313034236,0,True
i06_rolling_invariance_09,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,2.75,0.1,False,55.32305853338511,752.0,0.0,0.0,0.0,510.67854511225596,0,True
i06_rolling_invariance_10,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,2.75,0.5,False,55.042358924323025,752.0,0.0,0.0,0.0,513.5608608406037,0,True
i06_rolling_invariance_11,6,i06_rolling_invariance,rolling_invariance,candidate,heun64,2.75,2.0,False,54.932053901432994,752.0,0.0,0.0,0.0,510.82322369189933,0,True
i07_terminal_inverse_00,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,0.5,0.25,False,53.665686186186065,388.0,0.0,0.0,0.0,272.92788501735777,0,True
i07_terminal_inverse_01,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,0.5,0.5,False,53.13757684666825,388.0,0.0,0.0,0.0,273.7784069585614,0,True
i07_terminal_inverse_02,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,0.5,1.0,False,52.367378426518826,388.0,0.0,0.0,0.0,275.61606721999124,0,True
i07_terminal_inverse_03,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,1.25,0.25,False,45.774316416708984,388.0,0.0,0.0,0.0,276.2208521189168,0,True
i07_terminal_inverse_04,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,1.25,0.5,False,45.87599707920276,388.0,0.0,0.0,0.0,273.513028468471,0,True
i07_terminal_inverse_05,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,1.25,1.0,False,46.146863013754,388.0,0.0,0.0,0.0,273.78095721360296,0,True
i07_terminal_inverse_06,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,2.0,0.25,False,50.13111964846411,388.0,0.0,0.0,0.0,279.32165932748467,0,True
i07_terminal_inverse_07,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,2.0,0.5,False,50.550977838223275,388.0,0.0,0.0,0.0,283.85881103528664,0,True
i07_terminal_inverse_08,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,2.0,1.0,False,51.242723410949225,388.0,0.0,0.0,0.0,275.348815840669,0,True
i07_terminal_inverse_09,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,2.75,0.25,False,55.22347770833852,388.0,0.0,0.0,0.0,275.0106905507855,0,True
i07_terminal_inverse_10,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,2.75,0.5,False,55.688565901699576,388.0,0.0,0.0,0.0,277.85591315710917,0,True
i07_terminal_inverse_11,7,i07_terminal_inverse,terminal_inverse,candidate,heun64,2.75,1.0,False,56.26597809615589,388.0,0.0,0.0,0.0,273.1452198540792,0,True
i08_conditional_anchor_00,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,0.5,0.1,False,54.184154421260416,580.0,0.0,0.0,0.0,402.70296699367464,0,True
i08_conditional_anchor_01,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,0.5,1.0,False,54.10539643924585,580.0,0.0,0.0,0.0,401.2390418415889,0,True
i08_conditional_anchor_02,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,0.5,10.0,False,54.077692253241594,580.0,0.0,0.0,0.0,400.36957036331296,0,True
i08_conditional_anchor_03,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,1.25,0.1,False,45.64752862770132,580.0,0.0,0.0,0.0,399.9371538935229,0,True
i08_conditional_anchor_04,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,1.25,1.0,False,45.70568000680959,580.0,0.0,0.0,0.0,397.61557277850807,0,True
i08_conditional_anchor_05,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,1.25,10.0,False,45.72673985436177,580.0,0.0,0.0,0.0,401.2383848349564,0,True
i08_conditional_anchor_06,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,2.0,0.1,False,49.9130228286723,580.0,0.0,0.0,0.0,401.77873782021925,0,True
i08_conditional_anchor_07,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,2.0,1.0,False,49.93806052161017,580.0,0.0,0.0,0.0,400.7120767887682,0,True
i08_conditional_anchor_08,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,2.0,10.0,False,49.697657694162274,580.0,0.0,0.0,0.0,400.63853273447603,0,True
i08_conditional_anchor_09,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,2.75,0.1,False,54.96304271965232,580.0,0.0,0.0,0.0,400.2430031904951,0,True
i08_conditional_anchor_10,8,i08_conditional_anchor,conditional_anchor,candidate,heun64,2.75,1.0,False,54.91256615733937,580.0,0.0,0.0,0.0,401.619881067425,0,True
