arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,priority_batch_traces_audited,complete
strong_00,,strong,native_ig,native,heun64,0.0,0.0,False,87.08634379243915,128.0,0.0,0.0,0.0,95.10131863784045,0,True
ig_local_00,,ig_local,ig_local_attention,control,heun64,0.8,2.0,False,63.20381967506307,128.0,64.0,0.0,0.0,126.14194808714092,0,True
cfg_native_00,,cfg_native,native_cfg,native,heun64,0.25,0.0,False,66.8273619184198,224.0,0.0,0.0,0.0,164.9322671047412,0,True
cfg_native_01,,cfg_native,native_cfg,native,heun64,0.5,0.0,False,54.21873380325911,224.0,0.0,0.0,0.0,165.02748384838924,0,True
cfg_native_02,,cfg_native,native_cfg,native,heun64,0.75,0.0,False,48.44673573868806,224.0,0.0,0.0,0.0,168.47477185213938,0,True
cfg_native_03,,cfg_native,native_cfg,native,heun64,1.0,0.0,False,45.96040162055078,224.0,0.0,0.0,0.0,170.25123502593488,0,True
cfg_native_04,,cfg_native,native_cfg,native,heun64,1.25,0.0,False,45.70734091177519,224.0,0.0,0.0,0.0,170.07877910789102,0,True
cfg_native_05,,cfg_native,native_cfg,native,heun64,1.5,0.0,False,46.76334207093731,224.0,0.0,0.0,0.0,164.51160073652864,0,True
cfg_native_06,,cfg_native,native_cfg,native,heun64,1.75,0.0,False,47.93115026518916,224.0,0.0,0.0,0.0,168.1524656652473,0,True
cfg_native_07,,cfg_native,native_cfg,native,heun64,2.0,0.0,False,49.6028916196895,224.0,0.0,0.0,0.0,169.91644913190976,0,True
cfg_native_08,,cfg_native,native_cfg,native,heun64,2.25,0.0,False,51.644801705112116,224.0,0.0,0.0,0.0,166.42531495029107,0,True
cfg_native_09,,cfg_native,native_cfg,native,heun64,2.5,0.0,False,53.10854087836816,224.0,0.0,0.0,0.0,165.82858486985788,0,True
cfg_native_10,,cfg_native,native_cfg,native,heun64,2.75,0.0,False,54.648075804882524,224.0,0.0,0.0,0.0,166.03192194132134,0,True
cfg_native_11,,cfg_native,native_cfg,native,heun64,3.0,0.0,False,56.233564034574954,224.0,0.0,0.0,0.0,164.3374232002534,0,True
cfg_apg_00,,cfg_apg,cfg_apg_momentum,control,heun64,1.0,-0.75,False,52.56566141768553,224.0,0.0,0.0,0.0,168.15663416404277,0,True
cfg_apg_01,,cfg_apg,cfg_apg_momentum,control,heun64,1.0,-0.5,False,50.332066266375705,224.0,0.0,0.0,0.0,168.07849671738222,0,True
cfg_apg_02,,cfg_apg,cfg_apg_momentum,control,heun64,1.0,-0.25,False,47.95272907783192,224.0,0.0,0.0,0.0,170.34027058212087,0,True
cfg_apg_03,,cfg_apg,cfg_apg_momentum,control,heun64,1.5,-0.75,False,46.54978090551003,224.0,0.0,0.0,0.0,169.57210966106504,0,True
cfg_apg_04,,cfg_apg,cfg_apg_momentum,control,heun64,1.5,-0.5,False,45.123292005227995,224.0,0.0,0.0,0.0,171.01682251133025,0,True
cfg_apg_05,,cfg_apg,cfg_apg_momentum,control,heun64,1.5,-0.25,False,44.53829868410378,224.0,0.0,0.0,0.0,170.0316978804767,0,True
cfg_apg_06,,cfg_apg,cfg_apg_momentum,control,heun64,2.0,-0.75,False,44.58445658932112,224.0,0.0,0.0,0.0,168.9519051196985,0,True
cfg_apg_07,,cfg_apg,cfg_apg_momentum,control,heun64,2.0,-0.5,False,44.50387096484695,224.0,0.0,0.0,0.0,174.3166390764527,0,True
cfg_apg_08,,cfg_apg,cfg_apg_momentum,control,heun64,2.0,-0.25,False,44.995331137063374,224.0,0.0,0.0,0.0,172.9085419648327,0,True
