reference,step,time,region,gap_rms_mean,gap_rms_std,gap_over_strong_mean,gap_over_strong_std,cos_v270_mean,cos_v270_std,proj_resid_frac_v270_mean,proj_resid_frac_v270_std,proj_coef_on_v270_mean,proj_coef_on_v270_std
v180,180000,0.05,early,0.02926181734073907,0.01114987852999762,0.028574702388141304,0.009814240055083192,0.7651897047180682,0.0982736702068301,0.6268031909130514,0.11006749939857462,0.8767217830754817,0.18615923698530862
v180,180000,0.15,early,0.055303632965660654,0.024934892537493397,0.05341087011038326,0.021703030679894115,0.8373245820403099,0.06019423012498884,0.5358032169751823,0.09095078541301939,0.9689839608035982,0.12503893579782366
v180,180000,0.25,early,0.07337656742311083,0.024467889319865488,0.07245721985236742,0.020505955040957997,0.8413804532028735,0.045792033131705594,0.5341202006675303,0.06892849158959322,0.9676333498209715,0.08875261398817538
v180,180000,0.35,mid,0.09078509648679756,0.022996010996959228,0.0933688708464615,0.02059124128481684,0.837948331143707,0.04216526398085688,0.5406191614456475,0.061963632469142375,0.959734343457967,0.0731765373936109
v180,180000,0.5,mid,0.11815583566203713,0.021971880297793157,0.12921284267213196,0.022978687138647223,0.8388921236619353,0.0225264551142019,0.5427381207700819,0.03465909664946774,0.9710056697949767,0.04463942252102708
v180,180000,0.65,mid,0.14307815168285742,0.019845348945816205,0.16437215358018875,0.027109560062411723,0.8442948213778436,0.0132467131108038,0.5353106751572341,0.020929248949480832,0.982585416175425,0.02629492166461448
v180,180000,0.75,late,0.15422022086568177,0.017642066524723412,0.18193339504068717,0.029007969543525337,0.8464035606011748,0.00836831390730012,0.5323118194937706,0.013304983394261005,0.9854399370960891,0.018021682588121077
v180,180000,0.85,late,0.15222309797536582,0.01758180070939519,0.18594902579206973,0.027336616047405247,0.8442138372920454,0.007123655835403547,0.5358427697792649,0.011232025889927468,0.9794791275635362,0.015084273065343866
v180,180000,0.95,late,0.09842069767182693,0.019180703377575735,0.12471167405601591,0.022395931024242827,0.8322792672552168,0.0074091015100433855,0.5541973109357059,0.01109318658137524,0.951898209284991,0.016909540397988327
v240,240000,0.05,early,0.026152401420404203,0.008652606343582024,0.025577733817044646,0.0076116606696856725,0.8709234357811511,0.08601134005610811,0.46968766557984054,0.11684338474027067,0.8958900452125818,0.13775565547705249
v240,240000,0.15,early,0.049670013948343694,0.022409018604104675,0.04795505043875892,0.01937651108501164,0.9330417918972671,0.03441879771482657,0.3491734372219071,0.07990862617827293,0.9663097872398794,0.07950249567066131
v240,240000,0.25,early,0.06649583083344623,0.02211149094722002,0.06564518655068241,0.01830891083034525,0.948634872213006,0.017155487502615894,0.3120876350440085,0.04919432398261882,0.9876599316485226,0.049032146541516004
v240,240000,0.35,mid,0.08290064029279165,0.02135007053048303,0.08518715863465331,0.018799509125784746,0.953914197627455,0.014021057277658231,0.29691433149855584,0.041326521125761996,0.9953304463997483,0.034514356623966326
v240,240000,0.5,mid,0.10712818935280666,0.019875420718735434,0.11713561706710607,0.020781346801056307,0.9584328066557646,0.007872282453377595,0.28405007463879883,0.025803563634168292,1.0053312378004193,0.019726302495723047
v240,240000,0.65,mid,0.12922860571416095,0.018123425632782332,0.14848369057290256,0.02484934131907148,0.9625089238397777,0.003911670941380965,0.2708600660553202,0.014062686289240347,1.0113601805642247,0.011620841485893096
v240,240000,0.75,late,0.13920113968197256,0.016180090679826002,0.1642226172843948,0.026467012474540735,0.9636776614934206,0.00237665174138722,0.2669186618877575,0.00864727712244819,1.0124252033419907,0.008186740059499454
v240,240000,0.85,late,0.13775003456976265,0.015974117090772726,0.16825361864175647,0.02474273378101417,0.9639035691507161,0.0018031683610139116,0.2661651865346357,0.006566067137956026,1.0118892681784928,0.006198426020661449
