reference,step,time,region,gap_rms_mean,gap_rms_std,gap_over_strong_mean,gap_over_strong_std,cos_v270_mean,cos_v270_std,proj_resid_frac_v270_mean,proj_resid_frac_v270_std,proj_coef_on_v270_mean,proj_coef_on_v270_std
v240,240000,0.95,late,0.09001798729877919,0.017629583992534673,0.11405352549627423,0.02052918516680322,0.9616283075883985,0.0017093056867687035,0.27428527525626123,0.005997284940877967,1.0056641167029738,0.006859716213617371
v270,270000,0.05,early,0.02558975237479899,0.008057138316534844,0.025046208007552195,0.007186798442795469,1.0000000051222742,7.329775943546902e-08,0.0,0.0,1.0,0.0
v270,270000,0.15,early,0.04806957549590152,0.021570359192895638,0.04642236257495824,0.01866410822858825,1.0000000102445483,7.332906001640306e-08,0.0,0.0,1.0,0.0
v270,270000,0.25,early,0.06407102479715832,0.021776533128199674,0.0632175735081546,0.01804054582094761,1.000000006519258,7.105248125358859e-08,0.0,0.0,1.0,0.0
v270,270000,0.35,mid,0.07955231866799295,0.020737239996623098,0.08169864871888421,0.01808986618861853,1.0000000027939677,7.246562969671341e-08,0.0,0.0,1.0,0.0
v270,270000,0.5,mid,0.10217145213391632,0.019118532915603483,0.11169778218027204,0.01986893330318923,1.0000000060535967,7.548351292451671e-08,0.0,0.0,1.0,0.0
v270,270000,0.65,mid,0.12298408697824925,0.01718859273595714,0.1413594626937993,0.02388163643451737,0.9999999986030161,7.825832930823589e-08,0.0,0.0,1.0,0.0
v270,270000,0.75,late,0.1324965835083276,0.015343798796330946,0.15634248103015125,0.02535213799483318,1.0000000083819032,7.976991221433239e-08,0.0,0.0,1.0,0.0
v270,270000,0.85,late,0.13121856894576922,0.015200482154688555,0.16026639682240784,0.02351429687776908,1.0000000046566129,7.90211925371797e-08,0.0,0.0,1.0,0.0
v270,270000,0.95,late,0.08609255781630054,0.016939183534829733,0.10906939522828907,0.01967678494577513,1.000000022817403,7.409253120408432e-08,0.0,0.0,1.0,0.0
v300,300000,0.05,early,0.024712463091418613,0.009569514960527504,0.02415716936229728,0.008436352413457365,0.8604239858686924,0.08656457187747867,0.4874687020201236,0.12134656081920539,0.831640086369589,0.13409311415427125
v300,300000,0.15,early,0.04594057241047267,0.01976449254939298,0.04442676388134714,0.01717655627713152,0.9291655151173472,0.03886999286465342,0.35846001317258924,0.08192197612052804,0.8954988964833319,0.07574788398005994
v300,300000,0.25,early,0.06167993927374482,0.020572363764764078,0.06089310234528966,0.017067014927456686,0.9447403931990266,0.019364375342158676,0.3227810316020623,0.054118529191320215,0.9123409218154848,0.050984737742877366
v300,300000,0.35,mid,0.07673843851080164,0.019743020851814952,0.07878373036510311,0.016887579794067964,0.951063429005444,0.015171193204152365,0.3054240713827312,0.04451528975895512,0.9187926854938269,0.0334580648276435
v300,300000,0.5,mid,0.0975526605034247,0.01805947927332953,0.10664211859693751,0.018739565771613977,0.9565847190096974,0.007194022580273705,0.29044635070022196,0.023226289181535954,0.9139097179286182,0.019318237528856707
v300,300000,0.65,mid,0.11675361334346235,0.016331048248635086,0.1341914493823424,0.022679026949993332,0.9604047434404492,0.0038637083106733148,0.2782576794270426,0.013490268166827964,0.911808262579143,0.010255971209269382
v300,300000,0.75,late,0.12566018023062497,0.014678513073223666,0.14824345952365547,0.023973048026089915,0.961111627984792,0.002635821264882815,0.2759944024728611,0.009236101869001763,0.911462954711169,0.007796311001558205
v300,300000,0.85,late,0.12447277014143765,0.01455577610623469,0.15197055437602103,0.02204279101133769,0.9610136593692005,0.001966130199360631,0.2764095780439675,0.006856202897393373,0.9115297608077526,0.006044239068667602
v300,300000,0.95,late,0.08213459415128455,0.0162104656764081,0.10402079741470516,0.01862130116971894,0.9586537037976086,0.001793938033721134,0.2845054604113102,0.006067665902787225,0.9145165295340121,0.006944953258969643
v400,400000,0.05,early,0.02263532124197809,0.0075907863529233125,0.022129288561700378,0.0067709574648264405,0.7099676751531661,0.12002986383657248,0.6842668708413839,0.11634375977340972,0.630031103733927,0.14330602818509125
v400,400000,0.15,early,0.041202757362043485,0.017357790402101603,0.039842228579800576,0.014900419510945239,0.782869212795049,0.07841008955688214,0.6095086794812232,0.09792741751176677,0.6821000238414854,0.10997538785498412
v400,400000,0.25,early,0.05400774837471545,0.01810380903443171,0.05333224716014229,0.014974528984125312,0.7864544526673853,0.06133432220674646,0.6099019323009998,0.07630201553719883,0.6687345518730581,0.0887768324148438
v400,400000,0.35,mid,0.06572394823888317,0.01680158820356183,0.06746932829264551,0.014234073974735084,0.7936430568806827,0.04745161667067439,0.6034420833457261,0.06151299742192302,0.6581754223443568,0.058316769553026594
v400,400000,0.5,mid,0.08174906572094187,0.015350203317224533,0.08933115602121688,0.01568381911075701,0.7873969287611544,0.028822289625719665,0.6146876481361687,0.036762811260692516,0.6304929032921791,0.03342447448906498
v400,400000,0.65,mid,0.09627242019632831,0.013725463264101899,0.11065470305038616,0.018967391130722728,0.7930629914626479,0.015805632605067534,0.608588709961623,0.020647765566474026,0.6207925244234502,0.01969257840890338
v400,400000,0.75,late,0.10307167912833393,0.012249260823844055,0.12158361409092322,0.01979800544888571,0.7944525605998933,0.010317391659677417,0.6070896363817155,0.013532101307561427,0.6179181998595595,0.013725833852713979
v400,400000,0.85,late,0.1022989631164819,0.01209889006986102,0.12487275659805164,0.01808292043942016,0.793266860768199,0.0081572642107692,0.6087267166003585,0.010692915163293007,0.6183298407122493,0.010238804397070325
v400,400000,0.95,late,0.06868228095117956,0.013832751177693399,0.08692247251747176,0.015567693923352778,0.7829972272738814,0.008678297250691754,0.6218699547462165,0.010922576499835657,0.6242384454235435,0.012363944128313662
v500,500000,0.05,early,0.02071961010369705,0.007176362571371522,0.020260410747141577,0.006447349868310489,0.592137239407748,0.16274229870973964,0.7817162591964006,0.1100438437470469,0.4792251696344465,0.15160139132834963
v500,500000,0.15,early,0.0361354937122087,0.015599317251963332,0.034938995479024015,0.013454031940053112,0.6143076503358316,0.15478163604585077,0.7663756343536079,0.1077731308181119,0.4711612614337355,0.14518753836389048
v500,500000,0.25,early,0.04719279089476913,0.01602973264037147,0.04659505080780946,0.013358765924605684,0.6209067991003394,0.100437563644853,0.7735663130879402,0.07815836900053862,0.4629992904374376,0.10307287491438002
v500,500000,0.35,mid,0.057189132188796066,0.01503831893579547,0.05869964574230835,0.012896935619113203,0.6211241497658193,0.06897297526655892,0.7787761995568871,0.05491698378642037,0.44815472117625177,0.06550222835373999
v500,500000,0.5,mid,0.06967906080535613,0.013311689543179519,0.07616960172890685,0.013857385619286936,0.6031952381599694,0.0554834404231422,0.7945783101022243,0.04195482844032271,0.41177802812308073,0.04487538018173068
v500,500000,0.65,mid,0.07927181659033522,0.011334630001030339,0.09108371572801843,0.01552887185751059,0.6137999719940126,0.028211839181359027,0.7886567441746593,0.022005168581296565,0.3957610074430704,0.023728494833909947
v500,500000,0.75,late,0.08385842840652913,0.00997780556691794,0.0988979829417076,0.01601859759052172,0.6186471078544855,0.01723704152502593,0.7853642948903143,0.01361359260861767,0.39153230120427907,0.014790496885746672
v500,500000,0.85,late,0.08308940756251104,0.009896587219361149,0.10138607450062409,0.01452830763614919,0.6179360654205084,0.013260365239258701,0.7860487615689635,0.010428450442177275,0.3912058253772557,0.010966413953131105
v500,500000,0.95,late,0.056742819666396827,0.011624589150735679,0.07177648320794106,0.012941983545953252,0.6059495932422578,0.014965300314163101,0.7952810949645936,0.011484857686667441,0.39891868084669113,0.014102202881294133
v600,600000,0.05,early,0.019043699365283828,0.00882043526260938,0.018595872046716977,0.007795480782926303,0.4839305978966877,0.18870630709981956,0.8481438625603914,0.10591953183514208,0.36254331599047873,0.17797959572259836
v600,600000,0.15,early,0.03339587157825008,0.015418361604425343,0.03230493543378543,0.013901541493204765,0.501891702413559,0.14995411832095015,0.8473299769684672,0.0888126526690818,0.3546051374869421,0.14598752499207399
v600,600000,0.25,early,0.04256454372080043,0.014229469060581213,0.04205175423703622,0.011994045282768838,0.4858417104696855,0.1256513999514104,0.8622101349756122,0.07017888407073769,0.3274582438461948,0.10059311251967828
v600,600000,0.35,mid,0.05081061080272775,0.012846631178811277,0.05218587005219888,0.011036621076479165,0.47600601823069155,0.10429492030352457,0.8714879266917706,0.05620757047394344,0.30662871774984524,0.07649046191710684
v600,600000,0.5,mid,0.06049064552644268,0.011431326620357419,0.06615972277359106,0.01203493926827471,0.44695736723951995,0.0736706132351125,0.8907890855334699,0.03673560077531937,0.26535279070958495,0.049220064805378036
v600,600000,0.65,mid,0.06579420759226196,0.00934157553636067,0.07557012408506125,0.01268484247090055,0.4509524111635983,0.037582475245324966,0.8915660488419235,0.018795064525724076,0.24148202978540212,0.023036919655364772
v600,600000,0.75,late,0.06788355027674697,0.008277166150043033,0.08003680585534312,0.012982213630259821,0.45582314766943455,0.023666246539174228,0.8896778933703899,0.011996474367495234,0.23354872805066407,0.014884776729264469
v600,600000,0.85,late,0.06711158278631046,0.008284494298253672,0.08185278094606474,0.01177527573188221,0.4554629037156701,0.01924867185612166,0.8899944014847279,0.00983123023211139,0.23280785675160587,0.011249390415542612
v600,600000,0.95,late,0.047368969942908734,0.010432669577336687,0.05979695587302558,0.010998152808878656,0.4407949799206108,0.019968840384198154,0.8973345463164151,0.009778607242724887,0.2415898636681959,0.013523237994396751
