step_index,t,s,samples,official_empirical_squared_mean_gap,official_offdiagonal_cross_statistic,official_first1024_empirical_squared_mean_gap,official_second1024_empirical_squared_mean_gap,candidate_empirical_squared_mean_gap,candidate_offdiagonal_cross_statistic,candidate_first1024_empirical_squared_mean_gap,candidate_second1024_empirical_squared_mean_gap,control_empirical_squared_mean_gap,control_offdiagonal_cross_statistic,control_first1024_empirical_squared_mean_gap,control_second1024_empirical_squared_mean_gap
10,0.9863013625144958,0.9847856163978577,100,2.595139986581449e-09,7.706632638377334e-11,4.6877005313153375e-09,5.025794418475603e-10,2.5397681597277185e-09,2.0936759276666244e-11,4.673188241383868e-09,4.063480780715693e-10,2.488838148769629e-09,-3.0037757563749616e-11,4.6634711909375595e-09,3.1420510660169867e-10
11,0.9847856163978577,0.9832402467727661,100,2.0655366934095845e-09,-1.6887075541106708e-10,3.6345070710942405e-09,4.965663157249284e-10,1.926540952051798e-09,-3.086019836543423e-10,3.4482435725801013e-09,4.048383315234948e-10,1.879588725713155e-09,-3.5561112469093236e-10,3.4546652961792873e-09,3.045121552470231e-10
12,0.9832402467727661,0.9816642999649048,100,2.2929621580838175e-09,8.670623533473101e-11,4.079385177373963e-09,5.06539138793672e-10,2.1096085848606857e-09,-9.712051617154542e-11,3.807152785553623e-09,4.12064384167749e-10,2.061014242799109e-09,-1.4575492658806684e-10,3.807719122043579e-09,3.1430936355463835e-10
13,0.9816642999649048,0.9800570011138916,100,2.712657926716405e-09,3.733440263777651e-10,4.91216632152339e-09,5.131495319094201e-10,2.5895616730532296e-09,2.4959805322783943e-10,4.762313685965718e-09,4.1680966014074195e-10,2.549501195244606e-09,2.094821361116402e-10,4.7675353469346325e-09,3.314670435545796e-10
14,0.9800570011138916,0.9784172773361206,100,2.321703168848149e-09,3.224043397236797e-10,4.147170877288865e-09,4.962354604074332e-10,2.1761555479923333e-09,1.7656430007432322e-10,3.959196562087769e-09,3.931145338968976e-10,2.1249698867310464e-09,1.2534957082255275e-10,3.944855712484593e-09,3.050840609774994e-10
15,0.9784172773361206,0.9767442345619202,100,2.348265449709083e-09,3.2663811979367734e-10,4.14056418966353e-09,5.559667097546364e-10,2.175251280113334e-09,1.5240202221560507e-10,3.907680287367577e-09,4.4282227285909086e-10,2.128851089279573e-09,1.0593401274248451e-10,3.911031163232739e-09,3.46671015326407e-10
16,0.9767442345619202,0.9750366806983948,100,2.1469823072980614e-09,1.5851367313587403e-10,3.801728427663192e-09,4.922361869329309e-10,1.9458753140503286e-09,-4.341551238134428e-11,3.513395490230513e-09,3.783551378701439e-10,1.9075239014225088e-09,-8.174836413427704e-11,3.505484164702196e-09,3.095636381428212e-10
17,0.9750366806983948,0.9732937812805176,100,2.2298935054216022e-09,2.8923067871490303e-10,3.9562803163797685e-09,5.035066944634363e-10,2.061880949208074e-09,1.2032688194710222e-10,3.7577734507120414e-09,3.6598844770410677e-10,2.0333144280595393e-09,9.16319369401082e-11,3.779072136236811e-09,2.8755671988226775e-10
18,0.9732937812805176,0.9715142250061035,100,2.028011397259947e-09,8.870839384493573e-11,3.553943559912944e-09,5.020792346069502e-10,1.8372568258194282e-09,-1.0223954380331296e-10,3.288828353299225e-09,3.8568529833963137e-10,1.8096797570087318e-09,-1.3002216616949334e-10,3.3069100665219837e-09,3.124494474954797e-10
19,0.9715142250061035,0.9696969985961914,100,2.251736469323481e-09,2.9213011617293906e-10,4.021266598084783e-09,4.82206340562179e-10,2.1171442564891373e-09,1.567783297242529e-10,3.8526790911181375e-09,3.816094218601371e-10,2.069584481992391e-09,1.0915621311510295e-10,3.811701701211067e-09,3.274672627737148e-10
20,0.9696969985961914,0.9678407311439514,100,2.5044507110752054e-09,4.129046187007742e-10,4.489646000250324e-09,5.192554219000866e-10,2.335167315332337e-09,2.427123140097336e-10,4.279993720117323e-09,3.9034091054735114e-10,2.3022167251837236e-09,2.0973772444367683e-10,4.258602268670991e-09,3.4583118169645615e-10
21,0.9678407311439514,0.9659442901611328,100,2.1868515331108536e-09,2.723831707656787e-10,3.840775323783409e-09,5.329277424382987e-10,1.9685024260458114e-09,5.295626943723239e-11,3.5364859611370915e-09,4.005188909545315e-10,1.9244089559402864e-09,8.719070555224044e-12,3.5152178469656272e-09,3.336000649149458e-10
22,0.9659442901611328,0.964006245136261,100,2.1359314588325404e-09,2.3158156180398702e-10,3.73572258040275e-09,5.361403372623307e-10,1.8215063048287319e-09,-8.312980417610762e-11,3.2408068548542738e-09,4.022057548031899e-10,1.7981864733526798e-09,-1.0652077426842889e-10,3.2516603961759784e-09,3.4471255052938115e-10
23,0.964006245136261,0.9620253443717957,100,2.420602937747069e-09,4.127758977386109e-10,4.2979221507494635e-09,5.432837247446741e-10,2.1758481713389473e-09,1.6692776826089314e-10,3.941883909401633e-09,4.0981243327626153e-10,2.168420453185697e-09,1.5937897837551212e-10,3.958637855308701e-09,3.7820305106269355e-10
24,0.9620253443717957,0.9599999785423279,100,2.154859446358041e-09,3.453843167513261e-10,3.760643023117925e-09,5.490758695981575e-10,1.8860961087451337e-09,7.606394979625157e-11,3.375158968631056e-09,3.9703324885921105e-10,1.8578898447673318e-09,4.782539202615102e-11,3.3649151477624898e-09,3.5086454177217385e-10
25,0.9599999785423279,0.9579287767410278,100,2.381151884446555e-09,4.072270015879579e-10,4.176363193482752e-09,5.859405754103585e-10,2.02717448508662e-09,5.159439262448835e-11,3.6117901559977415e-09,4.425588141754989e-10,2.0147060301314455e-09,3.903690458033077e-11,3.6225603510701894e-09,4.068517091927017e-10
26,0.9579287767410278,0.9558101296424866,100,2.1917938609633058e-09,2.974816649115491e-10,3.8189344182531265e-09,5.64653303673485e-10,1.8284655662605085e-09,-6.685642294310179e-11,3.237274134508938e-09,4.196569980120792e-10,1.8281167183965542e-09,-6.721370962478907e-11,3.232742296009502e-09,4.234911407836061e-10
27,0.9558101296424866,0.9536424279212952,100,2.23705107025135e-09,3.034667937246008e-10,3.9082256724485785e-09,5.658764680541209e-10,1.8506332307618093e-09,-8.456701223154999e-11,3.309738748557792e-09,3.9152771296582623e-10,1.854617298141175e-09,-8.080310165070094e-11,3.3252449810592757e-09,3.839896152230742e-10
28,0.9536424279212952,0.9514237642288208,100,2.235523130712615e-09,2.3639325662584983e-10,3.88398435162058e-09,5.870619098046502e-10,1.863369261266093e-09,-1.361532437518147e-10,3.287258186926567e-09,4.39480335605619e-10,1.877925723665182e-09,-1.2189013288395005e-10,3.3006505298898723e-09,4.5520091744049205e-10
29,0.9514237642288208,0.9491525292396545,100,2.3672393653385433e-09,3.1667983856415937e-10,4.1386398516287054e-09,5.958388790483807e-10,2.0811133537997248e-09,2.960604211013681e-11,3.6910723270218086e-09,4.711543805776412e-10,2.0785170027311215e-09,2.6921638191958908e-11,3.658477451080617e-09,4.985565543816262e-10
30,0.9491525292396545,0.9468267560005188,100,2.6508433907043186e-09,5.020099859591108e-10,4.656934321135808e-09,6.447524602728294e-10,2.2203107052270854e-09,7.013124537060117e-11,3.959107146961851e-09,4.815142634923194e-10,2.2241615232580804e-09,7.398909973537357e-11,3.927094610138187e-09,5.212284363779746e-10
31,0.9468267560005188,0.9444444179534912,100,2.576319673904541e-09,5.375568521322503e-10,4.551387767372121e-09,6.012515804369608e-10,2.1524624959170135e-09,1.1266791023237861e-10,3.8697132054213745e-09,4.352117864126527e-10,2.1516534327241137e-09,1.1162032107833581e-10,3.846627468321863e-09,4.566793971263647e-10
32,0.9444444179534912,0.9420035481452942,100,2.618324345610125e-09,4.902520851595906e-10,4.576868039822317e-09,6.597806513979327e-10,2.091162859089303e-09,-3.731432148116251e-11,3.6991724992101775e-09,4.831532189684289e-10,2.112659338842495e-09,-1.5975370012944283e-11,3.6986190207843124e-09,5.266996569006779e-10
33,0.9420035481452942,0.9395017623901367,100,2.9611521222103244e-09,7.255520930249047e-10,5.240775573013195e-09,6.815286714074532e-10,2.4215224959219476e-09,1.8435642869064737e-10,4.318659771159444e-09,5.243852206844513e-10,2.4728238603233523e-09,2.354349920590739e-10,4.33402382359586e-09,6.116238970508443e-10
34,0.9395017623901367,0.9369369745254517,100,2.8168998508541893e-09,6.549269562003262e-10,4.977801556251613e-09,6.559981454567653e-10,2.2506985186269212e-09,8.786112234000733e-11,4.015081334830247e-09,4.863157024235953e-10,2.27626391597588e-09,1.1339980730502399e-10,4.002115234477188e-09,5.504125974745716e-10
35,0.9369369745254517,0.9343065619468689,100,3.1179549181140137e-09,7.738817895478844e-10,5.487608424614406e-09,7.483014116136208e-10,2.517662276009057e-09,1.7109058788851614e-10,4.432866402494952e-09,6.024581495231612e-10,2.5928800187654213e-09,2.4621434132722987e-10,4.467547087117504e-09,7.182129504133385e-10
36,0.9343065619468689,0.9316081404685974,100,2.882066779667753e-09,5.938363261494405e-10,4.9962793244759544e-09,7.67854234859551e-10,2.23247192234954e-09,-5.7587967065228646e-11,3.875604185853101e-09,5.893396588459787e-10,2.295880731349445e-09,5.789920635565001e-12,3.859888444441726e-09,7.31873018257164e-10
37,0.9316081404685974,0.9288389086723328,100,3.2314274015801737e-09,8.532588304979596e-10,5.6573451029605305e-09,8.055097001998174e-10,2.460448737409634e-09,7.96589707054126e-11,4.335012244066582e-09,5.858852307526863e-10,2.531439542680763e-09,1.504268932966071e-10,4.33118691303126e-09,7.316921723302656e-10
38,0.9288389086723328,0.9259962439537048,100,3.0843603047120856e-09,6.383105034863204e-10,5.346003669819065e-09,8.227169396051057e-10,2.425734548018978e-09,-2.150539056350603e-11,4.1882362332610235e-09,6.632328627769325e-10,2.5224842391550334e-09,7.490442799918006e-11,4.201295339684604e-09,8.436731386254628e-10
39,0.9259962439537048,0.9230769276618958,100,3.2632932348809574e-09,7.189198040020465e-10,5.667497482935868e-09,8.590889868260464e-10,2.687042610641019e-09,1.415104552292242e-10,4.63770681310304e-09,7.363784081789985e-10,2.7721579328573624e-09,2.26412409353215e-10,4.596271793951182e-09,9.480440717635426e-10
40,0.9230769276618958,0.9200779795646667,100,3.689048154577138e-09,9.427841546145859e-10,6.441793182458781e-09,9.363031266954952e-10,2.7982559002341316e-09,5.0014294993145505e-11,4.832708371089397e-09,7.63803429378866e-10,2.9168576019042834e-09,1.6857207165147996e-10,4.824227550566033e-09,1.0094876532425338e-09
41,0.9200779795646667,0.9169960021972656,100,3.742946822437778e-09,1.0990595464549893e-09,6.624880313898702e-09,8.610133309768545e-10,2.858052657880798e-09,2.1260781384144718e-10,5.024168371266917e-09,6.919369444946788e-10,2.9728888861710205e-09,3.270849148237148e-10,5.021674498609786e-09,9.24103273732255e-10
42,0.9169960021972656,0.913827657699585,100,4.099326129981353e-09,1.2555762719036894e-09,7.170707130426242e-09,1.027945129536464e-09,2.9994980957315173e-09,1.5474100189866437e-10,5.165792486080325e-09,8.332037053827098e-10,3.1354352874422674e-09,2.9035851397402433e-10,5.169244010563794e-09,1.101626564320741e-09
43,0.913827657699585,0.9105690717697144,100,4.317444480965994e-09,1.3509182007936415e-09,7.589957648414339e-09,1.0449313135176508e-09,3.14025661151921e-09,1.7144516665992544e-10,5.407618411952343e-09,8.728948110860762e-10,3.3027282368185416e-09,3.3357706264186664e-10,5.447085843598645e-09,1.158370630038438e-09
44,0.9105690717697144,0.9072164297103882,100,4.5141328159997675e-09,1.5252980442394529e-09,8.043010324313678e-09,9.852553076858561e-10,3.4165577619195144e-09,4.2598978889171507e-10,5.976909000219579e-09,8.5620652361945e-10,3.5870997053502018e-09,5.964391846014179e-10,5.982721304242502e-09,1.1914781064579015e-09
45,0.9072164297103882,0.9037656784057617,100,4.641017507838278e-09,1.414383437632242e-09,8.084982882765117e-09,1.1970521329114403e-09,3.531377415598879e-09,3.013606166666127e-10,5.970398895963462e-09,1.0923559352342964e-09,3.7534639623247574e-09,5.233280791238249e-10,6.005432229067486e-09,1.5014956955820285e-09
46,0.9037656784057617,0.9002123475074768,100,4.725929066691519e-09,1.4910566511014083e-09,8.170090323488373e-09,1.2817678098946651e-09,3.44231604383832e-09,2.0485368117173277e-10,5.747063743753678e-09,1.1375683439229622e-09,3.6733050819062352e-09,4.35786246720846e-10,5.730879391827032e-09,1.6157307719854383e-09
47,0.9002123475074768,0.8965517282485962,100,5.202937216589752e-09,1.8164910773812658e-09,9.097847083255623e-09,1.3080273499238806e-09,3.647508231655829e-09,2.5688710359652266e-10,6.20596053403093e-09,1.0890559292807284e-09,3.877084760214414e-09,4.861393346533869e-10,6.2066032846329784e-09,1.5475662357958492e-09
48,0.8965517282485962,0.8927790522575378,100,5.138242609522027e-09,1.6476794174913712e-09,8.972491639862435e-09,1.3039935791816206e-09,3.7211556708282207e-09,2.284729124071742e-10,6.27710270556681e-09,1.1652086360896315e-09,3.994528647903807e-09,5.015378776646364e-10,6.330090735528612e-09,1.6589665602790017e-09
49,0.8927790522575378,0.8888888955116272,100,5.419310134029909e-09,1.7383145834272478e-09,9.357111519415287e-09,1.4815087486445312e-09,4.004965864561584e-09,3.217353582238198e-10,6.5623632980004425e-09,1.4475684311227252e-09,4.272545915696676e-09,5.890238668030359e-10,6.493421343804438e-09,2.051670487588913e-09
50,0.8888888955116272,0.8848758339881897,100,6.261419594388315e-09,2.213587029147344e-09,1.0871369896365149e-08,1.651469292411482e-09,4.540760969119246e-09,4.89438435428076e-10,7.559295959122074e-09,1.522225979116418e-09,4.8625140592082474e-09,8.110642983530176e-10,7.543289220325546e-09,2.1817388980909486e-09
51,0.8848758339881897,0.8807339668273926,100,6.44473893935077e-09,2.481709901876211e-09,1.1295520210655292e-08,1.593957668046249e-09,4.532179025710661e-09,5.66942835585368e-10,7.569295468287548e-09,1.4950625831337728e-09,4.863988331078912e-09,8.983901295678469e-10,7.572953731800884e-09,2.1550229303569395e-09
52,0.8807339668273926,0.8764568567276001,100,7.198071978023832e-09,2.832669728448728e-09,1.2530162413705639e-08,1.8659815423420246e-09,5.019786583278004e-09,6.523096046027389e-10,8.298335519210866e-09,1.7412376473451412e-09,5.373012359337524e-09,1.0050716039768774e-09,8.258624679386162e-09,2.487400039288887e-09
53,0.8764568567276001,0.8720378875732422,100,7.459087963807137e-09,2.8977067267598207e-09,1.3049875720435839e-08,1.868300207178435e-09,5.125476668784175e-09,5.610109236576235e-10,8.41009324199957e-09,1.8408600955687798e-09,5.53103855173452e-09,9.660038934449677e-10,8.438999756023403e-09,2.6230773474456373e-09
54,0.8720378875732422,0.8674699068069458,100,8.232600304548352e-09,3.5867324293990987e-09,1.468207656714301e-08,1.7831240419536936e-09,5.82255598872615e-09,1.173281961344786e-09,9.791719202361097e-09,1.853392775091203e-09,6.2450578639395965e-09,1.595506450882798e-09,9.758484486758351e-09,2.731631241120841e-09
55,0.8674699068069458,0.8627451062202454,100,8.431981505068607e-09,3.3946498655077125e-09,1.4658852664242453e-08,2.2051103458947607e-09,6.023347741677891e-09,9.802660063173249e-10,9.779097393969925e-09,2.2675980893858567e-09,6.525178088286341e-09,1.481950368678921e-09,9.827678303797208e-09,3.222677872775475e-09
56,0.8627451062202454,0.8578553795814514,100,8.67868278471575e-09,3.4894631752225515e-09,1.492936611587462e-08,2.4279994535568817e-09,5.964126996274508e-09,7.710488065373187e-10,9.472086918765525e-09,2.4561670737834916e-09,6.53878484486325e-09,1.3454208846075874e-09,9.485799863474939e-09,3.5917698262515613e-09
57,0.8578553795814514,0.8527919054031372,100,9.73011712011534e-09,4.224553291834499e-09,1.6998054257116443e-08,2.462179983114238e-09,6.424367209974068e-09,9.120223362555608e-10,1.0443210664408467e-08,2.4055237555396697e-09,6.997837489530167e-09,1.4849882222353094e-09,1.0444871654874966e-08,3.550803324185368e-09
58,0.8527919054031372,0.8475452661514282,100,9.971047649384364e-09,4.19446719885125e-09,1.7367545342367724e-08,2.5745499564010044e-09,6.800763931636398e-09,1.0201782398895434e-09,1.0873690850594655e-08,2.727837012678139e-09,7.456158824372462e-09,1.675080613090151e-09,1.092794971470085e-08,3.984367934044075e-09
59,0.8475452661514282,0.8421052694320679,100,1.070800137921083e-08,4.538708079898781e-09,1.824389771130798e-08,3.172105047113682e-09,7.647629596316619e-09,1.4730583366398949e-09,1.1710958062825734e-08,3.5843011298075043e-09,8.33028133450038e-09,2.1552652544972287e-09,1.154416611386221e-08,5.11639655513855e-09
60,0.8421052694320679,0.836461067199707,100,1.2074048580275615e-08,5.153087388818125e-09,2.082056803427413e-08,3.3275291262771033e-09,8.222439678843442e-09,1.295444704732665e-09,1.2872372250203021e-08,3.5725071074838624e-09,9.003244421369688e-09,2.0759473760137314e-09,1.2865816638808656e-08,5.140672203930722e-09
61,0.836461067199707,0.8306010961532593,100,1.273249458214488e-08,5.876510709673997e-09,2.2014785970408256e-08,3.4502031938815035e-09,8.389352379986888e-09,1.5305770215972166e-09,1.2981153695865933e-08,3.79755106410784e-09,9.232149211835758e-09,2.3729372319608103e-09,1.2983413840680733e-08,5.480884582990783e-09
62,0.8306010961532593,0.8245124816894531,100,1.4355005412222348e-08,6.6666846667814505e-09,2.485035871930248e-08,3.859652105142219e-09,9.482159690027074e-09,1.7884451464009269e-09,1.4809500781607945e-08,4.154818598446202e-09,1.0357569342010666e-08,2.6628970565365188e-09,1.4808638246216928e-08,5.906500437804406e-09
63,0.8245124816894531,0.8181818127632141,100,1.4792006675501145e-08,6.682076456676035e-09,2.5606929551740542e-08,3.97708379926175e-09,9.910904756655221e-09,1.7953938569691732e-09,1.5269382445002803e-08,4.5524270683076374e-09,1.0834856563762625e-08,2.7182470098109097e-09,1.5308242359120157e-08,6.361470768405092e-09
64,0.8181818127632141,0.8115941882133484,100,1.689690131844087e-08,8.46279881598603e-09,2.9550983118436675e-08,4.242819518445061e-09,1.1099899183814403e-08,2.657651912126945e-09,1.718121310593093e-08,5.018585261697873e-09,1.2213829575530603e-08,3.771279037874335e-09,1.7301974901230837e-08,7.125684249830368e-09
65,0.8115941882133484,0.8047336935997009,100,1.7510733466082987e-08,8.248961007943186e-09,3.0187195229555944e-08,4.834271702610033e-09,1.174182118881539e-08,2.4661926194678625e-09,1.786933211778146e-08,5.61431025984932e-09,1.2913534074298603e-08,3.6377586286497116e-09,1.8021417967893958e-08,7.805650180703248e-09
66,0.8047336935997009,0.7975830435752869,100,1.886565904776891e-08,9.043127503909922e-09,3.228389522808353e-08,5.447422867454293e-09,1.200568362153495e-08,2.1751733558681763e-09,1.7844651778787327e-08,6.166715464282573e-09,1.3281869187857352e-08,3.450794816439754e-09,1.786634948904086e-08,8.697388886673844e-09
67,0.7975830435752869,0.790123462677002,100,2.1084066285017213e-08,1.0499460103443265e-08,3.666514920668186e-08,5.502983363352568e-09,1.3001395248090681e-08,2.404534940293987e-09,1.9768298575698553e-08,6.234491920482808e-09,1.427694269987033e-08,3.679016254712624e-09,1.9740754524743686e-08,8.813130874996975e-09
68,0.790123462677002,0.7823343873023987,100,2.227065024050747e-08,1.0870928351284952e-08,3.8107359645831167e-08,6.433940835183771e-09,1.447959886211764e-08,3.0690549143976057e-09,2.1234844881863526e-08,7.724352842371755e-09,1.598246816109672e-08,4.571373710420529e-09,2.1302035609669228e-08,1.0662900712524213e-08
69,0.7823343873023987,0.774193525314331,100,2.4949724095564163e-08,1.2625371442398533e-08,4.2293237020831816e-08,7.606211170296508e-09,1.637517337316124e-08,4.038376248489551e-09,2.338703525239454e-08,9.363311493927938e-09,1.784224355808634e-08,5.505092736153896e-09,2.302424531884618e-08,1.26602417973265e-08
70,0.774193525314331,0.7656765580177307,100,2.8863868654997357e-08,1.4720199659431903e-08,4.955489100044306e-08,8.172846309551652e-09,1.8032207469077663e-08,3.877222053474708e-09,2.6426537494606067e-08,9.637877443549258e-09,1.957246944910234e-08,5.417595452450538e-09,2.6312076556370735e-08,1.2832862341833942e-08
71,0.7656765580177307,0.7567567229270935,100,3.019891357952759e-08,1.576608679268417e-08,5.14773485408635e-08,8.920478618191674e-09,1.8742363101442456e-08,4.301633987407611e-09,2.659322454268598e-08,1.0891501660198932e-08,2.0494153233506943e-08,6.054198895190789e-09,2.6314346240340233e-08,1.4673960226673653e-08
72,0.7567567229270935,0.7474048137664795,100,3.465145871434859e-08,1.821031238961054e-08,5.862885364206248e-08,1.0674063786634704e-08,2.1207529187726654e-08,4.7476116443437555e-09,2.991764370945225e-08,1.249741466600106e-08,2.3125572133439738e-08,6.664838975343342e-09,2.980330482426114e-08,1.6447839442618338e-08
73,0.7474048137664795,0.73758864402771,100,3.822108034858523e-08,2.0572494363474218e-08,6.494843251130947e-08,1.1493728185860983e-08,2.2973027747181142e-08,5.3065998649752114e-09,3.184431039144992e-08,1.4101745102912363e-08,2.4762452293777574e-08,7.094037569024979e-09,3.1608566331691706e-08,1.7916338255863443e-08
74,0.73758864402771,0.7272727489471436,100,4.444371593406497e-08,2.5422032299213384e-08,7.600809693133193e-08,1.2879334936798003e-08,2.7565222486524184e-08,8.515045120657383e-09,3.876611397054196e-08,1.6364331002506403e-08,2.9528617650599617e-08,1.0480488071757922e-08,3.800907617698047e-08,2.1048159124218763e-08
75,0.7272727489471436,0.7164179682731628,100,4.6632514787646556e-08,2.528081125769495e-08,7.913726292710771e-08,1.4127766648185406e-08,2.8389367935778132e-08,6.98489903943307e-09,3.9271524638571644e-08,1.750721123298462e-08,3.064289630518594e-08,9.240072374517936e-09,3.919321999518356e-08,2.209257261518833e-08
76,0.7164179682731628,0.7049808502197266,100,5.2891851371299986e-08,2.9494022801442414e-08,9.036098545041595e-08,1.5422717292184026e-08,3.0675445280302076e-08,7.258304623060734e-09,4.2857157258951324e-08,1.849373330165283e-08,3.31064213666664e-08,9.692548480230082e-09,4.297610114081219e-08,2.3236741592520615e-08
77,0.7049808502197266,0.6929134130477905,100,6.124848505518357e-08,3.514643078404969e-08,1.0607351734354767e-07,1.642345276681947e-08,3.353660507274364e-08,7.413695243452542e-09,4.681223151150767e-08,2.0260978633979605e-08,3.590478795315701e-08,9.781781363296455e-09,4.67815067738887e-08,2.5028069132425323e-08
78,0.6929134130477905,0.6801619529724121,100,6.771069896364349e-08,3.876022571313323e-08,1.1345057657178195e-07,2.1970821355505036e-08,3.998752194252593e-08,1.099647554656766e-08,5.261008554365634e-08,2.7364958341395518e-08,4.31174374372857e-08,1.4130488466305378e-08,5.3045330667965446e-08,3.3189544206605955e-08
79,0.6801619529724121,0.6666666865348816,100,7.917538988601314e-08,4.703643125715025e-08,1.339210424703216e-07,2.442973730170468e-08,4.619493181566129e-08,1.4022623689466326e-08,6.185395733919767e-08,3.05359062921249e-08,4.8796676537164055e-08,1.6626153243131992e-08,6.17092057525637e-08,3.5884147321764414e-08
80,0.6666666865348816,0.6523604989051819,100,9.815760597742473e-08,5.972954517056527e-08,1.641927252298542e-07,3.212248672499527e-08,5.4676424806789084e-08,1.6206942633514393e-08,7.173285727738458e-08,3.761999233619358e-08,5.6492569918200265e-08,1.802857731369118e-08,7.13852851398805e-08,4.1599854696520025e-08
81,0.6523604989051819,0.6371681094169617,100,1.0201305402543501e-07,6.087346286353836e-08,1.6996971774846405e-07,3.405639030240598e-08,5.9023240443466305e-08,1.782124329670925e-08,7.654996558143538e-08,4.1496515305497234e-08,6.18058465351552e-08,2.0613020302497618e-08,7.579771669626664e-08,4.781397637404376e-08
82,0.6371681094169617,0.621004581451416,100,1.2777763606448356e-07,7.937171404943642e-08,2.113327263037066e-07,4.422254582526053e-08,6.928731634214261e-08,2.0782340734920162e-08,8.858859393921825e-08,4.998603874506698e-08,7.062848878775016e-08,2.2130529570496447e-08,8.621009427696549e-08,5.504688329853483e-08
83,0.621004581451416,0.6037735939025879,100,1.4584616163034024e-07,9.172246898407767e-08,2.354440125744795e-07,5.624831068620098e-08,7.951891846922592e-08,2.5273262550442056e-08,9.544524682579673e-08,6.359259011265513e-08,8.070392574409888e-08,2.6455420553319557e-08,9.575798682811205e-08,6.564986466008571e-08
84,0.6037735939025879,0.5853658318519592,100,1.7937101811235478e-07,1.1704196629535416e-07,2.9802540687090656e-07,6.071662935380302e-08,9.689181124229173e-08,3.435375498356464e-08,1.2402215936322236e-07,6.976146312136109e-08,9.833950169195573e-08,3.582691673212346e-08,1.2401828414161733e-07,7.266071924229412e-08
