arm,state_index,mean_spatial_channel_mean,rms_spatial_channel_mean,mean_spatial_channel_second_moment,first1024_squared_feature_difference_from_official,second1024_squared_feature_difference_from_official
official,0,0.00019463148837736862,0.06217889938150229,1.0001195058211079,0.0,0.0
official,1,0.00018998263508216947,0.06211429311360425,0.9976169028497508,0.0,0.0
official,2,0.0001852850377721536,0.06205905012723333,0.9950758522908638,0.0,0.0
official,3,0.00018059848586724837,0.06201423466853774,0.9924953758787175,0.0,0.0
official,4,0.0001759582473059056,0.061981217749440716,0.989874707463355,0.0,0.0
official,5,0.00017142753708482002,0.06196113722025844,0.9872129284340134,0.0,0.0
official,6,0.00016693463242329227,0.061955090111508175,0.9845093012896671,0.0,0.0
official,7,0.00016249107329257845,0.06196391399696745,0.9817626613813828,0.0,0.0
official,8,0.00015800842357654478,0.06198849928753405,0.97897206381354,0.0,0.0
official,9,0.00015338345484310358,0.06202990997118533,0.9761362870068954,0.0,0.0
official,10,0.00014864433826744527,0.06208898828962733,0.9732543015577287,0.0,0.0
official,11,0.00014379957599741817,0.0621671944164276,0.970325054741321,0.0,0.0
official,12,0.000138916813528482,0.06226532784044345,0.9673474036367253,0.0,0.0
official,13,0.00013400999023932352,0.06238484944911897,0.9643201045858885,0.0,0.0
official,14,0.00012908566842440543,0.0625270089284938,0.9612421230051068,0.0,0.0
official,15,0.00012411245720486328,0.06269284360603149,0.9581119702968516,0.0,0.0
official,16,0.00011906041741928982,0.06288362331959356,0.9549285395110438,0.0,0.0
official,17,0.00011391977804370301,0.06310086938418649,0.9516902644726583,0.0,0.0
official,18,0.0001086460175721963,0.06334566008991842,0.9483961516918908,0.0,0.0
official,19,0.00010327202099163373,0.06361937156023603,0.9450443948247961,0.0,0.0
official,20,9.776614657124418e-05,0.06392381887806185,0.9416339390101356,0.0,0.0
official,21,9.214535345215108e-05,0.0642605432308493,0.9381630222798837,0.0,0.0
official,22,8.642929945532432e-05,0.06463122439726662,0.9346303272712848,0.0,0.0
official,23,8.056573560604407e-05,0.06503675658342356,0.9310340837053102,0.0,0.0
official,24,7.45959955707658e-05,0.06547914188556023,0.9273729073537726,0.0,0.0
official,25,6.843922176435731e-05,0.0659603878539661,0.9236450272376179,0.0,0.0
official,26,6.216440945440134e-05,0.06648128396495925,0.9198487460376951,0.0,0.0
official,27,5.5637948445192375e-05,0.06704420116945736,0.9159823265906913,0.0,0.0
official,28,4.898185131307225e-05,0.06765026307294744,0.9120440276794027,0.0,0.0
official,29,4.2111077530673346e-05,0.06830174726214168,0.9080313878108968,0.0,0.0
official,30,3.500734827039569e-05,0.06900050284914112,0.9039431176712232,0.0,0.0
official,31,2.769308779196301e-05,0.06974804845452011,0.8997770027277753,0.0,0.0
official,32,2.0194781194684533e-05,0.07054642052288207,0.8955310477504701,0.0,0.0
official,33,1.2479962601242124e-05,0.07139790776424128,0.8912032042328094,0.0,0.0
official,34,4.58519740491499e-06,0.07230442256891957,0.8867910720414758,0.0,0.0
official,35,-3.555419429110288e-06,0.07326830539077868,0.8822928574806457,0.0,0.0
official,36,-1.1895348669362094e-05,0.07429164306230464,0.877705759710589,0.0,0.0
official,37,-2.035255849522615e-05,0.07537646693997928,0.8730278835739508,0.0,0.0
official,38,-2.909709224287242e-05,0.07652537807078882,0.868256449553866,0.0,0.0
official,39,-3.802101572146114e-05,0.07774039271497815,0.8633891298982915,0.0,0.0
official,40,-4.731716141760829e-05,0.07902324518753384,0.8584231764836263,0.0,0.0
official,41,-5.6783260233347703e-05,0.08037715599838836,0.8533561739652502,0.0,0.0
official,42,-6.647456422913516e-05,0.08180531152538023,0.8481849425642686,0.0,0.0
official,43,-7.639795747791853e-05,0.08331009246527692,0.84290749298237,0.0,0.0
official,44,-8.653736322449933e-05,0.0848927181163336,0.8375201706456247,0.0,0.0
official,45,-9.714963403566245e-05,0.08655866758455834,0.8320204840852501,0.0,0.0
