teacher,step_index,t,s,records,target_energy,prediction_energy,cross,risk_gain
candidate_tau0.0,0,1.0,0.9987389445304871,100,0.8166880506277084,0.0008228563499869778,0.00018044719428871758,-0.00046196196140954273
candidate_tau0.0,1,0.9987389445304871,0.9974554777145386,100,0.7923141467571259,0.0008294523123186082,0.00016519389533641514,-0.0004990645216457778
candidate_tau0.0,2,0.9974554777145386,0.996148943901062,100,0.79689621925354,0.0008121058996766805,0.0001308638658520067,-0.0005503781679726672
candidate_tau0.0,3,0.996148943901062,0.9948186874389648,100,0.7917098927497864,0.000798855961766094,0.00011153291145092225,-0.0005757901388642495
candidate_tau0.0,4,0.9948186874389648,0.9934640526771545,100,0.7946680468320847,0.0007962903432780877,0.0001809174920526857,-0.0004344553591727163
candidate_tau0.0,5,0.9934640526771545,0.9920844435691833,100,0.7707260301709176,0.0007965729711577296,8.319903383380734e-05,-0.0006301749034901149
candidate_tau0.0,6,0.9920844435691833,0.9906790852546692,100,0.730199590921402,0.0007924522599205375,0.0001080092796109966,-0.0005764337006985442
candidate_tau0.0,7,0.9906790852546692,0.9892473220825195,100,0.7207653057575226,0.0007886941870674491,8.971964874945116e-05,-0.0006092548895685468
candidate_tau0.0,8,0.9892473220825195,0.9877883195877075,100,0.7243928110599518,0.0007843748753657565,0.00013919569852077984,-0.0005059834783241968
candidate_tau0.0,9,0.9877883195877075,0.9863013625144958,100,0.691747929751873,0.0007840314944041893,9.399460897839162e-05,-0.0005960422764474061
candidate_tau0.0,10,0.9863013625144958,0.9847856163978577,100,0.7042090618610382,0.0007814788416726514,9.902243542455835e-05,-0.0005834339708235348
candidate_tau0.0,11,0.9847856163978577,0.9832402467727661,100,0.6580359572172165,0.0007778051507193595,0.0001298079602747748,-0.0005181892301698099
candidate_tau0.0,12,0.9832402467727661,0.9816642999649048,100,0.6543382593989372,0.0007787948119221255,0.00015319828897190747,-0.0004723982339783106
candidate_tau0.0,13,0.9816642999649048,0.9800570011138916,100,0.6619077315926551,0.0007745097565930337,0.000131081190702389,-0.0005123473751882557
candidate_tau0.0,14,0.9800570011138916,0.9784172773361206,100,0.6047234240174294,0.0007772866851883009,0.00016554299053495925,-0.0004462007041183824
candidate_tau0.0,15,0.9784172773361206,0.9767442345619202,100,0.5993547755479812,0.0007756842754315585,0.00012396053161864984,-0.0005277632121942588
