condition,fid,fid_mean_component,fid_covariance_component,sfid,inception_score,total_nfe,total_query_nfe,query_shift_rms_mean,weak_revision_rms_mean,noise_sha256,label_sha256
ordinary_ig,40.79826887107487,7.749852180480957,33.04841669059391,69.84802790808578,37.58319854736328,42662,0,,,4c0b6f6a61b977baa437b807a000c9fd957192a437cfa12f6d8bfe19ea9aa496,e8b9f4737e951b6df34a0b60c703aeb7c6721a1b599d4a949ecc85387690713a
projected,37.64589791578919,5.827590465545654,31.818307450243537,70.63962093465011,40.56025314331055,47270,21339,0.004144799703382633,0.06398469517623105,4c0b6f6a61b977baa437b807a000c9fd957192a437cfa12f6d8bfe19ea9aa496,e8b9f4737e951b6df34a0b60c703aeb7c6721a1b599d4a949ecc85387690713a
