time,target,beta,query_horizon,weak,strong,guided,weak_query,pfr
0.0001220703125,0.0,1.6,0.03125,-21.03301895719318,-7.262382108947443,1.0,-17.072405284126603,-5.3369818769065205
0.0003662109375,0.0,1.6,0.03125,-21.000741402465025,-7.250278025924384,1.0,-17.042819277936044,-5.332675399246369
0.0006103515625,0.0,1.6,0.03125,-20.96848487545982,-7.238181828297432,1.0,-17.01325429946843,-5.328368921586222
0.0008544921875,0.0,1.6,0.03125,-20.936249376177567,-7.226093516066588,1.0,-16.98371034872377,-5.324062443926078
0.0010986328125,0.0,1.6,0.03125,-20.90403490461826,-7.214013089231848,1.0,-16.954187425702056,-5.319755966265927
0.0013427734375,0.0,1.6,0.03125,-20.87184146078191,-7.201940547793216,1.0,-16.924685530403295,-5.315449488605781
0.0015869140625,0.0,1.6,0.03125,-20.839669044668504,-7.18987589175069,1.0,-16.89520466282748,-5.311143010945637
0.0018310546875,0.0,1.6,0.03125,-20.80751765627805,-7.17781912110427,1.0,-16.86574482297462,-5.306836533285493
0.0020751953125,0.0,1.6,0.03125,-20.775387295610546,-7.165770235853955,1.0,-16.83630601084471,-5.30253005562534
0.0023193359375,0.0,1.6,0.03125,-20.743277962665992,-7.153729235999748,1.0,-16.806888226437746,-5.298223577965196
0.0025634765625,0.0,1.6,0.03125,-20.71118965744439,-7.1416961215416475,1.0,-16.777491469753734,-5.29391710030505
0.0028076171875,0.0,1.6,0.03125,-20.679122379945735,-7.129670892479651,1.0,-16.748115740792674,-5.289610622644899
0.0030517578125,0.0,1.6,0.03125,-20.647076130170028,-7.117653548813761,1.0,-16.71876103955456,-5.285304144984748
0.0032958984375,0.0,1.6,0.03125,-20.615050908117276,-7.105644090543979,1.0,-16.689427366039396,-5.280997667324607
0.0035400390625,0.0,1.6,0.03125,-20.58304671378747,-7.093642517670303,1.0,-16.660114720247186,-5.276691189664458
0.0037841796875,0.0,1.6,0.03125,-20.551063547180615,-7.081648830192731,1.0,-16.63082310217792,-5.272384712004309
0.0040283203125,0.0,1.6,0.03125,-20.519101408296713,-7.069663028111268,1.0,-16.60155251183161,-5.268078234344166
0.0042724609375,0.0,1.6,0.03125,-20.487160297135755,-7.05768511142591,1.0,-16.572302949208247,-5.263771756684015
0.0045166015625,0.0,1.6,0.03125,-20.455240213697753,-7.045715080136659,1.0,-16.543074414307835,-5.259465279023871
0.0047607421875,0.0,1.6,0.03125,-20.423341157982698,-7.033752934243512,1.0,-16.51386690713037,-5.255158801363724
0.0050048828125,0.0,1.6,0.03125,-20.391463129990594,-7.021798673746474,1.0,-16.48468042767586,-5.25085232370358
0.0052490234375,0.0,1.6,0.03125,-20.35960612972144,-7.00985229864554,1.0,-16.455514975944297,-5.246545846043428
