step,loss,logistic,r1,acc,elapsed
1,1.442009687423706,1.442009687423706,0.0,0.5,0.487438413023483
100,1.3861874341964722,1.3861874341964722,0.0,0.5078125,6.181013435008936
200,1.3877527713775635,1.3877527713775635,0.0,0.4765625,11.83192363200942
300,1.3892897367477417,1.3892897367477417,0.0,0.5,17.53374636801891
400,1.3898868560791016,1.3898799419403076,8.614223929725995e-07,0.4921875,23.241112851013895
500,1.3881275653839111,1.3881275653839111,0.0,0.46875,28.871838360035326
600,1.3859156370162964,1.3859156370162964,0.0,0.5,34.56435542204417
700,1.38962984085083,1.38962984085083,0.0,0.4453125,40.24146180599928
800,1.3863948583602905,1.3863939046859741,1.2091464896002435e-07,0.4296875,45.87434169003973
900,1.3866589069366455,1.3866589069366455,0.0,0.4765625,51.56261867302237
1000,1.3859877586364746,1.3859877586364746,0.0,0.5,57.23774654499721
1100,1.3845055103302002,1.3845055103302002,0.0,0.5234375,63.65655124100158
1200,1.3860530853271484,1.386051893234253,1.542944829679982e-07,0.515625,69.30462238000473
1300,1.3872809410095215,1.3872809410095215,0.0,0.484375,74.9905244820402
1400,1.386430025100708,1.386430025100708,0.0,0.5078125,80.68683706602314
1500,1.383439540863037,1.383439540863037,0.0,0.4921875,86.2772843069979
1600,1.3884576559066772,1.3884525299072266,6.466452759923413e-07,0.4921875,91.98998022603337
1700,1.3845758438110352,1.3845758438110352,0.0,0.5078125,98.56579239101848
1800,1.3868768215179443,1.3868768215179443,0.0,0.4921875,104.25429092801642
1900,1.3863613605499268,1.3863613605499268,0.0,0.5,109.93019868101692
2000,1.3861194849014282,1.3861181735992432,1.6308790407038032e-07,0.5078125,115.58098038099706
2100,1.3862894773483276,1.3862894773483276,0.0,0.5,122.38915664103115
2200,1.3867120742797852,1.3867120742797852,0.0,0.4921875,128.0125774880289
2300,1.3862533569335938,1.3862533569335938,0.0,0.5078125,133.71798696002224
2400,1.3875820636749268,1.3875808715820312,1.4862843045193586e-07,0.484375,139.44860031903954
2500,1.3887362480163574,1.3887362480163574,0.0,0.5390625,145.06556000903947
2600,1.3861262798309326,1.3861262798309326,0.0,0.5,150.73482158203842
2700,1.386528730392456,1.386528730392456,0.0,0.5,156.41983999300282
2800,1.3826470375061035,1.3826446533203125,3.052339820897032e-07,0.515625,162.07739667902933
2900,1.3858915567398071,1.3858915567398071,0.0,0.5,167.73780702002114
3000,1.3859578371047974,1.3859578371047974,0.0,0.4921875,173.41758479800774
3100,1.385467529296875,1.385467529296875,0.0,0.53125,187.24407895602053
3200,1.3865631818771362,1.3865628242492676,4.282955146095446e-08,0.484375,192.9502922850079
3300,1.385707139968872,1.385707139968872,0.0,0.5,198.63648909400217
3400,1.3896652460098267,1.3896652460098267,0.0,0.46875,204.22393223800464
3500,1.3885118961334229,1.3885118961334229,0.0,0.4140625,209.89872420905158
3600,1.3863730430603027,1.3863725662231445,5.99292278025132e-08,0.5,215.56593055004487
3700,1.3853988647460938,1.3853988647460938,0.0,0.578125,221.2278830819996
3800,1.3832197189331055,1.3832197189331055,0.0,0.546875,226.89049475302454
3900,1.3850828409194946,1.3850828409194946,0.0,0.5078125,232.48322475102032
4000,1.3865368366241455,1.3865363597869873,5.990024476432154e-08,0.484375,238.19527033902705
