arm,family,role,strength,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
strong_00,strong,native,0.0,87.08350013340669,128.0,0.0,101.14203188754618,True
ig_local_00,ig_local,control,0.8,63.20239450835277,128.0,64.0,127.8833672972396,True
cfg_native_04,cfg_native,native,1.25,45.70743398809668,224.0,0.0,172.2469441089779,True
cfg_apg_07,cfg_apg,control,2.0,44.50397055503828,224.0,0.0,174.48284137016162,True
routing_odds_00,routing_odds,candidate,1.0,84.78022251082933,128.0,0.0,137.30841497331858,True
routing_linear_00,routing_linear,control,1.0,84.3084177692528,128.0,0.0,141.0650759083219,True
routing_temperature_00,routing_temperature,control,1.0,261.6241908354938,128.0,0.0,113.16727903904393,True
embedding_extrapolation_00,embedding_extrapolation,control,1.0,86.97991611863557,128.0,0.0,95.8944678097032,True
manual_kernel_00,manual_kernel,control,0.0,87.07733888558107,128.0,0.0,112.6195604284294,True
