alpha,separation,mean,variance,negative_mass,normalization
0.6857142857142858,0.01,-0.006857142857142858,0.9998844081632653,0.0,0.5932203389830508
0.6857142857142858,0.1,-0.06857142857142857,0.9884408163265306,8.1821292481458735e-22,0.5932203389830508
0.6857142857142858,0.5,-0.3196460581883901,0.7789079007331519,0.004456750023973131,0.597677089007024
0.6857142857142858,1.0,-0.40840048497454057,0.6543957219285097,0.05941078787882573,0.6526311268618766
0.6857142857142858,2.0,-0.293061881560625,0.6732312934914171,0.21481257201145945,0.8080329109945104
0.6857142857142858,4.0,-0.06353953954947722,0.8800425448295263,0.3783021846515241,0.971522523634575
0.6857142857142858,8.0,-0.00016476062445119706,0.9993604601803696,0.4067394914185104,0.9999598304015612
0.8,0.01,-0.008,0.9998560000000001,0.0,0.5555555555555556
0.8,0.1,-0.08,0.9856000000000003,2.0309576325287855e-18,0.5555555555555555
0.8,0.5,-0.36130355896071986,0.7502853237563735,0.007188573650633287,0.5627441292061888
0.8,1.0,-0.43984205681443184,0.6354615166304924,0.07302681230188379,0.6285823678574394
0.8,2.0,-0.3077690468714039,0.6624312369270349,0.2418019550139413,0.7973575105694968
0.8,4.0,-0.06623929403793993,0.8760456413857437,0.4145724929988124,0.970128048554368
0.8,8.0,-0.00017198407078231238,0.9993342313201568,0.44440241144747755,0.9999579670030331
1.25,0.01,-0.0125,0.99971875,0.0,0.4444444444444444
1.25,0.1,-0.12499999964209739,0.9718750022272273,2.4978036309898077e-11,0.44444444446942244
1.25,0.5,-0.4904169677843504,0.6692446172962581,0.02152305227812229,0.46596749672256665
1.25,1.0,-0.5265506234794691,0.5873423788670351,0.12000152796322039,0.5644459724076648
1.25,2.0,-0.34695718850684865,0.6350698499341173,0.3243372533803583,0.7687816978248027
1.25,4.0,-0.07344264347385666,0.865620631141405,0.5219138153480779,0.9663582597925223
1.25,8.0,-0.0001915231124383605,0.9992636741356982,0.5555084577155401,0.9999529021599844
